Date,OHDATA.OnVentCum,OHDATA.OnVentCurr
2020-12-18,0,817
2020-12-19,0,797
2020-12-20,0,792
2020-12-21,0,792
2020-12-22,0,742
2020-12-23,0,708
2020-12-24,0,683
2020-12-25,0,683
2020-12-26,0,694
2020-12-27,0,731
2020-12-28,0,729
2020-12-29,0,706
2020-12-30,0,693
2020-12-31,0,722
2021-1-1,0,722
2021-1-2,0,696
2021-1-3,0,684
2021-1-4,0,691
2021-1-5,0,670
2021-1-6,0,649
2021-1-7,0,636
2021-1-8,0,645
2021-1-9,0,618
2021-1-10,0,632
2021-1-11,0,607
2021-1-12,0,638
2021-1-13,0,636
2021-1-14,0,618
2021-1-15,0,646
2021-1-16,0,627
2021-1-17,0,622
2021-1-18,0,610
2021-1-19,0,573
2021-1-20,0,562
2021-1-21,0,575
2021-1-22,0,563
2021-1-23,0,536
2021-1-24,0,532
2021-1-25,0,505
2021-1-26,0,486
2021-1-27,0,482
2021-1-28,0,469
2021-1-29,0,451
2021-1-30,0,424
2021-1-31,0,445
2021-2-1,0,454
2021-2-2,0,426
2021-2-3,0,415
2021-2-4,0,395
2021-2-5,0,377
2021-2-6,0,348
2021-2-7,0,339
2021-2-8,0,351
2021-2-9,0,340
2021-2-10,0,330
2021-2-11,0,321
2021-2-12,0,307
2021-2-13,0,282
2021-2-14,0,285
2021-2-15,0,306
2021-2-16,0,303
2021-2-17,0,299
2021-2-18,0,283
2021-2-19,0,270
2021-2-20,0,239
2021-2-21,0,231
2021-2-22,0,250
2021-2-23,0,242
2021-2-24,0,236
2021-2-25,0,215
2021-2-26,0,214
2021-2-27,0,201
2021-2-28,0,203
2021-3-1,0,224
2021-3-2,0,207
2021-3-3,0,195
2021-3-4,0,196
2021-3-5,0,185
2021-3-6,0,188
2021-3-7,0,171
