Date,ILDATA.OnVentCum,ILDATA.OnVentCurr
2020-12-17,0,575
2020-12-18,0,589
2020-12-19,0,562
2020-12-20,0,546
2020-12-21,0,546
2020-12-22,0,557
2020-12-23,0,536
2020-12-24,0,518
2020-12-25,0,538
2020-12-26,0,494
2020-12-27,0,497
2020-12-28,0,515
2020-12-29,0,506
2020-12-30,0,496
2020-12-31,0,496
2021-1-1,0,464
2021-1-2,0,458
2021-1-3,0,462
2021-1-4,0,471
2021-1-5,0,457
2021-1-6,0,451
2021-1-7,0,450
2021-1-8,0,422
2021-1-9,0,393
2021-1-10,0,391
2021-1-11,0,401
2021-1-12,0,409
2021-1-13,0,386
2021-1-14,0,382
2021-1-15,0,386
2021-1-16,0,379
2021-1-17,0,387
2021-1-18,0,392
2021-1-19,0,395
2021-1-20,0,379
2021-1-21,0,358
2021-1-22,0,348
2021-1-23,0,338
2021-1-24,0,321
2021-1-25,0,302
2021-1-26,0,320
2021-1-27,0,300
2021-1-28,0,292
2021-1-29,0,297
2021-1-30,0,284
2021-1-31,0,289
2021-2-1,0,278
2021-2-2,0,265
2021-2-3,0,270
2021-2-4,0,265
2021-2-5,0,254
2021-2-6,0,246
2021-2-7,0,245
2021-2-8,0,251
2021-2-9,0,240
2021-2-10,0,232
2021-2-11,0,227
2021-2-12,0,211
2021-2-13,0,202
2021-2-14,0,189
2021-2-15,0,184
2021-2-16,0,179
2021-2-17,0,176
2021-2-18,0,184
2021-2-19,0,190
2021-2-20,0,171
2021-2-21,0,170
2021-2-22,0,169
2021-2-23,0,172
2021-2-24,0,172
2021-2-25,0,168
2021-2-26,0,174
2021-2-27,0,160
2021-2-28,0,150
2021-3-1,0,148
2021-3-2,0,148
2021-3-3,0,138
2021-3-4,0,128
2021-3-5,0,121
2021-3-6,0,108
2021-3-7,0,112
