Date,LADATA.OnVentCum,LADATA.OnVentCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,163
2020-3-26,0,239
2020-3-27,0,270
2020-3-28,0,336
2020-3-29,0,380
2020-3-30,0,385
2020-3-31,0,438
2020-4-1,0,490
2020-4-2,0,507
2020-4-3,0,535
2020-4-4,0,571
2020-4-5,0,561
2020-4-6,0,552
2020-4-7,0,519
2020-4-8,0,490
2020-4-9,0,473
2020-4-10,0,479
2020-4-11,0,470
2020-4-12,0,458
2020-4-13,0,461
2020-4-14,0,436
2020-4-15,0,425
2020-4-16,0,396
2020-4-17,0,363
2020-4-18,0,347
2020-4-19,0,349
2020-4-20,0,332
2020-4-21,0,297
2020-4-22,0,287
2020-4-23,0,274
2020-4-24,0,286
2020-4-25,0,268
2020-4-26,0,265
2020-4-27,0,262
2020-4-28,0,244
2020-4-29,0,244
2020-4-30,0,231
2020-5-1,0,230
2020-5-2,0,208
2020-5-3,0,213
2020-5-4,0,220
2020-5-5,0,194
2020-5-6,0,187
2020-5-7,0,189
2020-5-8,0,185
2020-5-9,0,165
2020-5-10,0,161
2020-5-11,0,157
2020-5-12,0,146
2020-5-13,0,147
2020-5-14,0,140
2020-5-15,0,132
2020-5-16,0,123
2020-5-17,0,111
2020-5-18,0,118
2020-5-19,0,112
2020-5-20,0,110
2020-5-21,0,107
2020-5-22,0,104
2020-5-23,0,112
2020-5-24,0,102
2020-5-25,0,102
2020-5-26,0,103
2020-5-27,0,100
2020-5-28,0,100
2020-5-29,0,90
2020-5-30,0,84
2020-5-31,0,84
2020-6-1,0,86
2020-6-2,0,83
2020-6-3,0,86
2020-6-4,0,82
2020-6-5,0,75
2020-6-6,0,77
2020-6-7,0,74
2020-6-8,0,71
2020-6-9,0,67
2020-6-10,0,72
2020-6-11,0,77
2020-6-12,0,74
2020-6-13,0,76
2020-6-14,0,76
2020-6-15,0,76
2020-6-16,0,77
2020-6-17,0,83
2020-6-18,0,83
2020-6-19,0,75
2020-6-20,0,73
2020-6-21,0,69
2020-6-22,0,77
2020-6-23,0,83
2020-6-24,0,77
2020-6-25,0,77
2020-6-26,0,73
2020-6-27,0,73
2020-6-28,0,76
2020-6-29,0,79
2020-6-30,0,83
2020-7-1,0,84
2020-7-2,0,91
2020-7-3,0,93
2020-7-4,0,93
2020-7-5,0,105
2020-7-6,0,109
2020-7-7,0,109
2020-7-8,0,105
2020-7-9,0,110
2020-7-10,0,122
2020-7-11,0,121
2020-7-12,0,134
2020-7-13,0,142
2020-7-14,0,146
2020-7-15,0,149
2020-7-16,0,162
2020-7-17,0,161
2020-7-18,0,161
2020-7-19,0,177
2020-7-20,0,192
2020-7-21,0,186
2020-7-22,0,188
2020-7-23,0,197
2020-7-24,0,197
2020-7-25,0,197
2020-7-26,0,184
2020-7-27,0,208
2020-7-28,0,214
2020-7-29,0,221
2020-7-30,0,205
2020-7-31,0,222
2020-8-1,0,222
2020-8-2,0,221
2020-8-3,0,230
2020-8-4,0,240
2020-8-5,0,223
2020-8-6,0,215
2020-8-7,0,207
2020-8-8,0,207
2020-8-9,0,210
2020-8-10,0,215
2020-8-11,0,214
2020-8-12,0,211
2020-8-13,0,196
2020-8-14,0,197
2020-8-15,0,197
2020-8-16,0,189
2020-8-17,0,184
2020-8-18,0,187
2020-8-19,0,175
2020-8-20,0,178
2020-8-21,0,172
2020-8-22,0,172
2020-8-23,0,152
2020-8-24,0,152
2020-8-25,0,141
2020-8-26,0,148
2020-8-27,0,145
2020-8-28,0,141
2020-8-29,0,141
2020-8-30,0,143
2020-8-31,0,132
2020-9-1,0,128
2020-9-2,0,132
2020-9-3,0,128
2020-9-4,0,96
2020-9-5,0,96
2020-9-6,0,119
2020-9-7,0,124
2020-9-8,0,131
2020-9-9,0,123
2020-9-10,0,125
2020-9-11,0,117
2020-9-12,0,117
2020-9-13,0,107
2020-9-14,0,105
2020-9-15,0,99
2020-9-16,0,107
2020-9-17,0,106
2020-9-18,0,104
2020-9-19,0,104
2020-9-20,0,100
2020-9-21,0,93
2020-9-22,0,96
2020-9-23,0,94
2020-9-24,0,92
2020-9-25,0,86
2020-9-26,0,86
2020-9-27,0,85
2020-9-28,0,83
2020-9-29,0,80
2020-9-30,0,79
2020-10-1,0,75
2020-10-2,0,74
2020-10-3,0,74
2020-10-4,0,68
2020-10-5,0,71
2020-10-6,0,71
2020-10-7,0,78
2020-10-8,0,79
2020-10-9,0,78
2020-10-10,0,78
2020-10-11,0,71
2020-10-12,0,70
2020-10-13,0,68
2020-10-14,0,64
2020-10-15,0,61
2020-10-16,0,60
2020-10-17,0,60
2020-10-18,0,60
2020-10-19,0,64
2020-10-20,0,62
2020-10-21,0,68
2020-10-22,0,64
2020-10-23,0,65
2020-10-24,0,65
2020-10-25,0,66
2020-10-26,0,71
2020-10-27,0,91
2020-10-28,0,80
2020-10-29,0,79
2020-10-30,0,79
2020-10-31,0,79
2020-11-1,0,70
2020-11-2,0,70
2020-11-3,0,84
2020-11-4,0,77
2020-11-5,0,82
2020-11-6,0,81
2020-11-7,0,81
2020-11-8,0,72
2020-11-9,0,71
2020-11-10,0,66
2020-11-11,0,66
2020-11-12,0,59
2020-11-13,0,62
2020-11-14,0,62
2020-11-15,0,58
2020-11-16,0,81
2020-11-17,0,92
2020-11-18,0,93
2020-11-19,0,88
2020-11-20,0,101
2020-11-21,0,101
2020-11-22,0,105
2020-11-23,0,114
2020-11-24,0,113
2020-11-25,0,116
2020-11-26,0,116
2020-11-27,0,125
2020-11-28,0,125
2020-11-29,0,125
2020-11-30,0,125
2020-12-1,0,128
2020-12-2,0,134
2020-12-3,0,142
2020-12-4,0,154
2020-12-5,0,154
2020-12-6,0,162
2020-12-7,0,161
2020-12-8,0,165
2020-12-9,0,177
2020-12-10,0,180
2020-12-11,0,167
2020-12-12,0,167
2020-12-13,0,162
2020-12-14,0,147
2020-12-15,0,152
2020-12-16,0,167
2020-12-17,0,169
2020-12-18,0,179
2020-12-19,0,179
2020-12-20,0,169
2020-12-21,0,174
2020-12-22,0,181
2020-12-23,0,196
2020-12-24,0,199
2020-12-25,0,199
2020-12-26,0,199
2020-12-27,0,191
2020-12-28,0,201
2020-12-29,0,218
2020-12-30,0,210
2020-12-31,0,202
2021-1-1,0,202
2021-1-2,0,202
2021-1-3,0,204
2021-1-4,0,207
2021-1-5,0,205
2021-1-6,0,207
2021-1-7,0,219
2021-1-8,0,220
2021-1-9,0,220
2021-1-10,0,225
2021-1-11,0,232
2021-1-12,0,244
2021-1-13,0,235
2021-1-14,0,245
2021-1-15,0,242
2021-1-16,0,242
2021-1-17,0,237
2021-1-18,0,239
2021-1-19,0,249
2021-1-20,0,243
2021-1-21,0,233
2021-1-22,0,216
2021-1-23,0,216
2021-1-24,0,215
2021-1-25,0,219
2021-1-26,0,217
2021-1-27,0,203
2021-1-28,0,206
2021-1-29,0,198
2021-1-30,0,198
2021-1-31,0,199
2021-2-1,0,187
2021-2-2,0,189
2021-2-3,0,180
2021-2-4,0,162
2021-2-5,0,167
2021-2-6,0,167
2021-2-7,0,143
2021-2-8,0,149
2021-2-9,0,151
2021-2-10,0,151
2021-2-11,0,151
2021-2-12,0,151
2021-2-13,0,151
2021-2-14,0,142
2021-2-15,0,137
2021-2-16,0,137
2021-2-17,0,126
2021-2-18,0,128
2021-2-19,0,129
2021-2-20,0,129
2021-2-21,0,120
2021-2-22,0,113
2021-2-23,0,111
2021-2-24,0,102
2021-2-25,0,100
2021-2-26,0,95
2021-2-27,0,95
2021-2-28,0,91
2021-3-1,0,91
2021-3-2,0,89
2021-3-3,0,78
2021-3-4,0,74
2021-3-5,0,77
2021-3-6,0,77
2021-3-7,0,75
