Date,NVDATA.OnVentCum,NVDATA.OnVentCurr
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,0,65
2020-5-11,0,60
2020-5-12,0,64
2020-5-13,0,64
2020-5-14,0,75
2020-5-15,0,73
2020-5-16,0,65
2020-5-17,0,65
2020-5-18,0,65
2020-5-19,0,54
2020-5-20,0,60
2020-5-21,0,52
2020-5-22,0,51
2020-5-23,0,53
2020-5-24,0,51
2020-5-25,0,45
2020-5-26,0,46
2020-5-27,0,48
2020-5-28,0,55
2020-5-29,0,42
2020-5-30,0,42
2020-5-31,0,41
2020-6-1,0,40
2020-6-2,0,39
2020-6-3,0,47
2020-6-4,0,47
2020-6-5,0,47
2020-6-6,0,44
2020-6-7,0,44
2020-6-8,0,44
2020-6-9,0,41
2020-6-10,0,38
2020-6-11,0,35
2020-6-12,0,36
2020-6-13,0,43
2020-6-14,0,69
2020-6-15,0,40
2020-6-16,0,48
2020-6-17,0,45
2020-6-18,0,55
2020-6-19,0,49
2020-6-20,0,49
2020-6-21,0,49
2020-6-22,0,46
2020-6-23,0,50
2020-6-24,0,53
2020-6-25,0,57
2020-6-26,0,59
2020-6-27,0,66
2020-6-28,0,59
2020-6-29,0,65
2020-6-30,0,65
2020-7-1,0,74
2020-7-2,0,78
2020-7-3,0,87
2020-7-4,0,97
2020-7-5,0,99
2020-7-6,0,114
2020-7-7,0,112
2020-7-8,0,109
2020-7-9,0,112
2020-7-10,0,111
2020-7-11,0,122
2020-7-12,0,114
2020-7-13,0,107
2020-7-14,0,121
2020-7-15,0,124
2020-7-16,0,124
2020-7-17,0,134
2020-7-18,0,150
2020-7-19,0,149
2020-7-20,0,156
2020-7-21,0,143
2020-7-22,0,154
2020-7-23,0,156
2020-7-24,0,165
2020-7-25,0,180
2020-7-26,0,180
2020-7-27,0,184
2020-7-28,0,191
2020-7-29,0,190
2020-7-30,0,187
2020-7-31,0,191
2020-8-1,0,193
2020-8-2,0,193
2020-8-3,0,207
2020-8-4,0,202
2020-8-5,0,214
2020-8-6,0,208
2020-8-7,0,178
2020-8-8,0,173
2020-8-9,0,173
2020-8-10,0,172
2020-8-11,0,171
2020-8-12,0,177
2020-8-13,0,174
2020-8-14,0,166
2020-8-15,0,166
2020-8-16,0,166
2020-8-17,0,150
2020-8-18,0,165
2020-8-19,0,160
2020-8-20,0,152
2020-8-21,0,140
2020-8-22,0,138
2020-8-23,0,138
2020-8-24,0,126
2020-8-25,0,122
2020-8-26,0,118
2020-8-27,0,110
2020-8-28,0,108
2020-8-29,0,102
2020-8-30,0,102
2020-8-31,0,106
2020-9-1,0,119
2020-9-2,0,113
2020-9-3,0,117
2020-9-4,0,112
2020-9-5,0,114
2020-9-6,0,114
2020-9-7,0,114
2020-9-8,0,107
2020-9-9,0,110
2020-9-10,0,112
2020-9-11,0,102
2020-9-12,0,102
2020-9-13,0,102
2020-9-14,0,99
2020-9-15,0,98
2020-9-16,0,97
2020-9-17,0,98
2020-9-18,0,85
2020-9-19,0,89
2020-9-20,0,89
2020-9-21,0,81
2020-9-22,0,75
2020-9-23,0,69
2020-9-24,0,67
2020-9-25,0,62
2020-9-26,0,64
2020-9-27,0,64
2020-9-28,0,68
2020-9-29,0,69
2020-9-30,0,70
2020-10-1,0,63
2020-10-2,0,73
2020-10-3,0,68
2020-10-4,0,68
2020-10-5,0,64
2020-10-6,0,69
2020-10-7,0,67
2020-10-8,0,64
2020-10-9,0,63
2020-10-10,0,64
2020-10-11,0,64
2020-10-12,0,56
2020-10-13,0,61
2020-10-14,0,64
2020-10-15,0,63
2020-10-16,0,60
2020-10-17,0,60
2020-10-18,0,60
2020-10-19,0,53
2020-10-20,0,57
2020-10-21,0,47
2020-10-22,0,53
2020-10-23,0,51
2020-10-24,0,51
2020-10-25,0,51
2020-10-26,0,64
2020-10-27,0,58
2020-10-28,0,56
2020-10-29,0,64
2020-10-30,0,56
2020-10-31,0,58
2020-11-1,0,58
2020-11-2,0,64
2020-11-3,0,75
2020-11-4,0,72
2020-11-5,0,75
2020-11-6,0,85
2020-11-7,0,89
2020-11-8,0,89
2020-11-9,0,100
2020-11-10,0,101
2020-11-11,0,107
2020-11-12,0,115
2020-11-13,0,119
2020-11-14,0,120
2020-11-15,0,120
2020-11-16,0,146
2020-11-17,0,136
2020-11-18,0,141
2020-11-19,0,150
2020-11-20,0,151
2020-11-21,0,152
2020-11-22,0,152
2020-11-23,0,163
2020-11-24,0,161
2020-11-25,0,169
2020-11-26,0,162
2020-11-27,0,162
2020-11-28,0,162
2020-11-29,0,162
2020-11-30,0,190
2020-12-1,0,198
2020-12-2,0,202
2020-12-3,0,215
2020-12-4,0,204
2020-12-5,0,214
2020-12-6,0,214
2020-12-7,0,227
2020-12-8,0,235
2020-12-9,0,252
2020-12-10,0,246
2020-12-11,0,239
2020-12-12,0,240
2020-12-13,0,240
2020-12-14,0,263
2020-12-15,0,258
2020-12-16,0,247
2020-12-17,0,282
2020-12-18,0,286
2020-12-19,0,286
2020-12-20,0,286
2020-12-21,0,297
2020-12-22,0,302
2020-12-23,0,312
2020-12-24,0,287
2020-12-25,0,298
2020-12-26,0,298
2020-12-27,0,298
2020-12-28,0,283
2020-12-29,0,282
2020-12-30,0,282
2020-12-31,0,278
2021-1-1,0,273
