Date,KSDATA.OnVentCum,KSDATA.OnVentCurr
2020-11-12,347,80
2020-11-13,348,74
2020-11-14,348,74
2020-11-15,348,74
2020-11-16,355,58
2020-11-17,355,58
2020-11-18,364,95
2020-11-19,364,95
2020-11-20,372,109
2020-11-21,372,109
2020-11-22,372,109
2020-11-23,377,89
2020-11-24,377,89
2020-11-25,385,102
2020-11-26,385,102
2020-11-27,389,73
2020-11-28,389,73
2020-11-29,389,73
2020-11-30,395,92
2020-12-1,395,92
2020-12-2,409,125
2020-12-3,409,92
2020-12-4,409,123
2020-12-5,409,123
2020-12-6,409,123
2020-12-7,409,86
2020-12-8,409,86
2020-12-9,409,136
2020-12-10,409,136
2020-12-11,409,130
2020-12-12,409,130
2020-12-13,409,130
2020-12-14,409,88
2020-12-15,409,88
2020-12-16,409,111
2020-12-17,409,111
2020-12-18,411,92
2020-12-19,411,92
2020-12-20,411,92
2020-12-21,411,92
2020-12-22,411,92
2020-12-23,411,119
2020-12-24,411,119
2020-12-25,411,119
2020-12-26,411,119
2020-12-27,411,119
2020-12-28,411,68
2020-12-29,411,68
2020-12-30,412,99
2020-12-31,412,99
2021-1-1,412,97
2021-1-2,412,97
2021-1-3,412,97
2021-1-4,412,65
2021-1-5,412,65
2021-1-6,413,70
2021-1-7,413,70
2021-1-8,413,61
2021-1-9,413,61
2021-1-10,413,61
2021-1-11,413,48
2021-1-12,413,48
2021-1-13,413,65
2021-1-14,413,65
2021-1-15,413,67
2021-1-16,413,67
2021-1-17,413,67
2021-1-18,413,61
2021-1-19,413,61
2021-1-20,413,66
2021-1-21,413,66
2021-1-22,412,66
2021-1-23,412,66
2021-1-24,412,66
2021-1-25,412,66
2021-1-26,412,66
2021-1-27,412,74
2021-1-28,412,74
2021-1-29,412,65
2021-1-30,412,65
2021-1-31,412,65
2021-2-1,412,48
2021-2-2,412,48
2021-2-3,411,52
2021-2-4,411,52
2021-2-5,411,52
2021-2-6,411,52
2021-2-7,411,52
2021-2-8,411,39
2021-2-9,411,39
2021-2-10,411,41
2021-2-11,411,41
2021-2-12,411,42
2021-2-13,411,42
2021-2-14,411,42
2021-2-15,411,38
2021-2-16,411,38
2021-2-17,411,34
2021-2-18,411,34
2021-2-19,411,34
2021-2-20,411,34
2021-2-21,411,34
2021-2-22,411,22
2021-2-23,411,22
