Date,AZDATA.OnVentCum,AZDATA.OnVentCurr
2020-12-17,0,618
2020-12-18,0,601
2020-12-19,0,612
2020-12-20,0,595
2020-12-21,0,628
2020-12-22,0,644
2020-12-23,0,673
2020-12-24,0,620
2020-12-25,0,636
2020-12-26,0,652
2020-12-27,0,667
2020-12-28,0,715
2020-12-29,0,720
2020-12-30,0,750
2020-12-31,0,746
2021-1-1,0,759
2021-1-2,0,761
2021-1-3,0,762
2021-1-4,0,782
2021-1-5,0,761
2021-1-6,0,747
2021-1-7,0,776
2021-1-8,0,799
2021-1-9,0,791
2021-1-10,0,791
2021-1-11,0,783
2021-1-12,0,786
2021-1-13,0,805
2021-1-14,0,821
2021-1-15,0,753
2021-1-16,0,821
2021-1-17,0,800
2021-1-18,0,797
2021-1-19,0,797
2021-1-20,0,778
2021-1-21,0,731
2021-1-22,0,739
2021-1-23,0,728
2021-1-24,0,720
2021-1-25,0,702
2021-1-26,0,687
2021-1-27,0,686
2021-1-28,0,692
2021-1-29,0,678
2021-1-30,0,645
2021-1-31,0,663
2021-2-1,0,662
2021-2-2,0,671
2021-2-3,0,646
2021-2-4,0,618
2021-2-5,0,573
2021-2-6,0,561
2021-2-7,0,561
2021-2-8,0,536
2021-2-9,0,524
2021-2-10,0,508
2021-2-11,0,481
2021-2-12,0,466
2021-2-13,0,412
2021-2-14,0,399
2021-2-15,0,397
2021-2-16,0,383
2021-2-17,0,354
2021-2-18,0,330
2021-2-19,0,334
2021-2-20,0,294
2021-2-21,0,286
2021-2-22,0,299
2021-2-23,0,266
2021-2-24,0,253
2021-2-25,0,241
2021-2-26,0,225
2021-2-27,0,220
2021-2-28,0,210
2021-3-1,0,196
2021-3-2,0,203
2021-3-3,0,177
2021-3-4,0,165
2021-3-5,0,154
2021-3-6,0,140
2021-3-7,0,143
