Date,WYDATA.TotalTestResults,WYDATA.TotalTestResultsInc
2020-10-12,216342,5833
2020-10-13,221182,4840
2020-10-14,225518,4336
2020-10-15,229079,3561
2020-10-16,232407,3328
2020-10-17,233128,721
2020-10-18,233925,797
2020-10-19,240151,6226
2020-10-20,245133,4982
2020-10-21,249425,4292
2020-10-22,253894,4469
2020-10-23,257821,3927
2020-10-24,258810,989
2020-10-25,259404,594
2020-10-26,265459,6055
2020-10-27,270870,5411
2020-10-28,275282,4412
2020-10-29,279435,4153
2020-10-30,283120,3685
2020-10-31,283918,798
2020-11-1,284746,828
2020-11-2,291698,6952
2020-11-3,298088,6390
2020-11-4,303250,5162
2020-11-5,308205,4955
2020-11-6,312769,4564
2020-11-7,313850,1081
2020-11-8,314854,1004
2020-11-9,322812,7958
2020-11-10,329898,7086
2020-11-11,334801,4903
2020-11-12,341053,6252
2020-11-13,345682,4629
2020-11-14,346803,1121
2020-11-15,347830,1027
2020-11-16,357020,9190
2020-11-17,363992,6972
2020-11-18,369292,5300
2020-11-19,376123,6831
2020-11-20,380669,4546
2020-11-21,381465,796
2020-11-22,382210,745
2020-11-23,384725,2515
2020-11-24,385011,286
2020-11-25,385040,29
2020-11-26,385040,0
2020-11-27,393512,8472
2020-11-28,393376,0
2020-11-29,393376,0
2020-11-30,419587,26211
2020-12-1,419587,0
2020-12-2,408325,0
2020-12-3,412285,3960
2020-12-4,412285,0
2020-12-5,417627,5342
2020-12-6,417627,0
2020-12-7,425916,8289
2020-12-8,429164,3248
2020-12-9,431433,2269
2020-12-10,437060,5627
2020-12-11,437060,0
2020-12-12,440289,3229
2020-12-13,440289,0
2020-12-14,440289,0
2020-12-15,450024,9735
2020-12-16,457816,7792
2020-12-17,457212,0
2020-12-18,463753,6541
2020-12-19,463753,0
2020-12-20,463753,0
2020-12-21,473519,9766
2020-12-22,475800,2281
2020-12-23,478351,2551
2020-12-24,478351,0
2020-12-25,478351,0
2020-12-26,478351,0
2020-12-27,478351,0
2020-12-28,493080,14729
2020-12-29,494391,1311
2020-12-30,498063,3672
2020-12-31,501784,3721
2021-1-1,501784,0
2021-1-2,501784,0
2021-1-3,501784,0
2021-1-4,514334,12550
2021-1-5,515527,1193
2021-1-6,517839,2312
2021-1-7,522688,4849
2021-1-8,528137,5449
2021-1-9,528137,0
2021-1-10,528137,0
2021-1-11,534614,6477
2021-1-12,536070,1456
2021-1-13,537679,1609
2021-1-14,542316,4637
2021-1-15,549805,7489
2021-1-16,549805,0
2021-1-17,549805,0
2021-1-18,549805,0
2021-1-19,563037,13232
2021-1-20,567450,4413
2021-1-21,573868,6418
2021-1-22,573868,0
2021-1-23,573868,0
2021-1-24,573868,0
2021-1-25,573868,0
2021-1-26,609573,35705
2021-1-27,616677,7104
2021-1-28,625382,8705
2021-1-29,634985,9603
2021-1-30,634985,0
2021-1-31,634985,0
2021-2-1,651791,16806
2021-2-2,647149,0
2021-2-3,656543,9394
2021-2-4,670688,14145
2021-2-5,683414,12726
2021-2-6,683414,0
2021-2-7,683414,0
2021-2-8,704836,21422
2021-2-9,595970,0
2021-2-10,597849,1879
2021-2-11,601103,3254
2021-2-12,604578,3475
2021-2-13,604578,0
2021-2-14,604578,0
2021-2-15,604578,0
2021-2-16,614356,9778
2021-2-17,615337,981
2021-2-18,617468,2131
2021-2-19,620388,2920
2021-2-20,620388,0
2021-2-21,620388,0
2021-2-22,625036,4648
2021-2-23,625036,0
2021-2-24,629838,4802
2021-2-25,633626,3788
2021-2-26,636716,3090
2021-2-27,636716,0
2021-2-28,636716,0
2021-3-1,640594,3878
2021-3-2,641380,786
2021-3-3,643476,2096
2021-3-4,646179,2703
2021-3-5,649293,3114
2021-3-6,649293,0
2021-3-7,649293,0
