Date,WVDATA.TotalTestResults,WVDATA.TotalTestResultsInc
2020-10-10,622809,10461
2020-10-11,628752,5943
2020-10-12,634247,5495
2020-10-13,639466,5219
2020-10-14,644201,4735
2020-10-15,651104,6903
2020-10-16,662243,11139
2020-10-17,669097,6854
2020-10-18,677446,8349
2020-10-19,684416,6970
2020-10-20,688141,3725
2020-10-21,692965,4824
2020-10-22,701414,8449
2020-10-23,706456,5042
2020-10-24,711758,5302
2020-10-25,719199,7441
2020-10-26,732269,13070
2020-10-27,739540,7271
2020-10-28,744645,5105
2020-10-29,755399,10754
2020-10-30,764950,9551
2020-10-31,774168,9218
2020-11-1,783470,9302
2020-11-2,790378,6908
2020-11-3,795857,5479
2020-11-4,801543,5686
2020-11-5,812291,10748
2020-11-6,822098,9807
2020-11-7,832656,10558
2020-11-8,844242,11586
2020-11-9,851689,7447
2020-11-10,858525,6836
2020-11-11,869376,10851
2020-11-12,882360,12984
2020-11-13,896220,13860
2020-11-14,909351,13131
2020-11-15,920366,11015
2020-11-16,932261,11895
2020-11-17,940635,8374
2020-11-18,953328,12693
2020-11-19,970334,17006
2020-11-20,986956,16622
2020-11-21,1005409,18453
2020-11-22,1019188,13779
2020-11-23,1030860,11672
2020-11-24,1045376,14516
2020-11-25,1060832,15456
2020-11-26,1076259,15427
2020-11-27,1092989,16730
2020-11-28,1105791,12802
2020-11-29,1119518,13727
2020-11-30,1127995,8477
2020-12-1,1138776,10781
2020-12-2,1149027,10251
2020-12-3,1160634,11607
2020-12-4,1177418,16784
2020-12-5,1198947,21529
2020-12-6,1211551,12604
2020-12-7,1223511,11960
2020-12-8,1233677,10166
2020-12-9,1247173,13496
2020-12-10,1262087,14914
2020-12-11,1280120,18033
2020-12-12,1296017,15897
2020-12-13,1309039,13022
2020-12-14,1318053,9014
2020-12-15,1327146,9093
2020-12-16,1335834,8688
2020-12-17,1350165,14331
2020-12-18,1361997,11832
2020-12-19,1375051,13054
2020-12-20,1382890,7839
2020-12-21,1393204,10314
2020-12-22,1401206,8002
2020-12-23,1407184,5978
2020-12-24,1419370,12186
2020-12-25,1432672,13302
2020-12-26,1444959,12287
2020-12-27,1449782,4823
2020-12-28,1454255,4473
2020-12-29,1465779,11524
2020-12-30,1476944,11165
2020-12-31,1494681,17737
2021-1-1,1516422,21741
2021-1-2,1532704,16282
2021-1-3,1540159,7455
2021-1-4,1546217,6058
2021-1-5,1556241,10024
2021-1-6,1567700,11459
2021-1-7,1585261,17561
2021-1-8,1608766,23505
2021-1-9,1627245,18479
2021-1-10,1640415,13170
2021-1-11,1651936,11521
2021-1-12,1661864,9928
2021-1-13,1673197,11333
2021-1-14,1688103,14906
2021-1-15,1709911,21808
2021-1-16,1736636,26725
2021-1-17,1744016,7380
2021-1-18,1759675,15659
2021-1-19,1772535,12860
2021-1-20,1782837,10302
2021-1-21,1799533,16696
2021-1-22,1818926,19393
2021-1-23,1829720,10794
2021-1-24,1836165,6445
2021-1-25,1841111,4946
2021-1-26,1855664,14553
2021-1-27,1865762,10098
2021-1-28,1881485,15723
2021-1-29,1897774,16289
2021-1-30,1911658,13884
2021-1-31,1920300,8642
2021-2-1,1925306,5006
2021-2-2,1934122,8816
2021-2-3,1942613,8491
2021-2-4,1954655,12042
2021-2-5,1969418,14763
2021-2-6,1982272,12854
2021-2-7,1991579,9307
2021-2-8,1998557,6978
2021-2-9,2006598,8041
2021-2-10,2015748,9150
2021-2-11,2028413,12665
2021-2-12,2042578,14165
2021-2-13,2053046,10468
2021-2-14,2059560,6514
2021-2-15,2064969,5409
2021-2-16,2071781,6812
2021-2-17,2080039,8258
2021-2-18,2089904,9865
2021-2-19,2099209,9305
2021-2-20,2107857,8648
2021-2-21,2114133,6276
2021-2-22,2118728,4595
2021-2-23,2127267,8539
2021-2-24,2135830,8563
2021-2-25,2147188,11358
2021-2-26,2157856,10668
2021-2-27,2166580,8724
2021-2-28,2177597,11017
2021-3-1,2181927,4330
2021-3-2,2190001,8074
2021-3-3,2198254,8253
2021-3-4,2207676,9422
2021-3-5,2218488,10812
2021-3-6,2230102,11614
2021-3-7,2236551,6449
