Date,MNDATA.TotalTestResults,MNDATA.TotalTestResultsInc
2020-10-2,2086963,31075
2020-10-3,2116038,29075
2020-10-4,2146411,30373
2020-10-5,2169786,23375
2020-10-6,2182970,13184
2020-10-7,2195882,12912
2020-10-8,2224194,28312
2020-10-9,2256165,31971
2020-10-10,2288662,32497
2020-10-11,2318810,30148
2020-10-12,2337122,18312
2020-10-13,2355124,18002
2020-10-14,2367344,12220
2020-10-15,2386848,19504
2020-10-16,2430551,43703
2020-10-17,2458271,27720
2020-10-18,2489218,30947
2020-10-19,2511395,22177
2020-10-20,2522999,11604
2020-10-21,2539376,16377
2020-10-22,2564491,25115
2020-10-23,2590925,26434
2020-10-24,2625390,34465
2020-10-25,2660323,34933
2020-10-26,2684014,23691
2020-10-27,2698113,14099
2020-10-28,2713077,14964
2020-10-29,2742869,29792
2020-10-30,2774695,31826
2020-10-31,2809133,34438
2020-11-1,2836227,27094
2020-11-2,2872763,36536
2020-11-3,2883738,10975
2020-11-4,2914937,31199
2020-11-5,2947153,32216
2020-11-6,2990965,43812
2020-11-7,3035394,44429
2020-11-8,3077966,42572
2020-11-9,3103434,25468
2020-11-10,3135996,32562
2020-11-11,3150108,14112
2020-11-12,3203325,53217
2020-11-13,3251551,48226
2020-11-14,3302499,50948
2020-11-15,3364535,62036
2020-11-16,3413692,49157
2020-11-17,3445247,31555
2020-11-18,3478924,33677
2020-11-19,3534745,55821
2020-11-20,3588557,53812
2020-11-21,3640177,51620
2020-11-22,3700343,60166
2020-11-23,3756777,56434
2020-11-24,3809976,53199
2020-11-25,3873062,63086
2020-11-26,3873062,0
2020-11-27,3922136,49074
2020-11-28,4027255,105119
2020-11-29,4116741,89486
2020-11-30,4156622,39881
2020-12-1,4179928,23306
2020-12-2,4218617,38689
2020-12-3,4266980,48363
2020-12-4,4322340,55360
2020-12-5,4370635,48295
2020-12-6,4431677,61042
2020-12-7,4494494,62817
2020-12-8,4519051,24557
2020-12-9,4553805,34754
2020-12-10,4592108,38303
2020-12-11,4645205,53097
2020-12-12,4691759,46554
2020-12-13,4734544,42785
2020-12-14,4776509,41965
2020-12-15,4807318,30809
2020-12-16,4823852,16534
2020-12-17,4865880,42028
2020-12-18,4923927,58047
2020-12-19,4956894,32967
2020-12-20,5015155,58261
2020-12-21,5046965,31810
2020-12-22,5076975,30010
2020-12-23,5094803,17828
2020-12-24,5141662,46859
2020-12-25,5141662,0
2020-12-26,5187026,45364
2020-12-27,5269754,82728
2020-12-28,5281864,12110
2020-12-29,5288334,6470
2020-12-30,5309130,20796
2020-12-31,5351379,42249
2021-1-1,5351379,0
2021-1-2,5387936,36557
2021-1-3,5476196,88260
2021-1-4,5484851,8655
2021-1-5,5499303,14452
2021-1-6,5519178,19875
2021-1-7,5553851,34673
2021-1-8,5597732,43881
2021-1-9,5635581,37849
2021-1-10,5670387,34806
2021-1-11,5687368,16981
2021-1-12,5714994,27626
2021-1-13,5733978,18984
2021-1-14,5767323,33345
2021-1-15,5808350,41027
2021-1-16,5836107,27757
2021-1-17,5863218,27111
2021-1-18,5883217,19999
2021-1-19,5895901,12684
2021-1-20,5910354,14453
2021-1-21,5945782,35428
2021-1-22,5984932,39150
2021-1-23,6024172,39240
2021-1-24,6052223,28051
2021-1-25,6071392,19169
2021-1-26,6080904,9512
2021-1-27,6096425,15521
2021-1-28,6138854,42429
2021-1-29,6181070,42216
2021-1-30,6210344,29274
2021-1-31,6236640,26296
2021-2-1,6255856,19216
2021-2-2,6264836,8980
