Date,NMDATA.TotalTestResults,NMDATA.TotalTestResultsInc
2020-10-7,965319,4385
2020-10-8,973945,8626
2020-10-9,980053,6108
2020-10-10,989652,9599
2020-10-11,997373,7721
2020-10-12,1002906,5533
2020-10-13,1011320,8414
2020-10-14,1019029,7709
2020-10-15,1027392,8363
2020-10-16,1035851,8459
2020-10-17,1046727,10876
2020-10-18,1054891,8164
2020-10-19,1061268,6377
2020-10-20,1070481,9213
2020-10-21,1078087,7606
2020-10-22,1089150,11063
2020-10-23,1099484,10334
2020-10-24,1109095,9611
2020-10-25,1118844,9749
2020-10-26,1124922,6078
2020-10-27,1129419,4497
2020-10-28,1141186,11767
2020-10-29,1153185,11999
2020-10-30,1161887,8702
2020-10-31,1172720,10833
2020-11-1,1182514,9794
2020-11-2,1191327,8813
2020-11-3,1202347,11020
2020-11-4,1218805,16458
2020-11-5,1230205,11400
2020-11-6,1238575,8370
2020-11-7,1250724,12149
2020-11-8,1262482,11758
2020-11-9,1269523,7041
2020-11-10,1281951,12428
2020-11-11,1317248,35297
2020-11-12,1330403,13155
2020-11-13,1348194,17791
2020-11-14,1360452,12258
2020-11-15,1372867,12415
2020-11-16,1386121,13254
2020-11-17,1398339,12218
2020-11-18,1409823,11484
2020-11-19,1420797,10974
2020-11-20,1433609,12812
2020-11-21,1444121,10512
2020-11-22,1454997,10876
2020-11-23,1464452,9455
2020-11-24,1477284,12832
2020-11-25,1487840,10556
2020-11-26,1504856,17016
2020-11-27,1521747,16891
2020-11-28,1536202,14455
2020-11-29,1547171,10969
2020-11-30,1558291,11120
2020-12-1,1579759,21468
2020-12-2,1592222,12463
2020-12-3,1604914,12692
2020-12-4,1620383,15469
2020-12-5,1634917,14534
2020-12-6,1647976,13059
2020-12-7,1660275,12299
2020-12-8,1669512,9237
2020-12-9,1669512,0
2020-12-10,1692676,23164
2020-12-11,1707040,14364
2020-12-12,1719109,12069
2020-12-13,1732004,12895
2020-12-14,1741401,9397
2020-12-15,1755426,14025
2020-12-16,1767408,11982
2020-12-17,1796603,29195
2020-12-18,1809293,12690
2020-12-19,1823169,13876
