Date,IADATA.TotalTestResults,IADATA.TotalTestResultsInc
2020-10-9,808801,5764
2020-10-10,814078,5277
2020-10-11,819460,5382
2020-10-12,822140,2680
2020-10-13,824869,2729
2020-10-14,829253,4384
2020-10-15,835606,6353
2020-10-16,822775,0
2020-10-17,827884,5109
2020-10-18,832536,4652
2020-10-19,835573,3037
2020-10-20,837718,2145
2020-10-21,842542,4824
2020-10-22,848270,5728
2020-10-23,852949,4679
2020-10-24,859419,6470
2020-10-25,863361,3942
2020-10-26,866323,2962
2020-10-27,869020,2697
2020-10-28,873362,4342
2020-10-29,878864,5502
2020-10-30,884252,5388
2020-10-31,890432,6180
2020-11-1,897175,6743
2020-11-2,900994,3819
2020-11-3,903136,2142
2020-11-4,908054,4918
2020-11-5,916404,8350
2020-11-6,922017,5613
2020-11-7,928259,6242
2020-11-8,935839,7580
2020-11-9,945621,9782
2020-11-10,950191,4570
2020-11-11,958353,8162
2020-11-12,964756,6403
2020-11-13,971644,6888
2020-11-14,979886,8242
2020-11-15,988601,8715
2020-11-16,992851,4250
2020-11-17,997034,4183
2020-11-18,1003986,6952
2020-11-19,1011476,7490
2020-11-20,1019474,7998
2020-11-21,1027073,7599
2020-11-22,1033800,6727
2020-11-23,1040373,6573
2020-11-24,1044789,4416
2020-11-25,1050640,5851
2020-11-26,1057718,7078
2020-11-27,1060478,2760
2020-11-28,1063681,3203
2020-11-29,1067985,4304
2020-11-30,1070816,2831
2020-12-1,1072992,2176
2020-12-2,1078029,5037
2020-12-3,1083485,5456
2020-12-4,1089561,6076
2020-12-5,1094502,4941
2020-12-6,1098589,4087
2020-12-7,1100653,2064
2020-12-8,1102737,2084
2020-12-9,1107487,4750
2020-12-10,1111940,4453
2020-12-11,1115807,3867
2020-12-12,1119355,3548
2020-12-13,1122583,3228
2020-12-14,1124774,2191
2020-12-15,1127084,2310
2020-12-16,1131182,4098
2020-12-17,1135722,4540
2020-12-18,1139593,3871
2020-12-19,1143798,4205
2020-12-20,1147392,3594
2020-12-21,1149061,1669
2020-12-22,1150768,1707
2020-12-23,1154784,4016
2020-12-24,1157711,2927
2020-12-25,1160420,2709
2020-12-26,1161680,1260
2020-12-27,1163367,1687
2020-12-28,1164835,1468
2020-12-29,1166051,1216
2020-12-30,1168170,2119
2020-12-31,1171219,3049
2021-1-1,1174406,3187
2021-1-2,1175920,1514
2021-1-3,1178096,2176
2021-1-4,1179621,1525
2021-1-5,1181244,1623
2021-1-6,1185478,4234
2021-1-7,1188908,3430
2021-1-8,1192481,3573
2021-1-9,1195536,3055
2021-1-10,1198291,2755
2021-1-11,1199759,1468
2021-1-12,1201471,1712
2021-1-13,1205222,3751
2021-1-14,1208878,3656
2021-1-15,1212121,3243
2021-1-16,1214729,2608
2021-1-17,1216693,1964
2021-1-18,1218425,1732
2021-1-19,1220451,2026
2021-1-20,1222463,2012
2021-1-21,1226351,3888
2021-1-22,1229114,2763
2021-1-23,1232463,3349
2021-1-24,1235059,2596
2021-1-25,1236524,1465
2021-1-26,1238482,1958
2021-1-27,1241079,2597
2021-1-28,1244219,3140
2021-1-29,1246868,2649
2021-1-30,1251252,4384
2021-1-31,1253688,2436
2021-2-1,1255188,1500
2021-2-2,1256662,1474
2021-2-3,1260185,3523
2021-2-4,1262433,2248
2021-2-5,1264939,2506
2021-2-6,1266063,1124
2021-2-7,1268161,2098
2021-2-8,1269419,1258
2021-2-9,1271013,1594
2021-2-10,1273327,2314
2021-2-11,1275682,2355
2021-2-12,1277491,1809
2021-2-13,1279333,1842
2021-2-14,1280992,1659
2021-2-15,1282323,1331
2021-2-16,1290933,8610
2021-2-17,1293332,2399
2021-2-18,1295556,2224
2021-2-19,1297314,1758
2021-2-20,1298607,1293
2021-2-21,1300171,1564
2021-2-22,1301870,1699
2021-2-23,1303212,1342
2021-2-24,1305902,2690
2021-2-25,1308496,2594
2021-2-26,1310419,1923
2021-2-27,1312007,1588
2021-2-28,1313829,1822
2021-3-1,1315398,1569
2021-3-2,1316616,1218
2021-3-3,1318994,2378
2021-3-4,1321446,2452
2021-3-5,1323369,1923
2021-3-6,1325246,1877
2021-3-7,1326802,1556
