Date,KYDATA.TotalTestResults,KYDATA.TotalTestResultsInc
2020-10-9,1525264,24651
2020-10-10,1536175,10911
2020-10-11,1536175,0
2020-10-12,1565097,28922
2020-10-13,1591005,25908
2020-10-14,1601887,10882
2020-10-15,1633080,31193
2020-10-16,1653847,20767
2020-10-17,1674648,20801
2020-10-18,1674648,0
2020-10-19,1698815,24167
2020-10-20,1706897,8082
2020-10-21,1714875,7978
2020-10-22,1744003,29128
2020-10-23,1762731,18728
2020-10-24,1785186,22455
2020-10-25,1785186,0
2020-10-26,1809871,24685
2020-10-27,1821228,11357
2020-10-28,1831369,10141
2020-10-29,1841101,9732
2020-10-30,1876130,35029
2020-10-31,1895653,19523
2020-11-1,1895653,0
2020-11-2,1926140,30487
2020-11-3,1933819,7679
2020-11-4,1981336,47517
2020-11-5,2009317,27981
2020-11-6,2177509,168192
2020-11-7,2046964,0
2020-11-8,2046964,0
2020-11-9,2085875,38911
2020-11-10,2105559,19684
2020-11-11,2105559,0
2020-11-12,2145460,39901
2020-11-13,2173524,28064
2020-11-14,2194098,20574
2020-11-15,2194098,0
2020-11-16,2241836,47738
2020-11-17,2262716,20880
2020-11-18,2293694,30978
2020-11-19,2329395,35701
2020-11-20,2355475,26080
2020-11-21,2407871,52396
2020-11-22,2407871,0
2020-11-23,2441630,33759
2020-11-24,2470357,28727
2020-11-25,2480097,9740
2020-11-26,2480097,0
2020-11-27,2528558,48461
2020-11-28,2548528,19970
2020-11-29,2548528,0
2020-11-30,2583120,34592
2020-12-1,2608252,25132
2020-12-2,2619809,11557
2020-12-3,2688162,68353
2020-12-4,2699681,11519
2020-12-5,2732005,32324
2020-12-6,2732005,0
2020-12-7,2771777,39772
2020-12-8,2786379,14602
2020-12-9,2792321,5942
2020-12-10,2840222,47901
2020-12-11,2856427,16205
2020-12-12,2874157,17730
2020-12-13,2874157,0
2020-12-14,2915475,41318
2020-12-15,2925129,9654
2020-12-16,2940097,14968
2020-12-17,2968844,28747
2020-12-18,2988579,19735
2020-12-19,3003386,14807
2020-12-20,3021935,18549
2020-12-21,3028904,6969
2020-12-22,3038072,9168
2020-12-23,3061692,23620
2020-12-24,3061692,0
2020-12-25,3061692,0
2020-12-26,3113655,51963
2020-12-27,3113655,0
2020-12-28,3124415,10760
2020-12-29,3128180,3765
2020-12-30,3148606,20426
2020-12-31,3148606,0
2021-1-1,3148606,0
2021-1-2,3210804,62198
2021-1-3,3210804,0
2021-1-4,3224871,14067
2021-1-5,3234501,9630
2021-1-6,3247372,12871
2021-1-7,3268056,20684
2021-1-8,3300295,32239
2021-1-9,3310799,10504
2021-1-10,3310799,0
2021-1-11,3335482,24683
2021-1-12,3343361,7879
2021-1-13,3366855,23494
2021-1-14,3378562,11707
2021-1-15,3392110,13548
2021-1-16,3400741,8631
2021-1-17,3400741,0
2021-1-18,3435510,34769
2021-1-19,3440622,5112
2021-1-20,3451200,10578
2021-1-21,3461098,9898
2021-1-22,3484786,23688
2021-1-23,3503064,18278
2021-1-24,3503064,0
2021-1-25,3525107,22043
2021-1-26,3534120,9013
2021-1-27,3545049,10929
2021-1-28,3560903,15854
2021-1-29,3577417,16514
2021-1-30,3590222,12805
2021-1-31,3590222,0
2021-2-1,3621461,31239
2021-2-2,3626864,5403
2021-2-3,3635689,8825
2021-2-4,3653551,17862
2021-2-5,3668483,14932
2021-2-6,3676301,7818
2021-2-7,3676301,0
2021-2-8,3694175,17874
2021-2-9,3698800,4625
2021-2-10,3713640,14840
2021-2-11,3725585,11945
2021-2-12,3750687,25102
2021-2-13,3758264,7577
2021-2-14,3758264,0
2021-2-15,3770913,12649
2021-2-16,3773578,2665
2021-2-17,3780152,6574
2021-2-18,3786674,6522
2021-2-19,3798304,11630
2021-2-20,3807556,9252
2021-2-21,3807556,0
2021-2-22,3851233,43677
2021-2-23,3857305,6072
2021-2-24,3862877,5572
2021-2-25,3878912,16035
2021-2-26,3891701,12789
2021-2-27,3904567,12866
2021-2-28,3904567,0
2021-3-1,3919142,14575
2021-3-2,3922153,3011
2021-3-3,3940366,18213
2021-3-4,3954639,14273
2021-3-5,3969899,15260
2021-3-6,3975672,5773
2021-3-7,3975672,0
