Date,NVDATA.TotalTestResults,NVDATA.TotalTestResultsInc
2020-10-6,1063694,7635
2020-10-7,1074720,11026
2020-10-8,1082722,8002
2020-10-9,1092036,9314
2020-10-10,1100315,8279
2020-10-11,1105227,4912
2020-10-12,1107492,2265
2020-10-13,1114916,7424
2020-10-14,1124508,9592
2020-10-15,1133788,9280
2020-10-16,1142263,8475
2020-10-17,1150423,8160
2020-10-18,1154653,4230
2020-10-19,1156001,1348
2020-10-20,1156029,28
2020-10-21,1165414,9385
2020-10-22,1175414,10000
2020-10-23,1185069,9655
2020-10-24,1196111,11042
2020-10-25,1204746,8635
2020-10-26,1212437,7691
2020-10-27,1220443,8006
2020-10-28,1227689,7246
2020-10-29,1231112,3423
2020-10-30,1242709,11597
2020-10-31,1253083,10374
2020-11-1,1263183,10100
2020-11-2,1270643,7460
2020-11-3,1277944,7301
2020-11-4,1286206,8262
2020-11-5,1299121,12915
2020-11-6,1312492,13371
2020-11-7,1326378,13886
2020-11-8,1335632,9254
2020-11-9,1344308,8676
2020-11-10,1352746,8438
2020-11-11,1362884,10138
2020-11-12,1375669,12785
2020-11-13,1388286,12617
2020-11-14,1413453,25167
2020-11-15,1426082,12629
2020-11-16,1435791,9709
2020-11-17,1447823,12032
2020-11-18,1454741,6918
2020-11-19,1471764,17023
2020-11-20,1478163,6399
2020-11-21,1507064,28901
2020-11-22,1520545,13481
2020-11-23,1536076,15531
2020-11-24,1558626,22550
2020-11-25,1574257,15631
2020-11-26,1592915,18658
2020-11-27,1607005,14090
2020-11-28,1622816,15811
2020-11-29,1627306,4490
2020-11-30,1638099,10793
2020-12-1,1653858,15759
2020-12-2,1664999,11141
2020-12-3,1682758,17759
2020-12-4,1696894,14136
2020-12-5,1718547,21653
2020-12-6,1733263,14716
2020-12-7,1747116,13853
2020-12-8,1759106,11990
2020-12-9,1773401,14295
2020-12-10,1787862,14461
2020-12-11,1795433,7571
2020-12-12,1813755,18322
2020-12-13,1829214,15459
2020-12-14,1845307,16093
2020-12-15,1866845,21538
2020-12-16,1885929,19084
2020-12-17,1900403,14474
2020-12-18,1916048,15645
2020-12-19,1931053,15005
2020-12-20,1941048,9995
2020-12-21,1959658,18610
2020-12-22,1968619,8961
2020-12-23,1984938,16319
2020-12-24,2003596,18658
2020-12-25,2013939,10343
2020-12-26,2030683,16744
2020-12-27,2039790,9107
2020-12-28,2047364,7574
2020-12-29,2057266,9902
2020-12-30,2068519,11253
2020-12-31,2081954,13435
2021-1-1,2095778,13824
2021-1-2,2111559,15781
