Date,PADATA.TotalTestResults,PADATA.TotalTestResultsInc
2020-9-27,2981779,29746
2020-9-28,3001687,19908
2020-9-29,3028137,26450
2020-9-30,3053816,25679
2020-10-1,3079975,26159
2020-10-2,3114903,34928
2020-10-3,3146795,31892
2020-10-4,3171518,24723
2020-10-5,3192420,20902
2020-10-6,3218476,26056
2020-10-7,3261613,43137
2020-10-8,3296367,34754
2020-10-9,3336637,40270
2020-10-10,3385332,48695
2020-10-11,3416163,30831
2020-10-12,3440811,24648
2020-10-13,3476411,35600
2020-10-14,3506849,30438
2020-10-15,3541718,34869
2020-10-16,3579193,37475
2020-10-17,3621788,42595
2020-10-18,3652158,30370
2020-10-19,3676337,24179
2020-10-20,3708330,31993
2020-10-21,3737277,28947
2020-10-22,3776726,39449
2020-10-23,3817496,40770
2020-10-24,3856970,39474
2020-10-25,3892386,35416
2020-10-26,3919357,26971
2020-10-27,3958256,38899
2020-10-28,3992267,34011
2020-10-29,4028192,35925
2020-10-30,4070357,42165
2020-10-31,4116788,46431
2020-11-1,4153368,36580
2020-11-2,4179246,25878
2020-11-3,4221832,42586
2020-11-4,4280805,58973
2020-11-5,4332180,51375
2020-11-6,4387633,55453
2020-11-7,4440802,53169
2020-11-8,4481758,40956
2020-11-9,4520616,38858
2020-11-10,4567727,47111
2020-11-11,4616587,48860
2020-11-12,4669426,52839
2020-11-13,4726929,57503
2020-11-14,4785530,58601
2020-11-15,4849893,64363
2020-11-16,4898163,48270
2020-11-17,4946674,48511
2020-11-18,5009041,62367
2020-11-19,5071953,62912
2020-11-20,5132242,60289
2020-11-21,5196711,64469
2020-11-22,5260736,64025
2020-11-23,5305634,44898
2020-11-24,5360843,55209
2020-11-25,5423024,62181
2020-11-26,5487301,64277
2020-11-27,5551482,64181
2020-11-28,5617617,66135
2020-11-29,5665572,47955
2020-11-30,5700392,34820
2020-12-1,5744694,44302
2020-12-2,5805252,60558
2020-12-3,5877212,71960
2020-12-4,5956454,79242
2020-12-5,6034682,78228
2020-12-6,6099718,65036
2020-12-7,6167518,67800
2020-12-8,6231017,63499
2020-12-9,6286181,55164
2020-12-10,6360850,74669
2020-12-11,6424566,63716
2020-12-12,6491551,66985
2020-12-13,6564588,73037
2020-12-14,6619529,54941
2020-12-15,6675959,56430
2020-12-16,6737991,62032
2020-12-17,6800942,62951
2020-12-18,6869564,68622
2020-12-19,6934456,64892
2020-12-20,6986455,51999
2020-12-21,7038666,52211
2020-12-22,7086035,47369
2020-12-23,7148310,62275
2020-12-24,7205757,57447
2020-12-25,7269151,63394
2020-12-26,7326480,57329
2020-12-27,7372129,45649
2020-12-28,7398972,26843
2020-12-29,7443913,44941
2020-12-30,7496782,52869
2020-12-31,7554677,57895
2021-1-1,7607664,52987
2021-1-2,7675010,67346
2021-1-3,7715509,40499
2021-1-4,7735808,20299
2021-1-5,7794549,58741
2021-1-6,7853300,58751
2021-1-7,7904802,51502
2021-1-8,7975747,70945
2021-1-9,8048586,72839
2021-1-10,8106628,58042
2021-1-11,8145981,39353
2021-1-12,8198497,52516
2021-1-13,8255043,56546
2021-1-14,8307622,52579
2021-1-15,8368848,61226
2021-1-16,8433901,65053
2021-1-17,8494845,60944
2021-1-18,8536900,42055
2021-1-19,8584679,47779
2021-1-20,8638607,53928
2021-1-21,8694264,55657
2021-1-22,8756485,62221
2021-1-23,8818645,62160
2021-1-24,8869834,51189
2021-1-25,8909236,39402
2021-1-26,8954749,45513
2021-1-27,8997550,42801
2021-1-28,9050928,53378
2021-1-29,9111901,60973
2021-1-30,9173901,62000
2021-1-31,9228711,54810
2021-2-1,9264604,35893
2021-2-2,9306907,42303
2021-2-3,9329891,22984
2021-2-4,9367185,37294
2021-2-5,9407717,40532
2021-2-6,9459462,51745
2021-2-7,9459462,0
2021-2-8,9459462,0
2021-2-9,9600222,140760
2021-2-10,9634422,34200
2021-2-11,9685927,51505
2021-2-12,9727728,41801
2021-2-13,9799882,72154
2021-2-14,9799882,0
2021-2-15,9799882,0
2021-2-16,9910886,111004
2021-2-17,9945410,34524
2021-2-18,9991280,45870
2021-2-19,10032502,41222
2021-2-20,10070782,38280
2021-2-21,10070782,0
2021-2-22,10121980,51198
2021-2-23,10150802,28822
2021-2-24,10190768,39966
2021-2-25,10244968,54200
2021-2-26,10313734,68766
2021-2-27,10378789,65055
2021-2-28,10378789,0
2021-3-1,10443158,64369
2021-3-2,10476323,33165
2021-3-3,10514461,38138
2021-3-4,10569767,55306
2021-3-5,10629284,59517
2021-3-6,10629284,0
2021-3-7,10681716,52432
