Date,MODATA.TotalTestResults,MODATA.TotalTestResultsInc
2020-10-7,1958461,11857
2020-10-8,1979390,20929
2020-10-9,2000979,21589
2020-10-10,2075699,74720
2020-10-11,2075699,0
2020-10-12,2075699,0
2020-10-13,2075699,0
2020-10-14,2206374,130675
2020-10-15,2222854,16480
2020-10-16,2222854,0
2020-10-17,2266988,44134
2020-10-18,2285067,18079
2020-10-19,2296674,11607
2020-10-20,2296674,0
2020-10-21,2326868,30194
2020-10-22,2346490,19622
2020-10-23,2363811,17321
2020-10-24,2388281,24470
2020-10-25,2406847,18566
2020-10-26,2420611,13764
2020-10-27,2438579,17968
2020-10-28,2454427,15848
2020-10-29,2474396,19969
2020-10-30,2494866,20470
2020-10-31,2517550,22684
2020-11-1,2535182,17632
2020-11-2,2553774,18592
2020-11-3,2585280,31506
2020-11-4,2602880,17600
2020-11-5,2624970,22090
2020-11-6,2649277,24307
2020-11-7,2672288,23011
2020-11-8,2654691,0
2020-11-9,2669455,14764
2020-11-10,2645421,0
2020-11-11,2705205,59784
2020-11-12,2726936,21731
2020-11-13,2742932,15996
2020-11-14,2769085,26153
2020-11-15,2785399,16314
2020-11-16,2801747,16348
2020-11-17,2825841,24094
2020-11-18,2844992,19151
2020-11-19,2865173,20181
2020-11-20,2889986,24813
2020-11-21,2899068,9082
2020-11-22,2923429,24361
2020-11-23,2942201,18772
2020-11-24,2960516,18315
2020-11-25,2983411,22895
2020-11-26,3009614,26203
2020-11-27,3027819,18205
2020-11-28,3042148,14329
2020-11-29,3058509,16361
2020-11-30,3076377,17868
2020-12-1,3089100,12723
2020-12-2,3103739,14639
2020-12-3,3124697,20958
2020-12-4,3147554,22857
2020-12-5,3173989,26435
2020-12-6,3196185,22196
2020-12-7,3211429,15244
2020-12-8,3230130,18701
2020-12-9,3244398,14268
2020-12-10,3269682,25284
2020-12-11,3292575,22893
2020-12-12,3314288,21713
2020-12-13,3333657,19369
2020-12-14,3350253,16596
2020-12-15,3365969,15716
2020-12-16,3381644,15675
2020-12-17,3407160,25516
2020-12-18,3431791,24631
2020-12-19,3451230,19439
2020-12-20,3464447,13217
2020-12-21,3482832,18385
2020-12-22,3496171,13339
2020-12-23,3513613,17442
2020-12-24,3535936,22323
2020-12-25,3555031,19095
2020-12-26,3568549,13518
2020-12-27,3576638,8089
2020-12-28,3583787,7149
2020-12-29,3599869,16082
2020-12-30,3618339,18470
2020-12-31,3638238,19899
2021-1-1,3665980,27742
2021-1-2,3679665,13685
2021-1-3,3691231,11566
2021-1-4,3697356,6125
2021-1-5,3711328,13972
2021-1-6,3724603,13275
2021-1-7,3747390,22787
2021-1-8,3773583,26193
2021-1-9,3798436,24853
2021-1-10,3819153,20717
2021-1-11,3830281,11128
2021-1-12,3844238,13957
2021-1-13,3859023,14785
2021-1-14,3882097,23074
2021-1-15,3903116,21019
2021-1-16,3920745,17629
2021-1-17,3933456,12711
2021-1-18,3947197,13741
2021-1-19,3959087,11890
2021-1-20,3972789,13702
2021-1-21,3993440,20651
2021-1-22,4013031,19591
2021-1-23,4031558,18527
2021-1-24,4051388,19830
2021-1-25,4060435,9047
2021-1-26,4071261,10826
2021-1-27,4086146,14885
2021-1-28,4106829,20683
2021-1-29,4128988,22159
2021-1-30,4143475,14487
2021-1-31,4156792,13317
2021-2-1,4165512,8720
2021-2-2,4173283,7771
2021-2-3,4185641,12358
