Date,GADATA.TotalTestResults,GADATA.TotalTestResultsInc
2020-9-29,2910833,12335
2020-9-30,2933679,22846
2020-10-1,2954392,20713
2020-10-2,2970013,15621
2020-10-3,3001381,31368
2020-10-4,3018618,17237
2020-10-5,3032757,14139
2020-10-6,3044792,12035
2020-10-7,3058187,13395
2020-10-8,3083121,24934
2020-10-9,3112619,29498
2020-10-10,3132549,19930
2020-10-11,3151029,18480
2020-10-12,3168116,17087
2020-10-13,3180538,12422
2020-10-14,3204298,23760
2020-10-15,3229781,25483
2020-10-16,3254270,24489
2020-10-17,3280668,26398
2020-10-18,3298458,17790
2020-10-19,3314279,15821
2020-10-20,3327836,13557
2020-10-21,3338315,10479
2020-10-22,3367534,29219
2020-10-23,3407623,40089
2020-10-24,3426110,18487
2020-10-25,3445032,18922
2020-10-26,3461388,16356
2020-10-27,3474891,13503
2020-10-28,3495407,20516
2020-10-29,3516162,20755
2020-10-30,3535825,19663
2020-10-31,3562682,26857
2020-11-1,3584111,21429
2020-11-2,3596700,12589
2020-11-3,3618830,22130
2020-11-4,3647278,28448
2020-11-5,3672160,24882
2020-11-6,3691733,19573
2020-11-7,3715270,23537
2020-11-8,3733960,18690
2020-11-9,3749894,15934
2020-11-10,3772524,22630
2020-11-11,3786046,13522
2020-11-12,3807413,21367
2020-11-13,3838550,31137
2020-11-14,3865939,27389
2020-11-15,3887286,21347
2020-11-16,3900708,13422
2020-11-17,3954422,53714
2020-11-18,3975069,20647
2020-11-19,4010676,35607
2020-11-20,4043126,32450
2020-11-21,4086142,43016
2020-11-22,4112780,26638
2020-11-23,4139509,26729
2020-11-24,4173943,34434
2020-11-25,4195929,21986
2020-11-26,4226691,30762
2020-11-27,4258413,31722
2020-11-28,4289024,30611
2020-11-29,4302927,13903
2020-11-30,4314448,11521
2020-12-1,4338967,24519
2020-12-2,4362964,23997
2020-12-3,4396665,33701
2020-12-4,4435020,38355
2020-12-5,4466200,31180
2020-12-6,4476052,9852
2020-12-7,4521060,45008
2020-12-8,4555443,34383
2020-12-9,4578124,22681
2020-12-10,4621841,43717
2020-12-11,4657199,35358
2020-12-12,4696707,39508
2020-12-13,4729534,32827
2020-12-14,4755530,25996
2020-12-15,4794475,38945
2020-12-16,4817908,23433
2020-12-17,4856170,38262
2020-12-18,4904046,47876
2020-12-19,4941049,37003
2020-12-20,4974164,33115
2020-12-21,4999306,25142
2020-12-22,5049355,50049
2020-12-23,5086136,36781
2020-12-24,5135306,49170
2020-12-25,5188835,53529
2020-12-26,5218474,29639
