Date,SCDATA.TotalTestResults,SCDATA.TotalTestResultsInc
2020-10-5,1389106,11020
2020-10-6,1403136,14030
2020-10-7,1410596,7460
2020-10-8,1430639,20043
2020-10-9,1452568,21929
2020-10-10,1470311,17743
2020-10-11,1484658,14347
2020-10-12,1497817,13159
2020-10-13,1511481,13664
2020-10-14,1526565,15084
2020-10-15,1546608,20043
2020-10-16,1566317,19709
2020-10-17,1585051,18734
2020-10-18,1601263,16212
2020-10-19,1610200,8937
2020-10-20,1619922,9722
2020-10-21,1633549,13627
2020-10-22,1649351,15802
2020-10-23,1667501,18150
2020-10-24,1679084,11583
2020-10-25,1706414,27330
2020-10-26,1733232,26818
2020-10-27,1745026,11794
2020-10-28,1753781,8755
2020-10-29,1773742,19961
2020-10-30,1788360,14618
2020-10-31,1802050,13690
2020-11-1,1827352,25302
2020-11-2,1842038,14686
2020-11-3,1855123,13085
2020-11-4,1865888,10765
2020-11-5,1873285,7397
2020-11-6,1897097,23812
2020-11-7,1944928,47831
2020-11-8,1959102,14174
2020-11-9,1967225,8123
2020-11-10,1988512,21287
2020-11-11,2000709,12197
2020-11-12,2020945,20236
2020-11-13,2030994,10049
2020-11-14,2072140,41146
2020-11-15,2090589,18449
2020-11-16,2105533,14944
2020-11-17,2122323,16790
2020-11-18,2138289,15966
2020-11-19,2162127,23838
2020-11-20,2192748,30621
2020-11-21,2225252,32504
2020-11-22,2246568,21316
2020-11-23,2267605,21037
2020-11-24,2287492,19887
2020-11-25,2308163,20671
2020-11-26,2308163,0
2020-11-27,2339037,30874
2020-11-28,2370233,31196
2020-11-29,2386587,16354
2020-11-30,2399463,12876
2020-12-1,2417026,17563
2020-12-2,2432901,15875
2020-12-3,2449100,16199
2020-12-4,2474899,25799
2020-12-5,2503921,29022
2020-12-6,2528191,24270
2020-12-7,2554866,26675
2020-12-8,2581328,26462
2020-12-9,2596781,15453
2020-12-10,2614236,17455
2020-12-11,2651756,37520
2020-12-12,2655328,3572
2020-12-13,2719621,64293
2020-12-14,2745200,25579
2020-12-15,2769559,24359
2020-12-16,2791674,22115
2020-12-17,2808022,16348
2020-12-18,2844895,36873
2020-12-19,2871621,26726
2020-12-20,2897011,25390
2020-12-21,2916627,19616
2020-12-22,2942180,25553
2020-12-23,2975719,33539
2020-12-24,2998755,23036
2020-12-25,2998755,0
2020-12-26,3031335,32580
2020-12-27,3102884,71549
2020-12-28,3117127,14243
2020-12-29,3133285,16158
2020-12-30,3150834,17549
2020-12-31,3173021,22187
2021-1-1,3173021,0
2021-1-2,3204255,31234
2021-1-3,3261427,57172
2021-1-4,3282238,20811
2021-1-5,3298481,16243
2021-1-6,3326876,28395
2021-1-7,3356854,29978
2021-1-8,3398114,41260
2021-1-9,3434733,36619
2021-1-10,3466585,31852
2021-1-11,3488615,22030
2021-1-12,3498188,9573
2021-1-13,3535436,37248
2021-1-14,3576120,40684
2021-1-15,3609752,33632
2021-1-16,3663312,53560
2021-1-17,3713908,50596
2021-1-18,3745465,31557
2021-1-19,3772941,27476
2021-1-20,3823586,50645
2021-1-21,3862267,38681
2021-1-22,3900531,38264
2021-1-23,3944118,43587
2021-1-24,3985112,40994
2021-1-25,4021106,35994
2021-1-26,4048626,27520
2021-1-27,4072097,23471
2021-1-28,4099194,27097
2021-1-29,4147778,48584
2021-1-30,4188261,40483
2021-1-31,4227525,39264
2021-2-1,4258793,31268
2021-2-2,4284337,25544
2021-2-3,4300686,16349
2021-2-4,4325898,25212
2021-2-5,4391292,65394
2021-2-6,4426262,34970
2021-2-7,4463062,36800
2021-2-8,4494804,31742
2021-2-9,4514722,19918
2021-2-10,4534832,20110
2021-2-11,4556983,22151
2021-2-12,4595965,38982
2021-2-13,4631748,35783
2021-2-14,4672026,40278
2021-2-15,4697137,25111
2021-2-16,4718931,21794
2021-2-17,4729746,10815
2021-2-18,4752459,22713
2021-2-19,4780728,28269
2021-2-20,4810327,29599
2021-2-21,4847710,37383
2021-2-22,4848302,592
2021-2-23,4849625,1323
2021-2-24,4905303,55678
2021-2-25,4932992,27689
2021-2-26,4966441,33449
2021-2-27,5000460,34019
2021-2-28,5027738,27278
2021-3-1,5053310,25572
2021-3-2,5068421,15111
2021-3-3,5078144,9723
2021-3-4,5099813,21669
2021-3-5,5126807,26994
2021-3-6,5155780,28973
2021-3-7,5183044,27264
