Date,LADATA.TotalTestResults,LADATA.TotalTestResultsInc
2020-10-3,2357449,0
2020-10-4,2383670,26221
2020-10-5,2391020,7350
2020-10-6,2403780,12760
2020-10-7,2427915,24135
2020-10-8,2440215,12300
2020-10-9,2450087,9872
2020-10-10,2450087,0
2020-10-11,2488868,38781
2020-10-12,2492265,3397
2020-10-13,2512847,20582
2020-10-14,2519723,6876
2020-10-15,2546007,26284
2020-10-16,2565652,19645
2020-10-17,2565652,0
2020-10-18,2592598,26946
2020-10-19,2597464,4866
2020-10-20,2616457,18993
2020-10-21,2631404,14947
2020-10-22,2651160,19756
2020-10-23,2671238,20078
2020-10-24,2671238,0
2020-10-25,2697507,26269
2020-10-26,2702566,5059
2020-10-27,2723277,20711
2020-10-28,2738401,15124
2020-10-29,2751797,13396
2020-10-30,2763671,11874
2020-10-31,2763671,0
2020-11-1,2783118,19447
2020-11-2,2788484,5366
2020-11-3,2817860,29376
2020-11-4,2825919,8059
2020-11-5,2847666,21747
2020-11-6,2866476,18810
2020-11-7,2866476,0
2020-11-8,2892957,26481
2020-11-9,2898463,5506
2020-11-10,2924923,26460
2020-11-11,2924923,0
2020-11-12,2958488,33565
2020-11-13,2992468,33980
2020-11-14,2992468,0
2020-11-15,3029596,37128
2020-11-16,3037236,7640
2020-11-17,3068330,31094
2020-11-18,3085849,17519
2020-11-19,3111627,25778
2020-11-20,3209377,97750
2020-11-21,3209377,0
2020-11-22,3251946,42569
2020-11-23,3262192,10246
2020-11-24,3296384,34192
2020-11-25,3310705,14321
2020-11-26,3310705,0
2020-11-27,3378743,68038
2020-11-28,3378743,0
2020-11-29,3402706,23963
2020-11-30,3403719,1013
2020-12-1,3454451,50732
2020-12-2,3518499,64048
2020-12-3,3541901,23402
2020-12-4,3566534,24633
2020-12-5,3566534,0
2020-12-6,3608083,41549
2020-12-7,3618824,10741
2020-12-8,3647386,28562
2020-12-9,3679908,32522
2020-12-10,3704865,24957
2020-12-11,3739272,34407
2020-12-12,3739272,0
2020-12-13,3794201,54929
2020-12-14,3804370,10169
2020-12-15,3838249,33879
2020-12-16,3863633,25384
2020-12-17,3896824,33191
2020-12-18,3925514,28690
2020-12-19,3925514,0
2020-12-20,3969384,43870
2020-12-21,3981309,11925
2020-12-22,4022758,41449
2020-12-23,4050466,27708
2020-12-24,4075822,25356
2020-12-25,4075822,0
2020-12-26,4075822,0
2020-12-27,4102652,26830
2020-12-28,4108164,5512
