Date,ARDATA.TotalTestResults,ARDATA.TotalTestResultsInc
2020-10-10,1137716,26190
2020-10-11,1146654,8938
2020-10-12,1155066,8412
2020-10-13,1162665,7599
2020-10-14,1173342,10677
2020-10-15,1186002,12660
2020-10-16,1197898,11896
2020-10-17,1207642,9744
2020-10-18,1215944,8302
2020-10-19,1223914,7970
2020-10-20,1231652,7738
2020-10-21,1242752,11100
2020-10-22,1255534,12782
2020-10-23,1267501,11967
2020-10-24,1280018,12517
2020-10-25,1288000,7982
2020-10-26,1294845,6845
2020-10-27,1303236,8391
2020-10-28,1312942,9706
2020-10-29,1325290,12348
2020-10-30,1336571,11281
2020-10-31,1346972,10401
2020-11-1,1346972,0
2020-11-2,1363429,16457
2020-11-3,1368885,5456
2020-11-4,1380122,11237
2020-11-5,1392905,12783
2020-11-6,1407002,14097
2020-11-7,1418493,11491
2020-11-8,1427871,9378
2020-11-9,1436416,8545
2020-11-10,1444744,8328
2020-11-11,1456994,12250
2020-11-12,1470147,13153
2020-11-13,1483864,13717
2020-11-14,1483864,0
2020-11-15,1505554,21690
2020-11-16,1516866,11312
2020-11-17,1525279,8413
2020-11-18,1537783,12504
2020-11-19,1552450,14667
2020-11-20,1565873,13423
2020-11-21,1580941,15068
2020-11-22,1594947,14006
2020-11-23,1605173,10226
2020-11-24,1617903,12730
2020-11-25,1632506,14603
2020-11-26,1647144,14638
2020-11-27,1655994,8850
2020-11-28,1665585,9591
2020-11-29,1675828,10243
2020-11-30,1683457,7629
2020-12-1,1691453,7996
2020-12-2,1703266,11813
2020-12-3,1719401,16135
2020-12-4,1734686,15285
2020-12-5,1748446,13760
2020-12-6,1763150,14704
2020-12-7,1773073,9923
2020-12-8,1783498,10425
2020-12-9,1800034,16536
2020-12-10,1812998,12964
2020-12-11,1828179,15181
2020-12-12,1843031,14852
2020-12-13,1855704,12673
2020-12-14,1866199,10495
2020-12-15,1874471,8272
2020-12-16,1886088,11617
2020-12-17,1899774,13686
2020-12-18,1913448,13674
2020-12-19,1927271,13823
2020-12-20,1940240,12969
2020-12-21,1949529,9289
2020-12-22,1957978,8449
2020-12-23,1970855,12877
2020-12-24,1989073,18218
2020-12-25,1998908,9835
2020-12-26,2006792,7884
2020-12-27,2011608,4816
2020-12-28,2017146,5538
2020-12-29,2024496,7350
2020-12-30,2039060,14564
2020-12-31,2051488,12428
2021-1-1,2068084,16596
2021-1-2,2079788,11704
2021-1-3,2090197,10409
2021-1-4,2095621,5424
2021-1-5,2104323,8702
2021-1-6,2117692,13369
2021-1-7,2129230,11538
2021-1-8,2142739,13509
2021-1-9,2158016,15277
2021-1-10,2192595,34579
2021-1-11,2202491,9896
2021-1-12,2208736,6245
2021-1-13,2219424,10688
2021-1-14,2233844,14420
2021-1-15,2248612,14768
2021-1-16,2261205,12593
2021-1-17,2272698,11493
2021-1-18,2282211,9513
2021-1-19,2288594,6383
2021-1-20,2302494,13900
2021-1-21,2315535,13041
2021-1-22,2327428,11893
2021-1-23,2338521,11093
2021-1-24,2347388,8867
2021-1-25,2356534,9146
2021-1-26,2368680,12146
2021-1-27,2379938,11258
2021-1-28,2394171,14233
2021-1-29,2407700,13529
2021-1-30,2420194,12494
2021-1-31,2431538,11344
2021-2-1,2438501,6963
2021-2-2,2446230,7729
2021-2-3,2480443,34213
2021-2-4,2496513,16070
2021-2-5,2508232,11719
2021-2-6,2520485,12253
2021-2-7,2529325,8840
2021-2-8,2535155,5830
2021-2-9,2542434,7279
2021-2-10,2552254,9820
2021-2-11,2563275,11021
2021-2-12,2569944,6669
2021-2-13,2578512,8568
2021-2-14,2584498,5986
2021-2-15,2587306,2808
2021-2-16,2589008,1702
2021-2-17,2593431,4423
2021-2-18,2595004,1573
2021-2-19,2597383,2379
2021-2-20,2600443,3060
2021-2-21,2602624,2181
2021-2-22,2605058,2434
2021-2-23,2609837,4779
2021-2-24,2618676,8839
2021-2-25,2627733,9057
2021-2-26,2634339,6606
2021-2-27,2641892,7553
2021-2-28,2695887,53995
2021-3-1,2698497,2610
2021-3-2,2702395,3898
2021-3-3,2709946,7551
2021-3-4,2719229,9283
2021-3-5,2728103,8874
2021-3-6,2733062,4959
2021-3-7,2736442,3380
