Date,VTDATA.TotalTestResults,VTDATA.TotalTestResultsInc
2020-10-10,319294,4436
2020-10-11,325665,6371
2020-10-12,332568,6903
2020-10-13,334028,1460
2020-10-14,335448,1420
2020-10-15,340575,5127
2020-10-16,342441,1866
2020-10-17,350356,7915
2020-10-18,355657,5301
2020-10-19,359928,4271
2020-10-20,360803,875
2020-10-21,362906,2103
2020-10-22,367990,5084
2020-10-23,376997,9007
2020-10-24,381875,4878
2020-10-25,388466,6591
2020-10-26,389237,771
2020-10-27,390962,1725
2020-10-28,395571,4609
2020-10-29,398109,2538
2020-10-30,403053,4944
2020-10-31,408161,5108
2020-11-1,412747,4586
2020-11-2,415518,2771
2020-11-3,416146,628
2020-11-4,418799,2653
2020-11-5,424422,5623
2020-11-6,428851,4429
2020-11-7,434341,5490
2020-11-8,438828,4487
2020-11-9,446327,7499
2020-11-10,447581,1254
2020-11-11,449806,2225
2020-11-12,456048,6242
2020-11-13,461509,5461
2020-11-14,468034,6525
2020-11-15,474928,6894
2020-11-16,477590,2662
2020-11-17,479705,2115
2020-11-18,482325,2620
2020-11-19,492865,10540
2020-11-20,497906,5041
2020-11-21,506543,8637
2020-11-22,516661,10118
2020-11-23,523227,6566
2020-11-24,527945,4718
2020-11-25,533135,5190
2020-11-26,533135,0
2020-11-27,546179,13044
2020-11-28,547492,1313
2020-11-29,550991,3499
2020-11-30,552954,1963
2020-12-1,555633,2679
2020-12-2,559575,3942
2020-12-3,567067,7492
2020-12-4,572870,5803
2020-12-5,578009,5139
2020-12-6,583802,5793
2020-12-7,586309,2507
2020-12-8,588633,2324
2020-12-9,593651,5018
2020-12-10,601629,7978
2020-12-11,608412,6783
2020-12-12,612312,3900
2020-12-13,617618,5306
2020-12-14,622141,4523
2020-12-15,625217,3076
2020-12-16,628360,3143
2020-12-17,633446,5086
2020-12-18,640896,7450
2020-12-19,646518,5622
2020-12-20,651541,5023
2020-12-21,656484,4943
2020-12-22,660302,3818
2020-12-23,663684,3382
2020-12-24,671230,7546
2020-12-25,671230,0
2020-12-26,680816,9586
2020-12-27,682083,1267
2020-12-28,684977,2894
2020-12-29,687387,2410
2020-12-30,689597,2210
2020-12-31,697705,8108
2021-1-1,697705,0
2021-1-2,708246,10541
2021-1-3,711104,2858
2021-1-4,712861,1757
2021-1-5,719758,6897
2021-1-6,722745,2987
2021-1-7,731627,8882
2021-1-8,743851,12224
2021-1-9,752906,9055
2021-1-10,759091,6185
2021-1-11,761740,2649
2021-1-12,767325,5585
2021-1-13,771018,3693
2021-1-14,779178,8160
2021-1-15,788759,9581
2021-1-16,796904,8145
2021-1-17,805019,8115
2021-1-18,809158,4139
2021-1-19,813355,4197
2021-1-20,818476,5121
2021-1-21,822888,4412
2021-1-22,834067,11179
2021-1-23,841251,7184
2021-1-24,847983,6732
2021-1-25,853551,5568
2021-1-26,858834,5283
2021-1-27,862821,3987
2021-1-28,870947,8126
2021-1-29,881432,10485
2021-1-30,889677,8245
2021-1-31,897351,7674
2021-2-1,908823,11472
2021-2-2,886121,0
2021-2-3,894557,8436
2021-2-4,903253,8696
2021-2-5,907998,4745
2021-2-6,917191,9193
2021-2-7,930501,13310
2021-2-8,934293,3792
2021-2-9,937330,3037
2021-2-10,942276,4946
2021-2-11,951720,9444
2021-2-12,961542,9822
2021-2-13,958666,0
2021-2-14,966693,8027
2021-2-15,975016,8323
2021-2-16,977567,2551
2021-2-17,987188,9621
2021-2-18,990931,3743
2021-2-19,1003258,12327
2021-2-20,1009285,6027
2021-2-21,1021885,12600
2021-2-22,1024572,2687
2021-2-23,1029049,4477
2021-2-24,1031951,2902
2021-2-25,1033554,1603
2021-2-26,1049205,15651
2021-2-27,1059706,10501
2021-2-28,1068299,8593
2021-3-1,1076259,7960
2021-3-2,1078840,2581
2021-3-3,1083198,4358
2021-3-4,1094855,11657
2021-3-5,1107296,12441
2021-3-6,1115467,8171
2021-3-7,1124215,8748
