Date,HIDATA.TotalTestResults,HIDATA.TotalTestResultsInc
2020-10-11,454713,6903
2020-10-12,454713,0
2020-10-13,456118,1405
2020-10-14,458472,2354
2020-10-15,462541,4069
2020-10-16,466030,3489
2020-10-17,469684,3654
2020-10-18,473581,3897
2020-10-19,477316,3735
2020-10-20,479301,1985
2020-10-21,482982,3681
2020-10-22,487311,4329
2020-10-23,491450,4139
2020-10-24,496293,4843
2020-10-25,500456,4163
2020-10-26,505255,4799
2020-10-27,508490,3235
2020-10-28,512612,4122
2020-10-29,517005,4393
2020-10-30,521859,4854
2020-10-31,526030,4171
2020-11-1,530264,4234
2020-11-2,533672,3408
2020-11-3,537421,3749
2020-11-4,541485,4064
2020-11-5,547333,5848
2020-11-6,551803,4470
2020-11-7,556096,4293
2020-11-8,562270,6174
2020-11-9,566994,4724
2020-11-10,570008,3014
2020-11-11,574852,4844
2020-11-12,580075,5223
2020-11-13,584937,4862
2020-11-14,589797,4860
2020-11-15,595115,5318
2020-11-16,599994,4879
2020-11-17,602834,2840
2020-11-18,607362,4528
2020-11-19,612615,5253
2020-11-20,618178,5563
2020-11-21,625015,6837
2020-11-22,630357,5342
2020-11-23,636113,5756
2020-11-24,639725,3612
2020-11-25,640859,1134
2020-11-26,649900,9041
2020-11-27,655563,5663
2020-11-28,659720,4157
2020-11-29,665237,5517
2020-11-30,669762,4525
2020-12-1,673164,3402
2020-12-2,677445,4281
2020-12-3,683735,6290
2020-12-4,686756,3021
2020-12-5,695177,8421
2020-12-6,701776,6599
2020-12-7,708166,6390
2020-12-8,710816,2650
2020-12-9,714668,3852
2020-12-10,721655,6987
2020-12-11,726436,4781
2020-12-12,731218,4782
2020-12-13,736069,4851
2020-12-14,741041,4972
2020-12-15,744247,3206
2020-12-16,747909,3662
2020-12-17,753607,5698
2020-12-18,758327,4720
2020-12-19,764373,6046
2020-12-20,770257,5884
2020-12-21,773450,3193
2020-12-22,776936,3486
2020-12-23,781435,4499
2020-12-24,786641,5206
2020-12-25,780457,0
2020-12-26,795578,15121
2020-12-27,798302,2724
2020-12-28,800645,2343
2020-12-29,803715,3070
2020-12-30,807135,3420
2020-12-31,812338,5203
2021-1-1,816811,4473
2021-1-2,822805,5994
2021-1-3,825956,3151
2021-1-4,828410,2454
2021-1-5,832476,4066
2021-1-6,836346,3870
2021-1-7,849892,13546
2021-1-8,856526,6634
2021-1-9,863028,6502
2021-1-10,869572,6544
2021-1-11,875020,5448
2021-1-12,878074,3054
2021-1-13,882893,4819
2021-1-14,888876,5983
2021-1-15,894688,5812
2021-1-16,905322,10634
2021-1-17,910779,5457
2021-1-18,915086,4307
2021-1-19,918361,3275
2021-1-20,921908,3547
2021-1-21,926411,4503
2021-1-22,931476,5065
2021-1-23,936450,4974
2021-1-24,942303,5853
2021-1-25,946345,4042
2021-1-26,948691,2346
2021-1-27,953191,4500
2021-1-28,958263,5072
2021-1-29,973434,15171
2021-1-30,982906,9472
2021-1-31,987475,4569
2021-2-1,993306,5831
2021-2-2,995847,2541
2021-2-3,978901,0
2021-2-4,983021,4120
2021-2-5,988117,5096
2021-2-6,997323,9206
2021-2-7,1002019,4696
2021-2-8,1005681,3662
2021-2-9,1008490,2809
2021-2-10,1012812,4322
2021-2-11,1017996,5184
2021-2-12,1023552,5556
2021-2-13,1029156,5604
2021-2-14,1034740,5584
2021-2-15,1039013,4273
2021-2-16,1039472,459
2021-2-17,1041656,2184
2021-2-18,1049298,7642
2021-2-19,1053796,4498
2021-2-20,1054099,303
2021-2-21,1063576,9477
2021-2-22,1069386,5810
2021-2-23,1070170,784
2021-2-24,1075225,5055
2021-2-25,1080715,5490
2021-2-26,1085483,4768
2021-2-27,1107517,22034
2021-2-28,1112978,5461
2021-3-1,1117157,4179
2021-3-2,1120660,3503
2021-3-3,1124866,4206
2021-3-4,1131093,6227
2021-3-5,1136395,5302
2021-3-6,1141679,5284
2021-3-7,1146796,5117
