Date,CADATA.TotalTestResults,CADATA.TotalTestResultsInc
2020-9-24,13952857,73434
2020-9-25,14052247,99390
2020-9-26,14182730,130483
2020-9-27,14333498,150768
2020-9-28,14484852,151354
2020-9-29,14613545,128693
2020-9-30,14705202,91657
2020-10-1,14771851,66649
2020-10-2,14868431,96580
2020-10-3,14998888,130457
2020-10-4,15160287,161399
2020-10-5,15301681,141394
2020-10-6,15430421,128740
2020-10-7,15556706,126285
2020-10-8,15623623,66917
2020-10-9,15736497,112874
2020-10-10,15878445,141948
2020-10-11,16047004,168559
2020-10-12,16191341,144337
2020-10-13,16333717,142376
2020-10-14,16425487,91770
2020-10-15,16517812,92325
2020-10-16,16621956,104144
2020-10-17,16756711,134755
2020-10-18,16892062,135351
2020-10-19,17042408,150346
2020-10-20,17189070,146662
2020-10-21,17293139,104069
2020-10-22,17358770,65631
2020-10-23,17483293,124523
2020-10-24,17609179,125886
2020-10-25,17787885,178706
2020-10-26,17982829,194944
2020-10-27,18127049,144220
2020-10-28,18223596,96547
2020-10-29,18323771,100175
2020-10-30,18444523,120752
2020-10-31,18602317,157794
2020-11-1,18743315,140998
2020-11-2,18912501,169186
2020-11-3,19074921,162420
2020-11-4,19181012,106091
2020-11-5,19266363,85351
2020-11-6,19396349,129986
2020-11-7,19565151,168802
2020-11-8,19724628,159477
2020-11-9,19918479,193851
2020-11-10,20094641,176162
2020-11-11,20222093,127452
2020-11-12,20342072,119979
2020-11-13,20478500,136428
2020-11-14,20671596,193096
2020-11-15,20866785,195189
2020-11-16,21068894,202109
2020-11-17,21259076,190182
2020-11-18,21418543,159467
2020-11-19,21552528,133985
2020-11-20,21730551,178023
2020-11-21,21971832,241281
2020-11-22,22237309,265477
2020-11-23,22457544,220235
2020-11-24,22741363,283819
2020-11-25,22910351,168988
2020-11-26,23096745,186394
2020-11-27,23315918,219173
2020-11-28,23573182,257264
2020-11-29,23807501,234319
2020-11-30,24025171,217670
2020-12-1,24161313,136142
2020-12-2,24299126,137813
2020-12-3,24474642,175516
2020-12-4,24675478,200836
2020-12-5,24901975,226497
2020-12-6,25195046,293071
2020-12-7,25493351,298305
2020-12-8,25789775,296424
2020-12-9,26042071,252296
2020-12-10,26324332,282261
2020-12-11,26572343,248011
2020-12-12,26886130,313787
2020-12-13,27195587,309457
2020-12-14,27552039,356452
2020-12-15,27845066,293027
2020-12-16,28149590,304524
2020-12-17,28456358,306768
2020-12-18,28741027,284669
2020-12-19,29112249,371222
2020-12-20,29465170,352921
2020-12-21,29860404,395234
2020-12-22,30190182,329778
2020-12-23,30468560,278378
2020-12-24,30769749,301189
2020-12-25,31066861,297112
2020-12-26,31446542,379681
2020-12-27,31826696,380154
2020-12-28,32128516,301820
2020-12-29,32374471,245955
2020-12-30,32623076,248605
2020-12-31,32855482,232406
2021-1-1,33058311,202829
2021-1-2,33391442,333131
2021-1-3,33812786,421344
2021-1-4,34127013,314227
2021-1-5,34330784,203771
2021-1-6,34548621,217837
2021-1-7,34760355,211734
2021-1-8,35027330,266975
2021-1-9,35353748,326418
2021-1-10,35826824,473076
2021-1-11,36170528,343704
2021-1-12,36508384,337856
2021-1-13,36842651,334267
2021-1-14,37130366,287715
2021-1-15,37449536,319170
2021-1-16,37802255,352719
2021-1-17,38228615,426360
2021-1-18,38655756,427141
2021-1-19,39024543,368787
2021-1-20,39288363,263820
2021-1-21,39512756,224393
2021-1-22,39725839,213083
2021-1-23,39970119,244280
2021-1-24,40285715,315596
2021-1-25,40688908,403193
2021-1-26,41010770,321862
2021-1-27,41252482,241712
2021-1-28,41470634,218152
2021-1-29,41677405,206771
2021-1-30,41980456,303051
2021-1-31,42279018,298562
2021-2-1,42569193,290175
2021-2-2,42851891,282698
2021-2-3,43067233,215342
2021-2-4,43235327,168094
2021-2-5,43433104,197777
2021-2-6,43719155,286051
2021-2-7,43994322,275167
2021-2-8,44323550,329228
2021-2-9,44583304,259754
2021-2-10,44770601,187297
2021-2-11,44923981,153380
2021-2-12,45125441,201460
2021-2-13,45411637,286196
2021-2-14,45703217,291580
2021-2-15,45964127,260910
2021-2-16,46227725,263598
2021-2-17,46384932,157207
2021-2-18,46504255,119323
2021-2-19,46621654,117399
2021-2-20,46813876,192222
2021-2-21,47043348,229472
2021-2-22,47320802,277454
2021-2-23,47513367,192565
2021-2-24,47652172,138805
2021-2-25,47814160,161988
2021-2-26,47995576,181416
2021-2-27,48219490,223914
2021-2-28,48469106,249616
2021-3-1,48712676,243570
2021-3-2,48897190,184514
2021-3-3,49028048,130858
2021-3-4,49147685,119637
2021-3-5,49294503,146818
2021-3-6,49512828,218325
2021-3-7,49646014,133186
