Date,AKDATA.TotalTestResults,AKDATA.TotalTestResultsInc
2020-10-12,505927,2930
2020-10-13,514789,8862
2020-10-14,517177,2388
2020-10-15,519461,2284
2020-10-16,522664,3203
2020-10-17,530500,7836
2020-10-18,532711,2211
2020-10-19,536223,3512
2020-10-20,546525,10302
2020-10-21,547140,615
2020-10-22,548709,1569
2020-10-23,552746,4037
2020-10-24,552746,0
2020-10-25,559969,7223
2020-10-26,570844,10875
2020-10-27,577429,6585
2020-10-28,580599,3170
2020-10-29,584268,3669
2020-10-30,586323,2055
2020-10-31,604207,17884
2020-11-1,604207,0
2020-11-2,620170,15963
2020-11-3,624755,4585
2020-11-4,627758,3003
2020-11-5,781826,154068
2020-11-6,781301,0
2020-11-7,780694,0
2020-11-8,780174,0
2020-11-9,767997,0
2020-11-10,828140,60143
2020-11-11,834590,6450
2020-11-12,844666,10076
2020-11-13,844666,0
2020-11-14,862264,17598
2020-11-15,867382,5118
2020-11-16,872347,4965
2020-11-17,878622,6275
2020-11-18,885558,6936
2020-11-19,898799,13241
2020-11-20,904712,5913
2020-11-21,918745,14033
2020-11-22,926361,7616
2020-11-23,933016,6655
2020-11-24,943401,10385
2020-11-25,954276,10875
2020-11-26,969573,15297
2020-11-27,990773,21200
2020-11-28,999054,8281
2020-11-29,1006180,7126
2020-11-30,1011396,5216
2020-12-1,1018628,7232
2020-12-2,1024643,6015
2020-12-3,1040505,15862
2020-12-4,1050369,9864
2020-12-5,1067231,16862
2020-12-6,1077776,10545
2020-12-7,1082140,4364
2020-12-8,1088978,6838
2020-12-9,1099555,10577
2020-12-10,1113360,13805
2020-12-11,1123545,10185
2020-12-12,1133418,9873
2020-12-13,1143098,9680
2020-12-14,1147560,4462
2020-12-15,1157867,10307
2020-12-16,1166145,8278
2020-12-17,1175723,9578
2020-12-18,1184922,9199
2020-12-19,1193118,8196
2020-12-20,1196506,3388
2020-12-21,1200977,4471
2020-12-22,1215282,14305
2020-12-23,1222027,6745
2020-12-24,1227735,5708
2020-12-25,1227735,0
2020-12-26,1245063,17328
2020-12-27,1250251,5188
2020-12-28,1254397,4146
2020-12-29,1259845,5448
2020-12-30,1267092,7247
2020-12-31,1275750,8658
2021-1-1,1275750,0
2021-1-2,1290349,14599
2021-1-3,1293837,3488
2021-1-4,1297498,3661
2021-1-5,1302859,5361
2021-1-6,1311015,8156
2021-1-7,1326542,15527
2021-1-8,1337749,11207
2021-1-9,1345573,7824
2021-1-10,1352480,6907
2021-1-11,1357708,5228
2021-1-12,1357708,0
2021-1-13,1370835,13127
2021-1-14,1382276,11441
2021-1-15,1389226,6950
2021-1-16,1398649,9423
2021-1-17,1404756,6107
2021-1-18,1410760,6004
2021-1-19,1414531,3771
2021-1-20,1420122,5591
2021-1-21,1430967,10845
2021-1-22,1438958,7991
2021-1-23,1446514,7556
2021-1-24,1453470,6956
2021-1-25,1457053,3583
2021-1-26,1460189,3136
2021-1-27,1467400,7211
2021-1-28,1479849,12449
2021-1-29,1489766,9917
2021-1-30,1495885,6119
2021-1-31,1500325,4440
2021-2-1,1507662,7337
2021-2-2,1511785,4123
2021-2-3,1520206,8421
2021-2-4,1529566,9360
2021-2-5,1536911,7345
2021-2-6,1536911,0
2021-2-7,1536911,0
2021-2-8,1555532,18621
2021-2-9,1561249,5717
2021-2-10,1568003,6754
2021-2-11,1577356,9353
2021-2-12,1584548,7192
2021-2-13,1584548,0
2021-2-14,1584548,0
2021-2-15,1584548,0
2021-2-16,1605827,21279
2021-2-17,1611971,6144
2021-2-18,1619459,7488
2021-2-19,1629829,10370
2021-2-20,1629829,0
2021-2-21,1629829,0
2021-2-22,1648785,18956
2021-2-23,1653425,4640
2021-2-24,1662156,8731
2021-2-25,1671043,8887
2021-2-26,1679675,8632
2021-2-27,1679675,0
2021-2-28,1679675,0
2021-3-1,1698031,18356
2021-3-2,1704660,6629
2021-3-3,1711018,6358
2021-3-4,1724484,13466
2021-3-5,1731628,7144
2021-3-6,1731628,0
2021-3-7,1731628,0
