Date,OKDATA.TotalTestResults,OKDATA.TotalTestResultsInc
2020-10-12,1340702,797
2020-10-13,1373716,33014
2020-10-14,1385669,11953
2020-10-15,1398768,13099
2020-10-16,1418148,19380
2020-10-17,1434035,15887
2020-10-18,1434831,796
2020-10-19,1435605,774
2020-10-20,1467010,31405
2020-10-21,1478225,11215
2020-10-22,1491088,12863
2020-10-23,1511552,20464
2020-10-24,1532709,21157
2020-10-25,1533760,1051
2020-10-26,1534423,663
2020-10-27,1564476,30053
2020-10-28,1575866,11390
2020-10-29,1586185,10319
2020-10-30,1601775,15590
2020-10-31,1617394,15619
2020-11-1,1618743,1349
2020-11-2,1619827,1084
2020-11-3,1647339,27512
2020-11-4,1657117,9778
2020-11-5,1673557,16440
2020-11-6,1689601,16044
2020-11-7,1703072,13471
2020-11-8,1707579,4507
2020-11-9,1709776,2197
2020-11-10,1733198,23422
2020-11-11,1748137,14939
2020-11-12,1750494,2357
2020-11-13,1791023,40529
2020-11-14,1803804,12781
2020-11-15,1807727,3923
2020-11-16,1810456,2729
2020-11-17,1851019,40563
2020-11-18,1868941,17922
2020-11-19,1890561,21620
2020-11-20,1907186,16625
2020-11-21,1960569,53383
2020-11-22,1963975,3406
2020-11-23,1967519,3544
2020-11-24,2011009,43490
2020-11-25,2032905,21896
2020-11-26,2057810,24905
2020-11-27,2061035,3225
2020-11-28,2067292,6257
2020-11-29,2069013,1721
2020-11-30,2071213,2200
2020-12-1,2122950,51737
2020-12-2,2143079,20129
2020-12-3,2161489,18410
2020-12-4,2191644,30155
2020-12-5,2222074,30430
2020-12-6,2225315,3241
2020-12-7,2227218,1903
2020-12-8,2259659,32441
2020-12-9,2278911,19252
2020-12-10,2297621,18710
2020-12-11,2320719,23098
2020-12-12,2343815,23096
2020-12-13,2348147,4332
2020-12-14,2350246,2099
2020-12-15,2389948,39702
2020-12-16,2403866,13918
2020-12-17,2406841,2975
2020-12-18,2443847,37006
2020-12-19,2454616,10769
2020-12-20,2459586,4970
