Date,DEDATA.TotalTestResults,DEDATA.TotalTestResultsInc
2020-10-10,466823,6319
2020-10-11,475176,8353
2020-10-12,481441,6265
2020-10-13,486901,5460
2020-10-14,490608,3707
2020-10-15,492216,1608
2020-10-16,495415,3199
2020-10-17,501473,6058
2020-10-18,506571,5098
2020-10-19,513029,6458
2020-10-20,515381,2352
2020-10-21,518758,3377
2020-10-22,520241,1483
2020-10-23,523154,2913
2020-10-24,528430,5276
2020-10-25,533212,4782
2020-10-26,539399,6187
2020-10-27,542722,3323
2020-10-28,544780,2058
2020-10-29,546837,2057
2020-10-30,550857,4020
2020-10-31,554871,4014
2020-11-1,561267,6396
2020-11-2,565983,4716
2020-11-3,570060,4077
2020-11-4,572483,2423
2020-11-5,573791,1308
2020-11-6,577122,3331
2020-11-7,582281,5159
2020-11-8,587562,5281
2020-11-9,593799,6237
2020-11-10,599043,5244
2020-11-11,603328,4285
2020-11-12,604647,1319
2020-11-13,608774,4127
2020-11-14,616447,7673
2020-11-15,622341,5894
2020-11-16,628938,6597
2020-11-17,634013,5075
2020-11-18,642126,8113
2020-11-19,643342,1216
2020-11-20,659454,16112
2020-11-21,670356,10902
2020-11-22,679949,9593
2020-11-23,687482,7533
2020-11-24,693009,5527
2020-11-25,699643,6634
2020-11-26,705587,5944
2020-11-27,709251,3664
2020-11-28,720190,10939
2020-11-29,729464,9274
2020-11-30,740434,10970
2020-12-1,744188,3754
2020-12-2,748039,3851
2020-12-3,756629,8590
2020-12-4,760804,4175
2020-12-5,769818,9014
2020-12-6,778298,8480
2020-12-7,788258,9960
2020-12-8,796339,8081
2020-12-9,802180,5841
2020-12-10,810338,8158
2020-12-11,819158,8820
2020-12-12,829032,9874
2020-12-13,835861,6829
2020-12-14,845792,9931
2020-12-15,854348,8556
2020-12-16,864024,9676
2020-12-17,874587,10563
2020-12-18,882919,8332
2020-12-19,890439,7520
2020-12-20,898435,7996
2020-12-21,905564,7129
2020-12-22,910372,4808
2020-12-23,913754,3382
2020-12-24,921583,7829
2020-12-25,929429,7846
2020-12-26,939229,9800
2020-12-27,946340,7111
2020-12-28,956366,10026
2020-12-29,966871,10505
2020-12-30,972556,5685
2020-12-31,978204,5648
2021-1-1,984606,6402
2021-1-2,991318,6712
2021-1-3,996096,4778
2021-1-4,1004179,8083
2021-1-5,1013723,9544
2021-1-6,1020329,6606
2021-1-7,1029436,9107
2021-1-8,1039419,9983
2021-1-9,1044510,5091
2021-1-10,1052875,8365
2021-1-11,1063800,10925
2021-1-12,1073700,9900
2021-1-13,1081445,7745
2021-1-14,1089972,8527
2021-1-15,1101490,11518
2021-1-16,1108131,6641
2021-1-17,1116162,8031
2021-1-18,1126630,10468
2021-1-19,1134451,7821
2021-1-20,1142091,7640
2021-1-21,1148366,6275
2021-1-22,1157126,8760
2021-1-23,1167997,10871
2021-1-24,1176841,8844
2021-1-25,1184957,8116
2021-1-26,1192732,7775
2021-1-27,1200135,7403
2021-1-28,1203211,3076
2021-1-29,1211530,8319
2021-1-30,1221186,9656
2021-1-31,1230883,9697
2021-2-1,1236920,6037
