Date,OHDATA.TotalTestResults,OHDATA.TotalTestResultsInc
2020-9-29,3175764,31623
2020-9-30,3202629,26865
2020-10-1,3235757,33128
2020-10-2,3272614,36857
2020-10-3,3318194,45580
2020-10-4,3360328,42134
2020-10-5,3395399,35071
2020-10-6,3428445,33046
2020-10-7,3455487,27042
2020-10-8,3489032,33545
2020-10-9,3534585,45553
2020-10-10,3580126,45541
2020-10-11,3624499,44373
2020-10-12,3661950,37451
2020-10-13,3697762,35812
2020-10-14,3723784,26022
2020-10-15,3757325,33541
2020-10-16,3803860,46535
2020-10-17,3854128,50268
2020-10-18,3898611,44483
2020-10-19,3944711,46100
2020-10-20,3976316,31605
2020-10-21,4007602,31286
2020-10-22,4050342,42740
2020-10-23,4098276,47934
2020-10-24,4149369,51093
2020-10-25,4200014,50645
2020-10-26,4243421,43407
2020-10-27,4279232,35811
2020-10-28,4310465,31233
2020-10-29,4360577,50112
2020-10-30,4411369,50792
2020-10-31,4467444,56075
2020-11-1,4524833,57389
2020-11-2,4570403,45570
2020-11-3,4601220,30817
2020-11-4,4640914,39694
2020-11-5,4691235,50321
2020-11-6,4744403,53168
2020-11-7,4803098,58695
2020-11-8,4865182,62084
2020-11-9,4917881,52699
2020-11-10,4958904,41023
2020-11-11,5005241,46337
2020-11-12,5061774,56533
2020-11-13,5126747,64973
2020-11-14,5187886,61139
2020-11-15,5258841,70955
2020-11-16,5319001,60160
2020-11-17,5361466,42465
2020-11-18,5405692,44226
2020-11-19,5470174,64482
2020-11-20,5535240,65066
2020-11-21,5604370,69130
2020-11-22,5674752,70382
2020-11-23,5744334,69582
2020-11-24,5798330,53996
2020-11-25,5850428,52098
2020-11-26,5915250,64822
2020-11-27,5986297,71047
2020-11-28,6036137,49840
2020-11-29,6086820,50683
2020-11-30,6137070,50250
2020-12-1,6185536,48466
2020-12-2,6220009,34473
2020-12-3,6273710,53701
2020-12-4,6335310,61600
2020-12-5,6402686,67376
2020-12-6,6467429,64743
2020-12-7,6522267,54838
2020-12-8,6573381,51114
2020-12-9,6613087,39706
2020-12-10,6676579,63492
2020-12-11,6741970,65391
2020-12-12,6806899,64929
2020-12-13,6869638,62739
2020-12-14,6927086,57448
2020-12-15,6965747,38661
2020-12-16,6999093,33346
2020-12-17,7056704,57611
2020-12-18,7124102,67398
2020-12-19,7186159,62057
2020-12-20,7244418,58259
2020-12-21,7290873,46455
2020-12-22,7321127,30254
