Date,ORDATA.TotalTestResults,ORDATA.TotalTestResultsInc
2020-10-5,1127409,6793
2020-10-6,1133099,5690
2020-10-7,1141677,8578
2020-10-8,1151507,9830
2020-10-9,1163149,11642
2020-10-10,1176669,13520
2020-10-11,1189305,12636
2020-10-12,1197997,8692
2020-10-13,1204781,6784
2020-10-14,1218594,13813
2020-10-15,1229877,11283
2020-10-16,1246662,16785
2020-10-17,1260818,14156
2020-10-18,1272320,11502
2020-10-19,1280774,8454
2020-10-20,1290107,9333
2020-10-21,1303311,13204
2020-10-22,1314825,11514
2020-10-23,1328282,13457
2020-10-24,1347047,18765
2020-10-25,1360636,13589
2020-10-26,1372760,12124
2020-10-27,1381168,8408
2020-10-28,1395967,14799
2020-10-29,1410226,14259
2020-10-30,1425532,15306
2020-10-31,1441159,15627
2020-11-1,1467857,26698
2020-11-2,1482245,14388
2020-11-3,1491094,8849
2020-11-4,1504407,13313
2020-11-5,1518927,14520
2020-11-6,1533487,14560
2020-11-7,1552390,18903
2020-11-8,1567802,15412
2020-11-9,1583228,15426
2020-11-10,1594543,11315
2020-11-11,1608006,13463
2020-11-12,1625667,17661
2020-11-13,1641992,16325
2020-11-14,1662462,20470
2020-11-15,1682612,20150
2020-11-16,1696488,13876
2020-11-17,1709357,12869
2020-11-18,1724634,15277
2020-11-19,1743437,18803
2020-11-20,1764476,21039
2020-11-21,1788488,24012
2020-11-22,1812656,24168
2020-11-23,1826052,13396
2020-11-24,1842179,16127
2020-11-25,1869208,27029
2020-11-26,1891785,22577
2020-11-27,1915466,23681
2020-11-28,1935773,20307
2020-11-29,1954429,18656
2020-11-30,1967397,12968
2020-12-1,1979780,12383
2020-12-2,2002315,22535
2020-12-3,2021665,19350
2020-12-4,2043047,21382
2020-12-5,2087054,44007
2020-12-6,2119510,32456
2020-12-7,2138331,18821
2020-12-8,2153661,15330
2020-12-9,2175160,21499
2020-12-10,2193822,18662
2020-12-11,2216527,22705
2020-12-12,2242771,26244
2020-12-13,2242771,0
2020-12-14,2242771,0
2020-12-15,2304931,62160
2020-12-16,2343728,38797
2020-12-17,2368409,24681
2020-12-18,2392813,24404
2020-12-19,2415804,22991
2020-12-20,2415804,0
2020-12-21,2415804,0
2020-12-22,2472444,56640
2020-12-23,2491437,18993
2020-12-24,2517896,26459
2020-12-25,2537482,19586
2020-12-26,2537482,0
2020-12-27,2537482,0
2020-12-28,2537482,0
2020-12-29,2598391,60909
2020-12-30,2613558,15167
2020-12-31,2632475,18917
2021-1-1,2652670,20195
2021-1-2,2652670,0
2021-1-3,2652670,0
2021-1-4,2652670,0
2021-1-5,2722777,70107
2021-1-6,2722777,0
2021-1-7,2741116,18339
2021-1-8,2762331,21215
2021-1-9,2786624,24293
2021-1-10,2786624,0
2021-1-11,2786624,0
2021-1-12,2839839,53215
2021-1-13,2856686,16847
2021-1-14,2874572,17886
2021-1-15,2895680,21108
2021-1-16,2919566,23886
2021-1-17,2919566,0
2021-1-18,2919566,0
2021-1-19,2919566,0
2021-1-20,2987263,67697
2021-1-21,3003213,15950
2021-1-22,3023332,20119
2021-1-23,3043792,20460
2021-1-24,3043792,0
2021-1-25,3043792,0
2021-1-26,3081394,37602
2021-1-27,3105100,23706
2021-1-28,3122704,17604
2021-1-29,3133678,10974
2021-1-30,3162750,29072
2021-1-31,3162750,0
2021-2-1,3162750,0
2021-2-2,3202207,39457
2021-2-3,3218747,16540
2021-2-4,3233826,15079
2021-2-5,3253665,19839
2021-2-6,3271481,17816
2021-2-7,3271481,0
2021-2-8,3271481,0
2021-2-9,3314935,43454
2021-2-10,3328998,14063
2021-2-11,3344227,15229
2021-2-12,3364377,20150
2021-2-13,3384703,20326
2021-2-14,3384703,0
