Date,NCDATA.TotalTestResults,NCDATA.TotalTestResultsInc
2020-9-29,3016380,13789
2020-9-30,3030055,13675
2020-10-1,3058629,28574
2020-10-2,3098503,39874
2020-10-3,3133929,35426
2020-10-4,3165818,31889
2020-10-5,3192516,26698
2020-10-6,3210310,17794
2020-10-7,3227198,16888
2020-10-8,3260626,33428
2020-10-9,3300638,40012
2020-10-10,3341821,41183
2020-10-11,3378041,36220
2020-10-12,3410281,32240
2020-10-13,3431640,21359
2020-10-14,3452177,20537
2020-10-15,3485026,32849
2020-10-16,3526194,41168
2020-10-17,3566257,40063
2020-10-18,3599871,33614
2020-10-19,3632454,32583
2020-10-20,3655573,23119
2020-10-21,3672176,16603
2020-10-22,3706914,34738
2020-10-23,3751895,44981
2020-10-24,3790617,38722
2020-10-25,3827249,36632
2020-10-26,3857278,30029
2020-10-27,3882328,25050
2020-10-28,3903917,21589
2020-10-29,3940586,36669
2020-10-30,3983645,43059
2020-10-31,4025732,42087
2020-11-1,4062923,37191
2020-11-2,4095672,32749
2020-11-3,4121813,26141
2020-11-4,4144314,22501
2020-11-5,4184950,40636
2020-11-6,4230191,45241
2020-11-7,4272137,41946
2020-11-8,4310365,38228
2020-11-9,4344103,33738
2020-11-10,4369833,25730
2020-11-11,4395812,25979
2020-11-12,4433680,37868
2020-11-13,4477101,43421
2020-11-14,4521717,44616
2020-11-15,4560187,38470
2020-11-16,4594924,34737
2020-11-17,4623638,28714
2020-11-18,4654490,30852
2020-11-19,4700342,45852
2020-11-20,4750277,49935
2020-11-21,4803616,53339
2020-11-22,4854135,50519
2020-11-23,4896217,42082
2020-11-24,4936308,40091
2020-11-25,4982620,46312
2020-11-26,5027986,45366
2020-11-27,5089455,61469
2020-11-28,5129863,40408
2020-11-29,5169025,39162
2020-11-30,5203379,34354
2020-12-1,5226292,22913
2020-12-2,5252392,26100
2020-12-3,5299428,47036
2020-12-4,5352128,52700
2020-12-5,5408609,56481
2020-12-6,5459687,51078
2020-12-7,5508871,49184
2020-12-8,5546995,38124
2020-12-9,5587556,40561
2020-12-10,5639915,52359
2020-12-11,5703416,63501
2020-12-12,5763195,59779
2020-12-13,5818033,54838
2020-12-14,5862498,44465
2020-12-15,5898630,36132
2020-12-16,5932399,33769
2020-12-17,5985959,53560
2020-12-18,6054989,69030
2020-12-19,6124882,69893
2020-12-20,6186228,61346
2020-12-21,6238603,52375
2020-12-22,6274460,35857
2020-12-23,6318737,44277
2020-12-24,6376650,57913
2020-12-25,6452744,76094
2020-12-26,6505990,53246
2020-12-27,6541776,35786
2020-12-28,6559078,17302
2020-12-29,6578775,19697
2020-12-30,6609303,30528
2020-12-31,6668325,59022
2021-1-1,6741248,72923
2021-1-2,6807491,66243
2021-1-3,6852652,45161
2021-1-4,6890572,37920
2021-1-5,6915111,24539
2021-1-6,6955559,40448
2021-1-7,7019613,64054
2021-1-8,7093220,73607
2021-1-9,7158994,65774
2021-1-10,7226838,67844
2021-1-11,7286664,59826
2021-1-12,7316817,30153
2021-1-13,7357923,41106
2021-1-14,7426166,68243
2021-1-15,7496094,69928
2021-1-16,7567175,71081
2021-1-17,7637008,69833
2021-1-18,7692852,55844
2021-1-19,7724213,31361
2021-1-20,7762095,37882
2021-1-21,7818538,56443
2021-1-22,7888392,69854
2021-1-23,7944482,56090
2021-1-24,8000387,55905
2021-1-25,8051007,50620
2021-1-26,8075827,24820
2021-1-27,8110885,35058
2021-1-28,8173316,62431
2021-1-29,8243508,70192
2021-1-30,8299263,55755
2021-1-31,8356118,56855
2021-2-1,8401409,45291
2021-2-2,8422860,21451
2021-2-3,8451902,29042
