Date,TNDATA.TotalTestResults,TNDATA.TotalTestResultsInc
2020-9-30,2876722,23655
2020-10-1,2894875,18153
2020-10-2,2910999,16124
2020-10-3,2928809,17810
2020-10-4,2962084,33275
2020-10-5,3006185,44101
2020-10-6,3031530,25345
2020-10-7,3053493,21963
2020-10-8,3080509,27016
2020-10-9,3107299,26790
2020-10-10,3131539,24240
2020-10-11,3162492,30953
2020-10-12,3201707,39215
2020-10-13,3215401,13694
2020-10-14,3233299,17898
2020-10-15,3257952,24653
2020-10-16,3263702,5750
2020-10-17,3294056,30354
2020-10-18,3329487,35431
2020-10-19,3371897,42410
2020-10-20,3385051,13154
2020-10-21,3404261,19210
2020-10-22,3424085,19824
2020-10-23,3465912,41827
2020-10-24,3492224,26312
2020-10-25,3533469,41245
2020-10-26,3556087,22618
2020-10-27,3572591,16504
2020-10-28,3594591,22000
2020-10-29,3623338,28747
2020-10-30,3647487,24149
2020-10-31,3657005,9518
2020-11-1,3668310,11305
2020-11-2,3705426,37116
2020-11-3,3719198,13772
2020-11-4,3744640,25442
2020-11-5,3764081,19441
2020-11-6,3775108,11027
2020-11-7,3819604,44496
2020-11-8,3855628,36024
2020-11-9,3910208,54580
2020-11-10,3925460,15252
2020-11-11,3955150,29690
2020-11-12,3976334,21184
2020-11-13,3999108,22774
2020-11-14,4033354,34246
2020-11-15,4078750,45396
2020-11-16,4139612,60862
2020-11-17,4153710,14098
2020-11-18,4177684,23974
2020-11-19,4194621,16937
2020-11-20,4215908,21287
2020-11-21,4243912,28004
2020-11-22,4280065,36153
2020-11-23,4308522,28457
2020-11-24,4313970,5448
2020-11-25,4327806,13836
2020-11-26,4363940,36134
2020-11-27,4398584,34644
2020-11-28,4441366,42782
2020-11-29,4460108,18742
2020-11-30,4515655,55547
2020-12-1,4551590,35935
2020-12-2,4574275,22685
2020-12-3,4593957,19682
2020-12-4,4618937,24980
2020-12-5,4641511,22574
2020-12-6,4656261,14750
2020-12-7,4698459,42198
2020-12-8,4729118,30659
2020-12-9,4773224,44106
2020-12-10,4804074,30850
2020-12-11,4857934,53860
2020-12-12,4869834,11900
2020-12-13,4952865,83031
2020-12-14,5012404,59539
2020-12-15,5056990,44586
2020-12-16,5114800,57810
2020-12-17,5147733,32933
2020-12-18,5212446,64713
2020-12-19,5231856,19410
2020-12-20,5282202,50346
2020-12-21,5340916,58714
2020-12-22,5356942,16026
2020-12-23,5386825,29883
2020-12-24,5413082,26257
2020-12-25,5457439,44357
2020-12-26,5484597,27158
2020-12-27,5496114,11517
2020-12-28,5509458,13344
2020-12-29,5520887,11429
2020-12-30,5547313,26426
2020-12-31,5571715,24402
2021-1-1,5607949,36234
2021-1-2,5643277,35328
2021-1-3,5658641,15364
2021-1-4,5673239,14598
2021-1-5,5686467,13228
2021-1-6,5716342,29875
2021-1-7,5756109,39767
2021-1-8,5789702,33593
2021-1-9,5821802,32100
2021-1-10,5858864,37062
2021-1-11,5879860,20996
2021-1-12,5894813,14953
2021-1-13,5915239,20426
2021-1-14,5939455,24216
2021-1-15,5972373,32918
2021-1-16,6000691,28318
2021-1-17,6030431,29740
2021-1-18,6044547,14116
2021-1-19,6056533,11986
2021-1-20,6078484,21951
2021-1-21,6101159,22675
2021-1-22,6128305,27146
2021-1-23,6158752,30447
2021-1-24,6184590,25838
2021-1-25,6198623,14033
2021-1-26,6207152,8529
2021-1-27,6233246,26094
2021-1-28,6247215,13969
2021-1-29,6277768,30553
2021-1-30,6295021,17253
2021-1-31,6327384,32363
2021-2-1,6336990,9606
2021-2-2,6347070,10080
2021-2-3,6359798,12728
2021-2-4,6389746,29948
2021-2-5,6417656,27910
2021-2-6,6447310,29654
2021-2-7,6475194,27884
2021-2-8,6486810,11616
2021-2-9,6495794,8984
2021-2-10,6523383,27589
2021-2-11,6547434,24051
2021-2-12,6572241,24807
2021-2-13,6592275,20034
2021-2-14,6606949,14674
2021-2-15,6618281,11332
2021-2-16,6626533,8252
2021-2-17,6634437,7904
2021-2-18,6644952,10515
2021-2-19,6654486,9534
2021-2-20,6665429,10943
2021-2-21,6674491,9062
2021-2-22,6681400,6909
2021-2-23,6693645,12245
2021-2-24,6709400,15755
2021-2-25,6735104,25704
2021-2-26,6753759,18655
2021-2-27,6769438,15679
2021-2-28,6780861,11423
2021-3-1,6789970,9109
2021-3-2,6797475,7505
2021-3-3,6817121,19646
2021-3-4,6834882,17761
2021-3-5,6856581,21699
2021-3-6,6872745,16164
2021-3-7,6872745,0
