Date,UTDATA.TotalTestResults,UTDATA.TotalTestResultsInc
2020-10-6,1117631,10769
2020-10-7,1129819,12188
2020-10-8,1142324,12505
2020-10-9,1155601,13277
2020-10-10,1168570,12969
2020-10-11,1179384,10814
2020-10-12,1185818,6434
2020-10-13,1194421,8603
2020-10-14,1206166,11745
2020-10-15,1219473,13307
2020-10-16,1231602,12129
2020-10-17,1243404,11802
2020-10-18,1252983,9579
2020-10-19,1260142,7159
2020-10-20,1268464,8322
2020-10-21,1280311,11847
2020-10-22,1293019,12708
2020-10-23,1305371,12352
2020-10-24,1318345,12974
2020-10-25,1329460,11115
2020-10-26,1334119,4659
2020-10-27,1337238,3119
2020-10-28,1346969,9731
2020-10-29,1361952,14983
2020-10-30,1377493,15541
2020-10-31,1389062,11569
2020-11-1,1398355,9293
2020-11-2,1410145,11790
2020-11-3,1420855,10710
2020-11-4,1429386,8531
2020-11-5,1447849,18463
2020-11-6,1463556,15707
2020-11-7,1480537,16981
2020-11-8,1492793,12256
2020-11-9,1505580,12787
2020-11-10,1522009,16429
2020-11-11,1534980,12971
2020-11-12,1551650,16670
2020-11-13,1567347,15697
2020-11-14,1588754,21407
2020-11-15,1601793,13039
2020-11-16,1615313,13520
2020-11-17,1629097,13784
2020-11-18,1645292,16195
2020-11-19,1667260,21968
2020-11-20,1688789,21529
2020-11-21,1706604,17815
2020-11-22,1725711,19107
2020-11-23,1735824,10113
2020-11-24,1753460,17636
2020-11-25,1765766,12306
2020-11-26,1765766,0
2020-11-27,1797403,31637
2020-11-28,1808085,10682
2020-11-29,1817032,8947
2020-11-30,1824046,7014
2020-12-1,1835594,11548
2020-12-2,1848316,12722
2020-12-3,1866057,17741
2020-12-4,1887656,21599
2020-12-5,1907788,20132
2020-12-6,1922236,14448
2020-12-7,1933554,11318
2020-12-8,1944485,10931
2020-12-9,1959891,15406
2020-12-10,1976803,16912
2020-12-11,1991789,14986
2020-12-12,2009755,17966
2020-12-13,2024335,14580
2020-12-14,2033175,8840
2020-12-15,2043380,10205
2020-12-16,2058906,15526
2020-12-17,2076195,17289
2020-12-18,2091694,15499
2020-12-19,2105617,13923
2020-12-20,2119026,13409
2020-12-21,2129065,10039
2020-12-22,2141321,12256
2020-12-23,2155708,14387
2020-12-24,2171768,16060
2020-12-25,2171768,0
2020-12-26,2192624,20856
2020-12-27,2195885,3261
2020-12-28,2203605,7720
2020-12-29,2214069,10464
2020-12-30,2227885,13816
2020-12-31,2245303,17418
2021-1-1,2245303,0
2021-1-2,2268187,22884
2021-1-3,2274838,6651
2021-1-4,2284687,9849
2021-1-5,2295396,10709
2021-1-6,2312383,16987
2021-1-7,2332387,20004
2021-1-8,2349366,16979
2021-1-9,2362020,12654
2021-1-10,2373998,11978
2021-1-11,2381850,7852
2021-1-12,2394548,12698
2021-1-13,2406992,12444
2021-1-14,2421802,14810
2021-1-15,2436305,14503
2021-1-16,2448874,12569
2021-1-17,2458733,9859
2021-1-18,2465673,6940
2021-1-19,2472897,7224
2021-1-20,2485476,12579
2021-1-21,2498162,12686
2021-1-22,2510554,12392
2021-1-23,2518969,8415
2021-1-24,2529796,10827
2021-1-25,2536306,6510
2021-1-26,2545013,8707
2021-1-27,2557878,12865
2021-1-28,2573911,16033
2021-1-29,2586391,12480
2021-1-30,2598403,12012
2021-1-31,2607358,8955
2021-2-1,2613818,6460
2021-2-2,2623440,9622
2021-2-3,2635985,12545
2021-2-4,2646744,10759
2021-2-5,2658072,11328
