Date,KSDATA.TotalTestResults,KSDATA.TotalTestResultsInc
2020-10-16,589189,9362
2020-10-17,589189,0
2020-10-18,589189,0
2020-10-19,598394,9205
2020-10-20,598394,0
2020-10-21,605509,7115
2020-10-22,605509,0
2020-10-23,616262,10753
2020-10-24,616262,0
2020-10-25,616262,0
2020-10-26,625931,9669
2020-10-27,625931,0
2020-10-28,633033,7102
2020-10-29,633033,0
2020-10-30,642782,9749
2020-10-31,642782,0
2020-11-1,642782,0
2020-11-2,655267,12485
2020-11-3,655267,0
2020-11-4,663680,8413
2020-11-5,663680,0
2020-11-6,676320,12640
2020-11-7,676320,0
2020-11-8,676320,0
2020-11-9,689982,13662
2020-11-10,689982,0
2020-11-11,703647,13665
2020-11-12,700505,0
2020-11-13,706787,6282
2020-11-14,706787,0
2020-11-15,706787,0
2020-11-16,733756,26969
2020-11-17,733756,0
2020-11-18,748261,14505
2020-11-19,748261,0
2020-11-20,763893,15632
2020-11-21,763893,0
2020-11-22,763893,0
2020-11-23,784288,20395
2020-11-24,784288,0
2020-11-25,799185,14897
2020-11-26,799185,0
2020-11-27,812424,13239
2020-11-28,812424,0
2020-11-29,812424,0
2020-11-30,822884,10460
2020-12-1,822884,0
2020-12-2,831182,8298
2020-12-3,831182,0
2020-12-4,845186,14004
2020-12-5,845186,0
2020-12-6,845186,0
2020-12-7,861324,16138
2020-12-8,861324,0
2020-12-9,876052,14728
2020-12-10,876052,0
2020-12-11,890717,14665
2020-12-12,890717,0
2020-12-13,890717,0
2020-12-14,903732,13015
2020-12-15,903732,0
2020-12-16,918265,14533
2020-12-17,918265,0
2020-12-18,930806,12541
2020-12-19,930806,0
2020-12-20,930806,0
2020-12-21,946123,15317
2020-12-22,946123,0
2020-12-23,962204,16081
2020-12-24,962204,0
2020-12-25,962204,0
2020-12-26,962204,0
2020-12-27,962204,0
2020-12-28,985813,23609
2020-12-29,985813,0
2020-12-30,1001232,15419
2020-12-31,1001232,0
2021-1-1,1012506,11274
2021-1-2,1012506,0
2021-1-3,1012506,0
2021-1-4,1024129,11623
2021-1-5,1024129,0
2021-1-6,1037519,13390
2021-1-7,1037519,0
2021-1-8,1051207,13688
2021-1-9,1051207,0
2021-1-10,1051207,0
2021-1-11,1066516,15309
2021-1-12,1066516,0
2021-1-13,1083932,17416
2021-1-14,1083932,0
2021-1-15,1100365,16433
2021-1-16,1100365,0
2021-1-17,1100365,0
2021-1-18,1113766,13401
2021-1-19,1113766,0
2021-1-20,1125705,11939
2021-1-21,1125705,0
2021-1-22,1137411,11706
2021-1-23,1137411,0
2021-1-24,1137411,0
2021-1-25,1147637,10226
2021-1-26,1147637,0
2021-1-27,1159776,12139
2021-1-28,1159776,0
2021-1-29,1168723,8947
2021-1-30,1168723,0
2021-1-31,1168723,0
2021-2-1,1177617,8894
2021-2-2,1177617,0
2021-2-3,1186849,9232
2021-2-4,1186849,0
2021-2-5,1197053,10204
2021-2-6,1197053,0
2021-2-7,1197053,0
2021-2-8,1203759,6706
2021-2-9,1203759,0
2021-2-10,1211493,7734
2021-2-11,1211493,0
2021-2-12,1217589,6096
2021-2-13,1217589,0
2021-2-14,1217589,0
2021-2-15,1224232,6643
2021-2-16,1224232,0
2021-2-17,1229298,5066
2021-2-18,1229298,0
2021-2-19,1238423,9125
2021-2-20,1238423,0
2021-2-21,1238423,0
2021-2-22,1243499,5076
2021-2-23,1243499,0
2021-2-24,1248768,5269
2021-2-25,1248768,0
2021-2-26,1254463,5695
2021-2-27,1254463,0
2021-2-28,1254463,0
2021-3-1,1259105,4642
2021-3-2,1259105,0
2021-3-3,1264760,5655
2021-3-4,1264760,0
2021-3-5,1270547,5787
2021-3-6,1270547,0
2021-3-7,1270547,0
