Date,NEDATA.Death,NEDATA.DeathIncrease
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,2,2
2020-3-29,2,0
2020-3-30,2,0
2020-3-31,3,1
2020-4-1,4,1
2020-4-2,5,1
2020-4-3,6,1
2020-4-4,6,0
2020-4-5,8,2
2020-4-6,8,0
2020-4-7,10,2
2020-4-8,12,2
2020-4-9,14,2
2020-4-10,15,1
2020-4-11,17,2
2020-4-12,17,0
2020-4-13,17,0
2020-4-14,18,1
2020-4-15,20,2
2020-4-16,21,1
2020-4-17,24,3
2020-4-18,24,0
2020-4-19,28,4
2020-4-20,28,0
2020-4-21,33,5
2020-4-22,38,5
2020-4-23,45,7
2020-4-24,47,2
2020-4-25,50,3
2020-4-26,53,3
2020-4-27,56,3
2020-4-28,55,0
2020-4-29,55,0
2020-4-30,68,13
2020-5-1,70,2
2020-5-2,73,3
2020-5-3,76,3
2020-5-4,78,2
2020-5-5,78,0
2020-5-6,82,4
2020-5-7,86,4
2020-5-8,90,4
2020-5-9,92,2
2020-5-10,96,4
2020-5-11,98,2
2020-5-12,100,2
2020-5-13,103,3
2020-5-14,107,4
2020-5-15,113,6
2020-5-16,119,6
2020-5-17,123,4
2020-5-18,123,0
2020-5-19,125,2
2020-5-20,132,7
2020-5-21,138,6
2020-5-22,143,5
2020-5-23,147,4
2020-5-24,147,0
2020-5-25,150,3
2020-5-26,150,0
2020-5-27,153,3
2020-5-28,163,10
2020-5-29,164,1
2020-5-30,170,6
2020-5-31,170,0
2020-6-1,170,0
2020-6-2,178,8
2020-6-3,181,3
2020-6-4,187,6
2020-6-5,186,0
2020-6-6,186,0
2020-6-7,188,2
2020-6-8,188,0
2020-6-9,188,0
2020-6-10,191,3
2020-6-11,195,4
2020-6-12,212,17
2020-6-13,216,4
2020-6-14,216,0
2020-6-15,216,0
2020-6-16,220,4
2020-6-17,231,11
2020-6-18,234,3
2020-6-19,240,6
2020-6-20,244,4
2020-6-21,244,0
2020-6-22,244,0
2020-6-23,249,5
2020-6-24,256,7
2020-6-25,257,1
2020-6-26,260,3
2020-6-27,266,6
2020-6-28,267,1
2020-6-29,267,0
2020-6-30,269,2
2020-7-1,274,5
2020-7-2,276,2
2020-7-3,282,6
2020-7-4,284,2
2020-7-5,284,0
2020-7-6,284,0
2020-7-7,283,0
2020-7-8,282,0
2020-7-9,282,0
2020-7-10,284,2
2020-7-11,286,2
2020-7-12,285,0
2020-7-13,285,0
2020-7-14,288,3
2020-7-15,286,0
2020-7-16,291,5
2020-7-17,299,8
2020-7-18,301,2
2020-7-19,301,0
2020-7-20,301,0
2020-7-21,306,5
2020-7-22,310,4
2020-7-23,311,1
2020-7-24,316,5
2020-7-25,316,0
2020-7-26,316,0
2020-7-27,316,0
2020-7-28,317,1
2020-7-29,321,4
2020-7-30,324,3
2020-7-31,328,4
2020-8-1,332,4
2020-8-2,332,0
2020-8-3,332,0
2020-8-4,332,0
2020-8-5,332,0
2020-8-6,335,3
2020-8-7,340,5
2020-8-8,345,5
2020-8-9,345,0
2020-8-10,345,0
2020-8-11,348,3
2020-8-12,351,3
2020-8-13,356,5
2020-8-14,360,4
2020-8-15,361,1
2020-8-16,361,0
2020-8-17,361,0
2020-8-18,362,1
2020-8-19,368,6
2020-8-20,371,3
2020-8-21,373,2
2020-8-22,376,3
2020-8-23,376,0
2020-8-24,378,2
2020-8-25,383,5
2020-8-26,383,0
2020-8-27,386,3
2020-8-28,391,5
2020-8-29,392,1
2020-8-30,392,0
2020-8-31,392,0
2020-9-1,397,5
2020-9-2,399,2
2020-9-3,399,0
2020-9-4,404,5
2020-9-5,404,0
2020-9-6,404,0
2020-9-7,404,0
2020-9-8,404,0
2020-9-9,406,2
2020-9-10,421,15
2020-9-11,430,9
2020-9-12,434,4
2020-9-13,434,0
2020-9-14,434,0
2020-9-15,435,1
2020-9-16,436,1
2020-9-17,439,3
2020-9-18,442,3
2020-9-19,442,0
2020-9-20,442,0
2020-9-21,442,0
2020-9-22,452,10
2020-9-23,461,9
2020-9-24,462,1
2020-9-25,462,0
2020-9-26,468,6
2020-9-27,469,1
2020-9-28,470,1
2020-9-29,472,2
2020-9-30,478,6
2020-10-1,478,0
2020-10-2,493,15
2020-10-3,493,0
2020-10-4,497,4
2020-10-5,501,4
2020-10-6,503,2
2020-10-7,507,4
2020-10-8,507,0
2020-10-9,514,7
2020-10-10,519,5
2020-10-11,519,0
2020-10-12,519,0
2020-10-13,522,3
2020-10-14,527,5
2020-10-15,530,3
2020-10-16,535,5
2020-10-17,547,12
2020-10-18,548,1
2020-10-19,548,0
2020-10-20,554,6
2020-10-21,565,11
2020-10-22,576,11
2020-10-23,587,11
2020-10-24,591,4
2020-10-25,595,4
2020-10-26,596,1
2020-10-27,603,7
2020-10-28,620,17
2020-10-29,628,8
2020-10-30,637,9
2020-10-31,646,9
2020-11-1,652,6
2020-11-2,654,2
2020-11-3,656,2
2020-11-4,660,4
2020-11-5,669,9
2020-11-6,674,5
2020-11-7,701,27
2020-11-8,703,2
2020-11-9,703,0
2020-11-10,710,7
2020-11-11,730,20
2020-11-12,731,1
2020-11-13,756,25
2020-11-14,775,19
2020-11-15,779,4
2020-11-16,779,0
2020-11-17,797,18
2020-11-18,816,19
2020-11-19,826,10
2020-11-20,854,28
2020-11-21,897,43
2020-11-22,905,8
2020-11-23,909,4
2020-11-24,934,25
2020-11-25,950,16
2020-11-26,978,28
2020-11-27,982,4
2020-11-28,984,2
2020-11-29,989,5
2020-11-30,989,0
2020-12-1,1018,29
2020-12-2,1080,62
2020-12-3,1128,48
2020-12-4,1159,31
2020-12-5,1186,27
2020-12-6,1194,8
2020-12-7,1205,11
2020-12-8,1236,31
2020-12-9,1277,41
2020-12-10,1294,17
2020-12-11,1329,35
2020-12-12,1343,14
2020-12-13,1365,22
2020-12-14,1373,8
2020-12-15,1418,45
2020-12-16,1438,20
2020-12-17,1448,10
2020-12-18,1453,5
2020-12-19,1470,17
2020-12-20,1475,5
2020-12-21,1486,11
2020-12-22,1511,25
2020-12-23,1521,10
2020-12-24,1561,40
2020-12-25,1568,7
2020-12-26,1558,0
2020-12-27,1559,1
2020-12-28,1559,0
2020-12-29,1587,28
2020-12-30,1603,16
2020-12-31,1611,8
2021-1-1,1651,40
2021-1-2,1668,17
2021-1-3,1669,1
2021-1-4,1672,3
2021-1-5,1682,10
2021-1-6,1692,10
2021-1-7,1703,11
2021-1-8,1811,108
2021-1-9,1733,0
2021-1-10,1737,4
2021-1-11,1760,23
2021-1-12,1772,12
2021-1-13,1791,19
2021-1-14,1803,12
