Date,SDDATA.Death,SDDATA.DeathIncrease
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,1,1
2020-3-19,1,0
2020-3-20,1,0
2020-3-21,1,0
2020-3-22,1,0
2020-3-23,1,0
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,1,0
2020-3-28,1,0
2020-3-29,1,0
2020-3-30,1,0
2020-3-31,1,0
2020-4-1,2,1
2020-4-2,2,0
2020-4-3,2,0
2020-4-4,2,0
2020-4-5,2,0
2020-4-6,4,2
2020-4-7,6,2
2020-4-8,6,0
2020-4-9,6,0
2020-4-10,6,0
2020-4-11,6,0
2020-4-12,6,0
2020-4-13,6,0
2020-4-14,6,0
2020-4-15,6,0
2020-4-16,7,1
2020-4-17,7,0
2020-4-18,7,0
2020-4-19,7,0
2020-4-20,7,0
2020-4-21,8,1
2020-4-22,8,0
2020-4-23,9,1
2020-4-24,10,1
2020-4-25,10,0
2020-4-26,11,1
2020-4-27,11,0
2020-4-28,11,0
2020-4-29,13,2
2020-4-30,17,4
2020-5-1,21,4
2020-5-2,21,0
2020-5-3,21,0
2020-5-4,21,0
2020-5-5,24,3
2020-5-6,29,5
2020-5-7,31,2
2020-5-8,31,0
2020-5-9,34,3
2020-5-10,34,0
2020-5-11,34,0
2020-5-12,39,5
2020-5-13,39,0
2020-5-14,43,4
2020-5-15,44,1
2020-5-16,44,0
2020-5-17,44,0
2020-5-18,44,0
2020-5-19,46,2
2020-5-20,46,0
2020-5-21,48,2
2020-5-22,50,2
2020-5-23,50,0
2020-5-24,50,0
2020-5-25,50,0
2020-5-26,50,0
2020-5-27,54,4
2020-5-28,54,0
2020-5-29,59,5
2020-5-30,62,3
2020-5-31,62,0
2020-6-1,62,0
2020-6-2,62,0
2020-6-3,62,0
2020-6-4,64,2
2020-6-5,65,1
2020-6-6,65,0
2020-6-7,65,0
2020-6-8,65,0
2020-6-9,68,3
2020-6-10,69,1
2020-6-11,73,4
2020-6-12,74,1
2020-6-13,75,1
2020-6-14,75,0
2020-6-15,75,0
2020-6-16,77,2
2020-6-17,78,1
2020-6-18,78,0
2020-6-19,81,3
2020-6-20,81,0
2020-6-21,81,0
2020-6-22,81,0
2020-6-23,83,2
2020-6-24,84,1
2020-6-25,87,3
2020-6-26,88,1
2020-6-27,91,3
2020-6-28,91,0
2020-6-29,91,0
2020-6-30,91,0
2020-7-1,93,2
2020-7-2,97,4
2020-7-3,97,0
2020-7-4,97,0
2020-7-5,97,0
2020-7-6,97,0
2020-7-7,98,1
2020-7-8,98,0
2020-7-9,101,3
2020-7-10,107,6
2020-7-11,109,2
2020-7-12,109,0
2020-7-13,109,0
2020-7-14,109,0
2020-7-15,111,2
2020-7-16,115,4
2020-7-17,116,1
2020-7-18,116,0
2020-7-19,118,2
2020-7-20,118,0
2020-7-21,118,0
2020-7-22,119,1
2020-7-23,121,2
2020-7-24,122,1
2020-7-25,122,0
2020-7-26,123,1
2020-7-27,123,0
2020-7-28,123,0
2020-7-29,129,6
2020-7-30,129,0
2020-7-31,130,1
2020-8-1,134,4
2020-8-2,135,1
2020-8-3,135,0
2020-8-4,136,1
2020-8-5,137,1
2020-8-6,141,4
2020-8-7,144,3
2020-8-8,146,2
2020-8-9,146,0
2020-8-10,146,0
2020-8-11,146,0
2020-8-12,147,1
2020-8-13,148,1
2020-8-14,150,2
2020-8-15,152,2
2020-8-16,153,1
2020-8-17,153,0
2020-8-18,154,1
2020-8-19,155,1
2020-8-20,157,2
2020-8-21,159,2
2020-8-22,160,1
2020-8-23,161,1
2020-8-24,161,0
2020-8-25,161,0
2020-8-26,162,1
2020-8-27,162,0
2020-8-28,165,3
2020-8-29,167,2
2020-8-30,167,0
2020-8-31,167,0
2020-9-1,167,0
2020-9-2,169,2
2020-9-3,169,0
2020-9-4,170,1
2020-9-5,173,3
2020-9-6,173,0
2020-9-7,173,0
2020-9-8,173,0
2020-9-9,173,0
2020-9-10,177,4
2020-9-11,177,0
2020-9-12,183,6
2020-9-13,184,1
2020-9-14,184,0
2020-9-15,184,0
2020-9-16,192,8
2020-9-17,193,1
2020-9-18,198,5
2020-9-19,200,2
2020-9-20,202,2
2020-9-21,202,0
2020-9-22,202,0
2020-9-23,202,0
2020-9-24,210,8
2020-9-25,216,6
2020-9-26,218,2
2020-9-27,218,0
2020-9-28,218,0
2020-9-29,223,5
2020-9-30,223,0
2020-10-1,236,13
2020-10-2,237,1
2020-10-3,248,11
2020-10-4,248,0
2020-10-5,248,0
2020-10-6,248,0
2020-10-7,258,10
2020-10-8,272,14
2020-10-9,277,5
2020-10-10,286,9
2020-10-11,286,0
2020-10-12,288,2
2020-10-13,288,0
2020-10-14,291,3
2020-10-15,304,13
2020-10-16,307,3
2020-10-17,315,8
2020-10-18,323,8
2020-10-19,323,0
2020-10-20,330,7
2020-10-21,333,3
2020-10-22,347,14
2020-10-23,356,9
2020-10-24,366,10
2020-10-25,375,9
2020-10-26,375,0
2020-10-27,375,0
2020-10-28,384,9
2020-10-29,403,19
2020-10-30,415,12
2020-10-31,425,10
2020-11-1,437,12
2020-11-2,438,1
2020-11-3,446,8
2020-11-4,460,14
2020-11-5,482,22
2020-11-6,510,28
2020-11-7,523,13
2020-11-8,536,13
2020-11-9,537,1
2020-11-10,540,3
2020-11-11,567,27
2020-11-12,567,0
2020-11-13,568,1
2020-11-14,621,53
2020-11-15,644,23
2020-11-16,644,0
2020-11-17,644,0
2020-11-18,674,30
2020-11-19,705,31
2020-11-20,741,36
2020-11-21,777,36
2020-11-22,819,42
2020-11-23,819,0
2020-11-24,821,2
2020-11-25,849,28
2020-11-26,849,0
2020-11-27,888,39
2020-11-28,942,54
2020-11-29,943,1
2020-11-30,946,3
2020-12-1,948,2
2020-12-2,995,47
2020-12-3,1033,38
2020-12-4,1064,31
2020-12-5,1091,27
2020-12-6,1110,19
2020-12-7,1110,0
2020-12-8,1111,1
2020-12-9,1147,36
2020-12-10,1177,30
2020-12-11,1210,33
2020-12-12,1243,33
2020-12-13,1259,16
2020-12-14,1259,0
2020-12-15,1261,2
2020-12-16,1300,39
2020-12-17,1301,1
2020-12-18,1329,28
2020-12-19,1350,21
2020-12-20,1361,11
2020-12-21,1381,20
2020-12-22,1381,0
2020-12-23,1389,8
2020-12-24,1430,41
2020-12-25,1430,0
2020-12-26,1446,16
2020-12-27,1446,0
2020-12-28,1446,0
2020-12-29,1446,0
2020-12-30,1464,18
2020-12-31,1488,24
2021-1-1,1488,0
2021-1-2,1501,13
2021-1-3,1513,12
2021-1-4,1513,0
2021-1-5,1513,0
2021-1-6,1519,6
2021-1-7,1544,25
2021-1-8,1556,12
2021-1-9,1570,14
2021-1-10,1585,15
2021-1-11,1585,0
2021-1-12,1585,0
2021-1-13,1604,19
2021-1-14,1614,10
2021-1-15,1629,15
2021-1-16,1633,4
2021-1-17,1656,23
2021-1-18,1667,11
2021-1-19,1667,0
2021-1-20,1667,0
2021-1-21,1673,6
2021-1-22,1684,11
2021-1-23,1696,12
2021-1-24,1705,9
2021-1-25,1705,0
2021-1-26,1705,0
2021-1-27,1739,34
2021-1-28,1763,24
2021-1-29,1768,5
2021-1-30,1775,7
2021-1-31,1778,3
2021-2-1,1778,0
2021-2-2,1779,1
2021-2-3,1782,3
2021-2-4,1788,6
2021-2-5,1798,10
2021-2-6,1804,6
2021-2-7,1809,5
2021-2-8,1809,0
2021-2-9,1809,0
2021-2-10,1815,6
2021-2-11,1829,14
2021-2-12,1831,2
2021-2-13,1838,7
2021-2-14,1844,6
2021-2-15,1844,0
2021-2-16,1844,0
2021-2-17,1844,0
2021-2-18,1847,3
2021-2-19,1853,6
2021-2-20,1859,6
2021-2-21,1863,4
2021-2-22,1863,0
2021-2-23,1863,0
2021-2-24,1864,1
2021-2-25,1872,8
2021-2-26,1879,7
2021-2-27,1886,7
2021-2-28,1888,2
2021-3-1,1888,0
