Date,KSDATA.Hosp,KSDATA.HospCum
2020-10-21,3506,3506
2020-10-22,3506,3506
2020-10-23,3584,3584
2020-10-24,3584,3584
2020-10-25,3584,3584
2020-10-26,3646,3646
2020-10-27,3646,3646
2020-10-28,3752,3752
2020-10-29,3752,3752
2020-10-30,3832,3832
2020-10-31,3832,3832
2020-11-1,3832,3832
2020-11-2,3893,3893
2020-11-3,3893,3893
2020-11-4,3984,3984
2020-11-5,3984,3984
2020-11-6,4067,4067
2020-11-7,4067,4067
2020-11-8,4067,4067
2020-11-9,4138,4138
2020-11-10,4138,4138
2020-11-11,4252,4252
2020-11-12,4252,4252
2020-11-13,4327,4327
2020-11-14,4327,4327
2020-11-15,4327,4327
2020-11-16,4431,4431
2020-11-17,4431,4431
2020-11-18,4561,4561
2020-11-19,4561,4561
2020-11-20,4682,4682
2020-11-21,4682,4682
2020-11-22,4682,4682
2020-11-23,4777,4777
2020-11-24,4777,4777
2020-11-25,4921,4921
2020-11-26,4921,4921
2020-11-27,5018,5018
2020-11-28,5018,5018
2020-11-29,5018,5018
2020-11-30,5105,5105
2020-12-1,5105,5105
2020-12-2,5290,5290
2020-12-3,5290,5290
2020-12-4,5417,5417
2020-12-5,5417,5417
2020-12-6,5417,5417
2020-12-7,5509,5509
2020-12-8,5509,5509
2020-12-9,5654,5654
2020-12-10,5654,5654
2020-12-11,5800,5800
2020-12-12,5800,5800
2020-12-13,5800,5800
2020-12-14,5895,5895
2020-12-15,5895,5895
2020-12-16,6050,6050
2020-12-17,6050,6050
2020-12-18,6175,6175
2020-12-19,6175,6175
2020-12-20,6175,6175
2020-12-21,6267,6267
2020-12-22,6267,6267
2020-12-23,6424,6424
2020-12-24,6424,6424
2020-12-25,6424,6424
2020-12-26,6424,6424
2020-12-27,6424,6424
2020-12-28,6568,6568
2020-12-29,6568,6568
2020-12-30,6760,6760
2020-12-31,6760,6760
2021-1-1,6903,6903
2021-1-2,6903,6903
2021-1-3,6903,6903
2021-1-4,6955,6955
2021-1-5,6955,6955
2021-1-6,7113,7113
2021-1-7,7113,7113
2021-1-8,7257,7257
2021-1-9,7257,7257
2021-1-10,7257,7257
2021-1-11,7351,7351
2021-1-12,7351,7351
2021-1-13,7540,7540
2021-1-14,7540,7540
2021-1-15,7713,7713
2021-1-16,7713,7713
2021-1-17,7713,7713
2021-1-18,7807,7807
2021-1-19,7807,7807
2021-1-20,7930,7930
2021-1-21,7930,7930
2021-1-22,8041,8041
2021-1-23,8041,8041
2021-1-24,8041,8041
2021-1-25,8117,8117
2021-1-26,8117,8117
2021-1-27,8268,8268
2021-1-28,8268,8268
2021-1-29,8417,8417
2021-1-30,8417,8417
2021-1-31,8417,8417
2021-2-1,8489,8489
2021-2-2,8489,8489
2021-2-3,8578,8578
2021-2-4,8578,8578
2021-2-5,8680,8680
2021-2-6,8680,8680
2021-2-7,8680,8680
2021-2-8,8749,8749
2021-2-9,8749,8749
2021-2-10,8840,8840
2021-2-11,8840,8840
2021-2-12,8887,8887
2021-2-13,8887,8887
2021-2-14,8887,8887
2021-2-15,8923,8923
2021-2-16,8923,8923
2021-2-17,9002,9002
2021-2-18,9002,9002
2021-2-19,9071,9071
2021-2-20,9071,9071
2021-2-21,9071,9071
2021-2-22,9103,9103
2021-2-23,9103,9103
2021-2-24,9189,9189
2021-2-25,9189,9189
2021-2-26,9249,9249
2021-2-27,9249,9249
2021-2-28,9249,9249
2021-3-1,9290,9290
2021-3-2,9290,9290
2021-3-3,9355,9355
2021-3-4,9355,9355
2021-3-5,9387,9387
2021-3-6,9387,9387
2021-3-7,9387,9387
