Date,KYDATA.Hosp,KYDATA.HospCum
2020-10-12,6121,6121
2020-10-13,6259,6259
2020-10-14,6479,6479
2020-10-15,6506,6506
2020-10-16,6545,6545
2020-10-17,6592,6592
2020-10-18,6592,6592
2020-10-19,6616,6616
2020-10-20,6665,6665
2020-10-21,6721,6721
2020-10-22,6761,6761
2020-10-23,6816,6816
2020-10-24,6865,6865
2020-10-25,6865,6865
2020-10-26,6895,6895
2020-10-27,6947,6947
2020-10-28,7008,7008
2020-10-29,7069,7069
2020-10-30,7098,7098
2020-10-31,7210,7210
2020-11-1,7210,7210
2020-11-2,7205,7205
2020-11-3,7344,7344
2020-11-4,7447,7447
2020-11-5,7581,7581
2020-11-6,7708,7708
2020-11-7,7844,7844
2020-11-8,7844,7844
2020-11-9,8274,8274
2020-11-10,8403,8403
2020-11-11,8403,8403
2020-11-12,8567,8567
2020-11-13,8652,8652
2020-11-14,8783,8783
2020-11-15,8783,8783
2020-11-16,8874,8874
2020-11-17,8948,8948
2020-11-18,9052,9052
2020-11-19,9163,9163
2020-11-20,9286,9286
2020-11-21,9411,9411
2020-11-22,9411,9411
2020-11-23,9530,9530
2020-11-24,9623,9623
2020-11-25,9756,9756
2020-11-26,9756,9756
2020-11-27,9907,9907
2020-11-28,9981,9981
2020-11-29,9981,9981
2020-11-30,10054,10054
2020-12-1,10190,10190
2020-12-2,10190,10190
2020-12-3,10311,10311
2020-12-4,10560,10560
2020-12-5,10678,10678
2020-12-6,10678,10678
2020-12-7,10736,10736
2020-12-8,10840,10840
2020-12-9,10986,10986
2020-12-10,11058,11058
2020-12-11,11192,11192
2020-12-12,11306,11306
2020-12-13,11306,11306
2020-12-14,11463,11463
2020-12-15,11589,11589
2020-12-16,11726,11726
2020-12-17,12129,12129
2020-12-18,12184,12184
2020-12-19,12445,12445
2020-12-20,12483,12483
2020-12-21,12515,12515
2020-12-22,12675,12675
2020-12-23,12827,12827
2020-12-24,12827,12827
2020-12-25,12827,12827
2020-12-26,13035,13035
2020-12-27,13067,13067
2020-12-28,13099,13099
2020-12-29,13224,13224
2020-12-30,13488,13488
2020-12-31,13488,13488
2021-1-1,13488,13488
2021-1-2,13686,13686
2021-1-3,13739,13739
2021-1-4,13794,13794
2021-1-5,13850,13850
2021-1-6,14039,14039
2021-1-7,14251,14251
2021-1-8,14359,14359
2021-1-9,14511,14511
2021-1-10,14560,14560
2021-1-11,14621,14621
2021-1-12,14738,14738
2021-1-13,14892,14892
2021-1-14,15022,15022
2021-1-15,15102,15102
2021-1-16,15246,15246
2021-1-17,15246,15246
2021-1-18,15347,15347
2021-1-19,15441,15441
2021-1-20,15562,15562
2021-1-21,15692,15692
2021-1-22,15760,15760
2021-1-23,15855,15855
2021-1-24,15889,15889
2021-1-25,15919,15919
2021-1-26,16002,16002
2021-1-27,16101,16101
2021-1-28,16404,16404
2021-1-29,16546,16546
2021-1-30,16659,16659
2021-1-31,16687,16687
2021-2-1,16725,16725
2021-2-2,16814,16814
2021-2-3,17010,17010
2021-2-4,17170,17170
2021-2-5,17282,17282
2021-2-6,17380,17380
2021-2-7,17411,17411
2021-2-8,17429,17429
2021-2-9,17518,17518
2021-2-10,17715,17715
2021-2-11,17824,17824
2021-2-12,17929,17929
2021-2-13,17942,17942
2021-2-14,18054,18054
2021-2-15,18086,18086
2021-2-16,18183,18183
2021-2-17,18289,18289
2021-2-18,18314,18314
2021-2-19,18438,18438
2021-2-20,18555,18555
2021-2-21,18601,18601
2021-2-22,18625,18625
2021-2-23,18768,18768
2021-2-24,18859,18859
2021-2-25,18888,18888
2021-2-26,18981,18981
2021-2-27,19090,19090
2021-2-28,19101,19101
2021-3-1,19143,19143
2021-3-2,19234,19234
2021-3-3,19304,19304
2021-3-4,19364,19364
2021-3-5,19380,19380
2021-3-6,19451,19451
2021-3-7,19457,19457
