Date,ORDATA.Hosp,ORDATA.HospCum
2020-10-20,2947,2947
2020-10-21,2964,2964
2020-10-22,2989,2989
2020-10-23,3005,3005
2020-10-24,3034,3034
2020-10-25,3034,3034
2020-10-26,3034,3034
2020-10-27,3091,3091
2020-10-28,3111,3111
2020-10-29,3134,3134
2020-10-30,3170,3170
2020-10-31,3204,3204
2020-11-1,3204,3204
2020-11-2,3204,3204
2020-11-3,3251,3251
2020-11-4,3278,3278
2020-11-5,3312,3312
2020-11-6,3334,3334
2020-11-7,3378,3378
2020-11-8,3378,3378
2020-11-9,3378,3378
2020-11-10,3463,3463
2020-11-11,3511,3511
2020-11-12,3553,3553
2020-11-13,3584,3584
2020-11-14,3628,3628
2020-11-15,3628,3628
2020-11-16,3628,3628
2020-11-17,3754,3754
2020-11-18,3805,3805
2020-11-19,3888,3888
2020-11-20,3935,3935
2020-11-21,3970,3970
2020-11-22,3970,3970
2020-11-23,3970,3970
2020-11-24,4120,4120
2020-11-25,4176,4176
2020-11-26,4262,4262
2020-11-27,4262,4262
2020-11-28,4343,4343
2020-11-29,4343,4343
2020-11-30,4343,4343
2020-12-1,4343,4343
2020-12-2,4649,4649
2020-12-3,4745,4745
2020-12-4,4803,4803
2020-12-5,4859,4859
2020-12-6,4859,4859
2020-12-7,4859,4859
2020-12-8,5012,5012
2020-12-9,5064,5064
2020-12-10,5240,5240
2020-12-11,5301,5301
2020-12-12,5395,5395
2020-12-13,5395,5395
2020-12-14,5395,5395
2020-12-15,5503,5503
2020-12-16,5579,5579
2020-12-17,5679,5679
2020-12-18,5745,5745
2020-12-19,5837,5837
2020-12-20,5837,5837
2020-12-21,5837,5837
2020-12-22,5940,5940
2020-12-23,6014,6014
2020-12-24,6122,6122
2020-12-25,6168,6168
2020-12-26,6168,6168
2020-12-27,6168,6168
2020-12-28,6168,6168
2020-12-29,6277,6277
2020-12-30,6354,6354
2020-12-31,6455,6455
2021-1-1,6498,6498
2021-1-2,6498,6498
2021-1-3,6498,6498
2021-1-4,6498,6498
2021-1-5,6635,6635
2021-1-6,6635,6635
2021-1-7,6737,6737
2021-1-8,6845,6845
2021-1-9,6864,6864
2021-1-10,6864,6864
2021-1-11,6864,6864
2021-1-12,6992,6992
2021-1-13,7052,7052
2021-1-14,7123,7123
2021-1-15,7173,7173
2021-1-16,7198,7198
2021-1-17,7198,7198
2021-1-18,7198,7198
2021-1-19,7198,7198
2021-1-20,7324,7324
2021-1-21,7387,7387
2021-1-22,7426,7426
2021-1-23,7469,7469
2021-1-24,7469,7469
2021-1-25,7469,7469
2021-1-26,7545,7545
2021-1-27,7592,7592
2021-1-28,7664,7664
2021-1-29,7708,7708
2021-1-30,7738,7738
2021-1-31,7738,7738
2021-2-1,7738,7738
2021-2-2,7796,7796
2021-2-3,7854,7854
2021-2-4,7896,7896
2021-2-5,7926,7926
2021-2-6,7971,7971
2021-2-7,7971,7971
2021-2-8,7971,7971
2021-2-9,8025,8025
2021-2-10,8076,8076
2021-2-11,8107,8107
2021-2-12,8162,8162
2021-2-13,8185,8185
2021-2-14,8185,8185
2021-2-15,8185,8185
2021-2-16,8185,8185
2021-2-17,8298,8298
2021-2-18,8346,8346
2021-2-19,8380,8380
2021-2-20,8403,8403
2021-2-21,8403,8403
2021-2-22,8403,8403
2021-2-23,8457,8457
2021-2-24,8496,8496
2021-2-25,8528,8528
2021-2-26,8551,8551
2021-2-27,8570,8570
2021-2-28,8570,8570
2021-3-1,8570,8570
2021-3-2,8621,8621
2021-3-3,8653,8653
2021-3-4,8682,8682
2021-3-5,8699,8699
2021-3-6,8714,8714
2021-3-7,8714,8714
