Date,NJDATA.Hosp,NJDATA.HospCum
2020-10-27,37414,37414
2020-10-28,37485,37485
2020-10-29,37549,37549
2020-10-30,37613,37613
2020-10-31,37688,37688
2020-11-1,37721,37721
2020-11-2,37738,37738
2020-11-3,37871,37871
2020-11-4,37958,37958
2020-11-5,38055,38055
2020-11-6,38178,38178
2020-11-7,38250,38250
2020-11-8,38300,38300
2020-11-9,38336,38336
2020-11-10,38453,38453
2020-11-11,38600,38600
2020-11-12,38761,38761
2020-11-13,38866,38866
2020-11-14,38936,38936
2020-11-15,39018,39018
2020-11-16,39106,39106
2020-11-17,39195,39195
2020-11-18,39248,39248
2020-11-19,39648,39648
2020-11-20,39825,39825
2020-11-21,39993,39993
2020-11-22,40099,40099
2020-11-23,40222,40222
2020-11-24,40472,40472
2020-11-25,40706,40706
2020-11-26,40830,40830
2020-11-27,40982,40982
2020-11-28,41118,41118
2020-11-29,41213,41213
2020-11-30,41213,41213
2020-12-1,41305,41305
2020-12-2,41745,41745
2020-12-3,41987,41987
2020-12-4,42163,42163
2020-12-5,42361,42361
2020-12-6,42456,42456
2020-12-7,42560,42560
2020-12-8,42819,42819
2020-12-9,43075,43075
2020-12-10,43259,43259
2020-12-11,43462,43462
2020-12-12,43712,43712
2020-12-13,43834,43834
2020-12-14,43911,43911
2020-12-15,44136,44136
2020-12-16,44461,44461
2020-12-17,44602,44602
2020-12-18,44889,44889
2020-12-19,45032,45032
2020-12-20,45182,45182
2020-12-21,45284,45284
2020-12-22,45544,45544
2020-12-23,45807,45807
2020-12-24,46038,46038
2020-12-25,46202,46202
2020-12-26,46257,46257
2020-12-27,46373,46373
2020-12-28,46483,46483
2020-12-29,46784,46784
2020-12-30,47090,47090
2020-12-31,47326,47326
2021-1-1,48572,48572
2021-1-2,48636,48636
2021-1-3,48743,48743
2021-1-4,48770,48770
2021-1-5,49058,49058
2021-1-6,49324,49324
2021-1-7,49515,49515
2021-1-8,49737,49737
2021-1-9,53171,53171
2021-1-10,53253,53253
2021-1-11,53335,53335
2021-1-12,53577,53577
2021-1-13,53814,53814
2021-1-14,54004,54004
2021-1-15,54180,54180
2021-1-16,54395,54395
2021-1-17,54487,54487
2021-1-18,54566,54566
2021-1-19,54802,54802
2021-1-20,55007,55007
2021-1-21,55191,55191
2021-1-22,55355,55355
2021-1-23,59264,59264
2021-1-24,59369,59369
2021-1-25,59438,59438
2021-1-26,59661,59661
2021-1-27,59879,59879
2021-1-28,60125,60125
2021-1-29,60326,60326
2021-1-30,60471,60471
2021-1-31,60544,60544
2021-2-1,60621,60621
2021-2-2,60822,60822
2021-2-3,60984,60984
2021-2-4,61172,61172
2021-2-5,61333,61333
2021-2-6,61452,61452
2021-2-7,61523,61523
2021-2-8,61597,61597
2021-2-9,61797,61797
2021-2-10,61952,61952
2021-2-11,62108,62108
2021-2-12,62221,62221
