Date,OHDATA.Hosp,OHDATA.HospCum
2020-10-9,16301,16301
2020-10-10,16355,16355
2020-10-11,16399,16399
2020-10-12,16442,16442
2020-10-13,16565,16565
2020-10-14,16716,16716
2020-10-15,16824,16824
2020-10-16,16910,16910
2020-10-17,17009,17009
2020-10-18,17061,17061
2020-10-19,17172,17172
2020-10-20,17388,17388
2020-10-21,17523,17523
2020-10-22,17682,17682
2020-10-23,17866,17866
2020-10-24,18006,18006
2020-10-25,18095,18095
2020-10-26,18235,18235
2020-10-27,18433,18433
2020-10-28,18606,18606
2020-10-29,18800,18800
2020-10-30,18969,18969
2020-10-31,19132,19132
2020-11-1,19220,19220
2020-11-2,19402,19402
2020-11-3,19615,19615
2020-11-4,19801,19801
2020-11-5,20015,20015
2020-11-6,20246,20246
2020-11-7,20395,20395
2020-11-8,20497,20497
2020-11-9,20651,20651
2020-11-10,21037,21037
2020-11-11,21290,21290
2020-11-12,21558,21558
2020-11-13,21856,21856
2020-11-14,22076,22076
2020-11-15,22265,22265
2020-11-16,22478,22478
2020-11-17,22846,22846
2020-11-18,23217,23217
2020-11-19,23560,23560
2020-11-20,23958,23958
2020-11-21,24218,24218
2020-11-22,24423,24423
2020-11-23,24705,24705
2020-11-24,25069,25069
2020-11-25,25486,25486
2020-11-26,25486,25486
2020-11-27,25960,25960
2020-11-28,26262,26262
2020-11-29,26507,26507
2020-11-30,26864,26864
2020-12-1,27449,27449
2020-12-2,27885,27885
2020-12-3,28281,28281
2020-12-4,28673,28673
2020-12-5,28959,28959
2020-12-6,29233,29233
2020-12-7,29569,29569
2020-12-8,30226,30226
2020-12-9,30690,30690
2020-12-10,31142,31142
2020-12-11,31536,31536
2020-12-12,31803,31803
2020-12-13,31973,31973
2020-12-14,32264,32264
2020-12-15,32878,32878
2020-12-16,33375,33375
2020-12-17,33745,33745
2020-12-18,34143,34143
2020-12-19,34553,34553
2020-12-20,34747,34747
2020-12-21,35048,35048
2020-12-22,35594,35594
2020-12-23,36025,36025
2020-12-24,36345,36345
2020-12-25,36345,36345
2020-12-26,36513,36513
2020-12-27,36786,36786
2020-12-28,37076,37076
2020-12-29,37636,37636
2020-12-30,38002,38002
2020-12-31,38334,38334
2021-1-1,38334,38334
2021-1-2,38633,38633
2021-1-3,38798,38798
2021-1-4,39112,39112
2021-1-5,39650,39650
2021-1-6,40104,40104
2021-1-7,40469,40469
2021-1-8,40787,40787
2021-1-9,41057,41057
2021-1-10,41158,41158
2021-1-11,41377,41377
2021-1-12,41863,41863
2021-1-13,42151,42151
2021-1-14,42491,42491
2021-1-15,42807,42807
2021-1-16,43048,43048
2021-1-17,43189,43189
2021-1-18,43351,43351
2021-1-19,43605,43605
2021-1-20,44009,44009
2021-1-21,44315,44315
2021-1-22,44519,44519
2021-1-23,44685,44685
2021-1-24,44783,44783
2021-1-25,44981,44981
2021-1-26,45276,45276
2021-1-27,45530,45530
2021-1-28,45786,45786
2021-1-29,45952,45952
2021-1-30,46135,46135
2021-1-31,46215,46215
2021-2-1,46438,46438
2021-2-2,46659,46659
2021-2-3,46873,46873
2021-2-4,47110,47110
2021-2-5,47338,47338
2021-2-6,47477,47477
2021-2-7,47538,47538
2021-2-8,47672,47672
2021-2-9,47853,47853
2021-2-10,48080,48080
2021-2-11,48269,48269
2021-2-12,48411,48411
2021-2-13,48492,48492
2021-2-14,48556,48556
2021-2-15,48635,48635
2021-2-16,48739,48739
2021-2-17,48888,48888
2021-2-18,49061,49061
2021-2-19,49213,49213
2021-2-20,49317,49317
2021-2-21,49372,49372
2021-2-22,49492,49492
2021-2-23,49651,49651
2021-2-24,49788,49788
2021-2-25,49951,49951
2021-2-26,50118,50118
2021-2-27,50197,50197
2021-2-28,50279,50279
2021-3-1,50382,50382
2021-3-2,50503,50503
2021-3-3,50613,50613
2021-3-4,50695,50695
2021-3-5,50782,50782
2021-3-6,50848,50848
2021-3-7,50881,50881
