Date,SCDATA.Hosp,SCDATA.HospCum
2020-10-12,9600,9600
2020-10-13,9654,9654
2020-10-14,9735,9735
2020-10-15,9798,9798
2020-10-16,9854,9854
2020-10-17,9917,9917
2020-10-18,9939,9939
2020-10-19,9959,9959
2020-10-20,10028,10028
2020-10-21,10062,10062
2020-10-22,10102,10102
2020-10-23,10161,10161
2020-10-24,10212,10212
2020-10-25,10224,10224
2020-10-26,10236,10236
2020-10-27,10286,10286
2020-10-28,10345,10345
2020-10-29,10404,10404
2020-10-30,10452,10452
2020-10-31,10500,10500
2020-11-1,10514,10514
2020-11-2,10533,10533
2020-11-3,10599,10599
2020-11-4,10656,10656
2020-11-5,10726,10726
2020-11-6,10776,10776
2020-11-7,10834,10834
2020-11-8,10854,10854
2020-11-9,10884,10884
2020-11-10,10966,10966
2020-11-11,11024,11024
2020-11-12,11084,11084
2020-11-13,11147,11147
2020-11-14,11182,11182
2020-11-15,11211,11211
2020-11-16,11233,11233
2020-11-17,11295,11295
2020-11-18,11349,11349
2020-11-19,11402,11402
2020-11-20,11455,11455
2020-11-21,11495,11495
2020-11-22,11530,11530
2020-11-23,11563,11563
2020-11-24,11655,11655
2020-11-25,11737,11737
2020-11-26,11737,11737
2020-11-27,11794,11794
2020-11-28,11802,11802
2020-11-29,11857,11857
2020-11-30,11877,11877
2020-12-1,11910,11910
2020-12-2,12023,12023
2020-12-3,12126,12126
2020-12-4,12223,12223
2020-12-5,12305,12305
2020-12-6,12380,12380
2020-12-7,12415,12415
2020-12-8,12446,12446
2020-12-9,12527,12527
2020-12-10,12618,12618
2020-12-11,12725,12725
2020-12-12,12725,12725
2020-12-13,12874,12874
2020-12-14,12910,12910
2020-12-15,12960,12960
2020-12-16,13070,13070
2020-12-17,13179,13179
2020-12-18,13267,13267
2020-12-19,13367,13367
2020-12-20,13444,13444
2020-12-21,13466,13466
2020-12-22,13507,13507
2020-12-23,13672,13672
2020-12-24,13776,13776
2020-12-25,13776,13776
2020-12-26,13894,13894
2020-12-27,13975,13975
2020-12-28,14050,14050
2020-12-29,14103,14103
2020-12-30,14236,14236
2020-12-31,14390,14390
2021-1-1,14390,14390
2021-1-2,14586,14586
2021-1-3,14727,14727
2021-1-4,14798,14798
2021-1-5,14851,14851
2021-1-6,15015,15015
2021-1-7,15202,15202
2021-1-8,15335,15335
2021-1-9,15509,15509
2021-1-10,15598,15598
2021-1-11,15664,15664
2021-1-12,15706,15706
2021-1-13,15848,15848
2021-1-14,15940,15940
2021-1-15,16135,16135
2021-1-16,16288,16288
2021-1-17,16436,16436
2021-1-18,16474,16474
2021-1-19,16511,16511
2021-1-20,16689,16689
2021-1-21,16869,16869
2021-1-22,17027,17027
2021-1-23,17164,17164
2021-1-24,17289,17289
2021-1-25,17335,17335
2021-1-26,17390,17390
2021-1-27,17580,17580
2021-1-28,17739,17739
2021-1-29,17888,17888
2021-1-30,17988,17988
2021-1-31,18090,18090
2021-2-1,18113,18113
2021-2-2,18146,18146
2021-2-3,18324,18324
2021-2-4,18462,18462
2021-2-5,18561,18561
2021-2-6,18677,18677
2021-2-7,18756,18756
2021-2-8,18788,18788
2021-2-9,18814,18814
2021-2-10,18941,18941
2021-2-11,19086,19086
2021-2-12,19205,19205
2021-2-13,19307,19307
2021-2-14,19396,19396
2021-2-15,19421,19421
2021-2-16,19452,19452
2021-2-17,19572,19572
2021-2-18,19701,19701
2021-2-19,19796,19796
2021-2-20,19899,19899
2021-2-21,19966,19966
2021-2-22,19994,19994
2021-2-23,20024,20024
2021-2-24,20117,20117
2021-2-25,20195,20195
2021-2-26,20275,20275
2021-2-27,20340,20340
2021-2-28,20387,20387
2021-3-1,20406,20406
2021-3-2,20428,20428
2021-3-3,20501,20501
2021-3-4,20542,20542
2021-3-5,20605,20605
2021-3-6,20659,20659
2021-3-7,20725,20725
