Date,TNDATA.Hosp,TNDATA.HospCum
2020-10-12,9248,9248
2020-10-13,9309,9309
2020-10-14,9371,9371
2020-10-15,9416,9416
2020-10-16,9489,9489
2020-10-17,9555,9555
2020-10-18,9577,9577
2020-10-19,9618,9618
2020-10-20,9681,9681
2020-10-21,9734,9734
2020-10-22,9802,9802
2020-10-23,9882,9882
2020-10-24,9926,9926
2020-10-25,9941,9941
2020-10-26,9985,9985
2020-10-27,10062,10062
2020-10-28,10140,10140
2020-10-29,10208,10208
2020-10-30,10264,10264
2020-10-31,10306,10306
2020-11-1,10307,10307
2020-11-2,10340,10340
2020-11-3,10407,10407
2020-11-4,10484,10484
2020-11-5,10546,10546
2020-11-6,10618,10618
2020-11-7,10645,10645
2020-11-8,10678,10678
2020-11-9,10732,10732
2020-11-10,10813,10813
2020-11-11,10895,10895
2020-11-12,10950,10950
2020-11-13,11055,11055
2020-11-14,11116,11116
2020-11-15,11141,11141
2020-11-16,11201,11201
2020-11-17,11255,11255
2020-11-18,11342,11342
2020-11-19,11422,11422
2020-11-20,11502,11502
2020-11-21,11539,11539
2020-11-22,11570,11570
2020-11-23,11628,11628
2020-11-24,11717,11717
2020-11-25,11814,11814
2020-11-26,11950,11950
2020-11-27,11974,11974
2020-11-28,12005,12005
2020-11-29,12040,12040
2020-11-30,12096,12096
2020-12-1,12209,12209
2020-12-2,12310,12310
2020-12-3,12410,12410
2020-12-4,12488,12488
2020-12-5,12558,12558
2020-12-6,12593,12593
2020-12-7,12638,12638
2020-12-8,12777,12777
2020-12-9,12862,12862
2020-12-10,12952,12952
2020-12-11,13039,13039
2020-12-12,13101,13101
2020-12-13,13144,13144
2020-12-14,13206,13206
2020-12-15,13332,13332
2020-12-16,13437,13437
2020-12-17,13537,13537
2020-12-18,13626,13626
2020-12-19,13626,13626
2020-12-20,13745,13745
2020-12-21,13796,13796
2020-12-22,13876,13876
2020-12-23,13970,13970
2020-12-24,14044,14044
2020-12-25,14044,14044
2020-12-26,14071,14071
2020-12-27,14091,14091
2020-12-28,14156,14156
2020-12-29,14276,14276
2020-12-30,14417,14417
2020-12-31,14531,14531
2021-1-1,14531,14531
2021-1-2,14607,14607
2021-1-3,14648,14648
2021-1-4,14760,14760
2021-1-5,14835,14835
2021-1-6,14935,14935
2021-1-7,15068,15068
2021-1-8,15178,15178
2021-1-9,15254,15254
2021-1-10,15307,15307
2021-1-11,15359,15359
2021-1-12,15510,15510
2021-1-13,15655,15655
2021-1-14,15753,15753
2021-1-15,15873,15873
2021-1-16,15953,15953
2021-1-17,16018,16018
2021-1-18,16061,16061
2021-1-19,16134,16134
2021-1-20,16233,16233
2021-1-21,16344,16344
2021-1-22,16422,16422
2021-1-23,16481,16481
2021-1-24,16504,16504
2021-1-25,16560,16560
2021-1-26,16707,16707
2021-1-27,16823,16823
2021-1-28,16938,16938
2021-1-29,16938,16938
2021-1-30,17092,17092
2021-1-31,17120,17120
2021-2-1,17172,17172
2021-2-2,17276,17276
2021-2-3,17362,17362
2021-2-4,17469,17469
2021-2-5,17564,17564
2021-2-6,17642,17642
2021-2-7,17656,17656
2021-2-8,17695,17695
2021-2-9,17786,17786
2021-2-10,17875,17875
2021-2-11,17920,17920
2021-2-12,17969,17969
2021-2-13,17997,17997
2021-2-14,18017,18017
