Date,NMDATA.Hosp,NMDATA.HospCum
2020-11-15,5570,5570
2020-11-16,5684,5684
2020-11-17,5786,5786
2020-11-18,5875,5875
2020-11-19,5965,5965
2020-11-20,6011,6011
2020-11-21,6072,6072
2020-11-22,6105,6105
2020-11-23,6229,6229
2020-11-24,6309,6309
2020-11-25,6381,6381
2020-11-26,6494,6494
2020-11-27,6542,6542
2020-11-28,6631,6631
2020-11-29,6680,6680
2020-11-30,6782,6782
2020-12-1,6898,6898
2020-12-2,7019,7019
2020-12-3,7078,7078
2020-12-4,7184,7184
2020-12-5,7267,7267
2020-12-6,7321,7321
2020-12-7,7407,7407
2020-12-8,7523,7523
2020-12-9,7597,7597
2020-12-10,7636,7636
2020-12-11,7737,7737
2020-12-12,7832,7832
2020-12-13,7878,7878
2020-12-14,8037,8037
2020-12-15,8139,8139
2020-12-16,8299,8299
2020-12-17,8408,8408
2020-12-18,8571,8571
2020-12-19,8694,8694
2020-12-20,8733,8733
2020-12-21,8846,8846
2020-12-22,8947,8947
2020-12-23,9007,9007
2020-12-24,9118,9118
2020-12-25,9159,9159
2020-12-26,9181,9181
2020-12-27,9266,9266
2020-12-28,9405,9405
2020-12-29,9513,9513
2020-12-30,9614,9614
2020-12-31,9689,9689
2021-1-1,9756,9756
2021-1-2,9814,9814
2021-1-3,9906,9906
2021-1-4,10034,10034
2021-1-5,10163,10163
2021-1-6,10278,10278
2021-1-7,10366,10366
2021-1-8,10510,10510
2021-1-9,10622,10622
2021-1-10,10659,10659
2021-1-11,10721,10721
2021-1-12,10815,10815
2021-1-13,10872,10872
2021-1-14,10947,10947
2021-1-15,11005,11005
2021-1-16,11075,11075
2021-1-17,11106,11106
2021-1-18,11175,11175
2021-1-19,11210,11210
2021-1-20,11280,11280
2021-1-21,11340,11340
2021-1-22,11412,11412
2021-1-23,11457,11457
2021-1-24,11523,11523
2021-1-25,11598,11598
2021-1-26,11700,11700
2021-1-27,11824,11824
2021-1-28,11906,11906
2021-1-29,11989,11989
2021-1-30,12047,12047
2021-1-31,12075,12075
2021-2-1,12119,12119
2021-2-2,12185,12185
2021-2-3,12247,12247
2021-2-4,12320,12320
2021-2-5,12381,12381
2021-2-6,12392,12392
2021-2-7,12408,12408
2021-2-8,12445,12445
2021-2-9,12505,12505
2021-2-10,12557,12557
2021-2-11,12559,12559
2021-2-12,12634,12634
2021-2-13,12657,12657
2021-2-14,12679,12679
2021-2-15,12716,12716
2021-2-16,12757,12757
2021-2-17,12790,12790
2021-2-18,12848,12848
2021-2-19,12891,12891
2021-2-20,12901,12901
2021-2-21,12916,12916
2021-2-22,12938,12938
2021-2-23,12989,12989
2021-2-24,13024,13024
2021-2-25,13054,13054
2021-2-26,13079,13079
2021-2-27,13097,13097
2021-2-28,13108,13108
2021-3-1,13127,13127
2021-3-2,13148,13148
2021-3-3,13190,13190
2021-3-4,13215,13215
2021-3-5,13229,13229
2021-3-6,13242,13242
2021-3-7,13252,13252
