Date,MDDATA.Hosp,MDDATA.HospCum
2020-10-9,15956,15956
2020-10-10,16006,16006
2020-10-11,16058,16058
2020-10-12,16107,16107
2020-10-13,16150,16150
2020-10-14,16215,16215
2020-10-15,16255,16255
2020-10-16,16288,16288
2020-10-17,16352,16352
2020-10-18,16435,16435
2020-10-19,16475,16475
2020-10-20,16516,16516
2020-10-21,16549,16549
2020-10-22,16603,16603
2020-10-23,16650,16650
2020-10-24,16705,16705
2020-10-25,16757,16757
2020-10-26,16819,16819
2020-10-27,16859,16859
2020-10-28,16910,16910
2020-10-29,16971,16971
2020-10-30,17023,17023
2020-10-31,17093,17093
2020-11-1,17178,17178
2020-11-2,17252,17252
2020-11-3,17312,17312
2020-11-4,17363,17363
2020-11-5,17435,17435
2020-11-6,17537,17537
2020-11-7,17627,17627
2020-11-8,17730,17730
2020-11-9,17833,17833
2020-11-10,17914,17914
2020-11-11,18012,18012
2020-11-12,18139,18139
2020-11-13,18281,18281
2020-11-14,18458,18458
2020-11-15,18576,18576
2020-11-16,18688,18688
2020-11-17,18812,18812
2020-11-18,18959,18959
2020-11-19,19134,19134
2020-11-20,19282,19282
2020-11-21,19434,19434
2020-11-22,19636,19636
2020-11-23,19769,19769
2020-11-24,19914,19914
2020-11-25,20068,20068
2020-11-26,20280,20280
2020-11-27,20512,20512
2020-11-28,20713,20713
2020-11-29,20877,20877
2020-11-30,21051,21051
2020-12-1,21206,21206
2020-12-2,21395,21395
2020-12-3,21558,21558
2020-12-4,21756,21756
2020-12-5,21912,21912
2020-12-6,22095,22095
2020-12-7,22259,22259
2020-12-8,22421,22421
2020-12-9,22622,22622
2020-12-10,22833,22833
2020-12-11,23009,23009
2020-12-12,23189,23189
2020-12-13,23393,23393
2020-12-14,23558,23558
2020-12-15,23711,23711
2020-12-16,23908,23908
2020-12-17,24136,24136
2020-12-18,24310,24310
2020-12-19,24422,24422
2020-12-20,24623,24623
2020-12-21,24758,24758
2020-12-22,24955,24955
2020-12-23,25072,25072
2020-12-24,25072,25072
2020-12-25,25541,25541
2020-12-26,25717,25717
2020-12-27,25851,25851
2020-12-28,26078,26078
2020-12-29,26247,26247
2020-12-30,26447,26447
2020-12-31,26636,26636
2021-1-1,26819,26819
2021-1-2,27051,27051
2021-1-3,27196,27196
2021-1-4,27367,27367
2021-1-5,27542,27542
2021-1-6,27711,27711
2021-1-7,27900,27900
2021-1-8,28068,28068
2021-1-9,28296,28296
2021-1-10,28523,28523
2021-1-11,28731,28731
2021-1-12,28860,28860
2021-1-13,28986,28986
2021-1-14,29123,29123
2021-1-15,29285,29285
2021-1-16,29412,29412
2021-1-17,29631,29631
2021-1-18,29842,29842
2021-1-19,30157,30157
2021-1-20,30327,30327
2021-1-21,30498,30498
2021-1-22,30697,30697
2021-1-23,30866,30866
2021-1-24,31034,31034
2021-1-25,31188,31188
2021-1-26,31330,31330
2021-1-27,31468,31468
2021-1-28,31614,31614
2021-1-29,31759,31759
2021-1-30,31888,31888
2021-1-31,32055,32055
2021-2-1,32181,32181
2021-2-2,32291,32291
2021-2-3,32406,32406
2021-2-4,32531,32531
2021-2-5,32687,32687
2021-2-6,32863,32863
2021-2-7,33065,33065
2021-2-8,33187,33187
2021-2-9,33288,33288
2021-2-10,33398,33398
2021-2-11,33508,33508
2021-2-12,33629,33629
2021-2-13,33728,33728
2021-2-14,33808,33808
2021-2-15,33903,33903
2021-2-16,33980,33980
2021-2-17,34078,34078
2021-2-18,34168,34168
2021-2-19,34265,34265
2021-2-20,34355,34355
2021-2-21,34439,34439
2021-2-22,34493,34493
2021-2-23,34577,34577
2021-2-24,34672,34672
2021-2-25,34759,34759
2021-2-26,34848,34848
2021-2-27,34927,34927
2021-2-28,35000,35000
2021-3-1,35069,35069
2021-3-2,35152,35152
2021-3-3,35223,35223
2021-3-4,35304,35304
2021-3-5,35378,35378
2021-3-6,35572,35572
2021-3-7,35651,35651
