Date,KSDATA.InIcuCum,KSDATA.InIcuCurr
2020-12-14,1584,182
2020-12-15,1584,182
2020-12-16,1628,228
2020-12-17,1628,228
2020-12-18,1658,189
2020-12-19,1658,189
2020-12-20,1658,189
2020-12-21,1684,168
2020-12-22,1684,168
2020-12-23,1722,255
2020-12-24,1722,255
2020-12-25,1722,255
2020-12-26,1722,255
2020-12-27,1722,255
2020-12-28,1762,117
2020-12-29,1762,117
2020-12-30,1823,234
2020-12-31,1823,234
2021-1-1,1862,221
2021-1-2,1862,221
2021-1-3,1862,221
2021-1-4,1876,180
2021-1-5,1876,180
2021-1-6,1928,206
2021-1-7,1928,206
2021-1-8,1955,221
2021-1-9,1955,221
2021-1-10,1955,221
2021-1-11,1981,156
2021-1-12,1981,156
2021-1-13,2027,217
2021-1-14,2027,217
2021-1-15,2068,201
2021-1-16,2068,201
2021-1-17,2068,201
2021-1-18,2098,168
2021-1-19,2098,168
2021-1-20,2141,182
2021-1-21,2141,182
2021-1-22,2181,182
2021-1-23,2181,182
2021-1-24,2181,182
2021-1-25,2210,182
2021-1-26,2210,182
2021-1-27,2259,165
2021-1-28,2259,165
2021-1-29,2290,145
2021-1-30,2290,145
2021-1-31,2290,145
2021-2-1,2311,97
2021-2-2,2311,97
2021-2-3,2333,129
2021-2-4,2333,129
2021-2-5,2361,129
2021-2-6,2361,129
2021-2-7,2361,129
2021-2-8,2373,93
2021-2-9,2373,93
2021-2-10,2401,98
2021-2-11,2401,98
2021-2-12,2413,87
2021-2-13,2413,87
2021-2-14,2413,87
2021-2-15,2421,77
2021-2-16,2421,77
2021-2-17,2432,68
2021-2-18,2432,68
2021-2-19,2457,82
2021-2-20,2457,82
2021-2-21,2457,82
2021-2-22,2466,52
2021-2-23,2466,52
2021-2-24,2482,52
2021-2-25,2482,52
2021-2-26,2510,63
2021-2-27,2510,63
2021-2-28,2510,63
2021-3-1,2521,43
2021-3-2,2521,43
2021-3-3,2541,59
2021-3-4,2541,59
2021-3-5,2554,50
2021-3-6,2554,50
2021-3-7,2554,50
