Date,OHDATA.InIcuCum,OHDATA.InIcuCurr
2020-11-28,4608,1120
2020-11-29,4644,1142
2020-11-30,4682,1180
2020-12-1,4729,1233
2020-12-2,4781,1222
2020-12-3,4814,1204
2020-12-4,4847,1208
2020-12-5,4870,1163
2020-12-6,4903,1215
2020-12-7,4943,1163
2020-12-8,5010,1210
2020-12-9,5059,1229
2020-12-10,5090,1193
2020-12-11,5134,1207
2020-12-12,5151,1167
2020-12-13,5171,1186
2020-12-14,5209,1225
2020-12-15,5283,1311
2020-12-16,5344,1254
2020-12-17,5382,1211
2020-12-18,5429,1172
2020-12-19,5483,1124
2020-12-20,5500,1126
2020-12-21,5537,1126
2020-12-22,5588,1160
2020-12-23,5640,1131
2020-12-24,5675,1124
2020-12-25,5675,1124
2020-12-26,5689,1082
2020-12-27,5719,1083
2020-12-28,5749,1108
2020-12-29,5801,1110
2020-12-30,5837,1087
2020-12-31,5870,1059
2021-1-1,5870,1059
2021-1-2,5910,1036
2021-1-3,5933,1054
2021-1-4,5978,1073
2021-1-5,6022,1054
2021-1-6,6065,1021
2021-1-7,6092,997
2021-1-8,6126,1004
2021-1-9,6148,987
2021-1-10,6160,1033
2021-1-11,6188,971
2021-1-12,6237,968
2021-1-13,6252,959
2021-1-14,6289,952
2021-1-15,6328,945
2021-1-16,6345,934
2021-1-17,6355,946
2021-1-18,6371,909
2021-1-19,6391,885
2021-1-20,6430,870
2021-1-21,6465,845
2021-1-22,6485,819
2021-1-23,6507,772
2021-1-24,6521,764
2021-1-25,6560,760
2021-1-26,6600,741
2021-1-27,6621,735
2021-1-28,6644,708
2021-1-29,6667,658
2021-1-30,6682,611
2021-1-31,6690,631
2021-2-1,6709,652
2021-2-2,6730,641
2021-2-3,6766,627
2021-2-4,6800,569
2021-2-5,6821,552
2021-2-6,6832,529
2021-2-7,6836,530
2021-2-8,6847,521
2021-2-9,6869,528
2021-2-10,6889,508
2021-2-11,6908,479
2021-2-12,6917,482
2021-2-13,6925,462
2021-2-14,6933,452
2021-2-15,6939,474
2021-2-16,6949,466
2021-2-17,6974,447
2021-2-18,7002,422
2021-2-19,7014,395
2021-2-20,7023,386
2021-2-21,7028,382
2021-2-22,7044,367
2021-2-23,7073,366
2021-2-24,7083,356
2021-2-25,7104,338
2021-2-26,7119,308
2021-2-27,7130,313
2021-2-28,7134,316
2021-3-1,7148,295
2021-3-2,7160,295
2021-3-3,7174,279
2021-3-4,7181,270
2021-3-5,7184,266
2021-3-6,7205,273
2021-3-7,7207,260
