Date,NHDATA.InIcuCum,NHDATA.InIcuCurr
2020-12-17,293,0
2020-12-18,295,0
2020-12-19,297,0
2020-12-20,297,0
2020-12-21,297,0
2020-12-22,297,0
2020-12-23,297,0
2020-12-24,297,0
2020-12-25,297,0
2020-12-26,297,0
2020-12-27,297,0
2020-12-28,297,0
2020-12-29,299,0
2020-12-30,300,0
2020-12-31,300,0
2021-1-1,300,0
2021-1-2,300,0
2021-1-3,302,0
2021-1-4,303,0
2021-1-5,303,0
2021-1-6,304,0
2021-1-7,305,0
2021-1-8,305,0
2021-1-9,305,0
2021-1-10,305,0
2021-1-11,305,0
2021-1-12,308,0
2021-1-13,310,0
2021-1-14,310,0
2021-1-15,310,0
2021-1-16,311,0
2021-1-17,312,0
2021-1-18,312,0
2021-1-19,315,0
2021-1-20,317,0
2021-1-21,318,0
2021-1-22,319,0
2021-1-23,319,0
2021-1-24,321,0
2021-1-25,324,0
2021-1-26,326,0
2021-1-27,327,0
2021-1-28,327,0
2021-1-29,329,0
2021-1-30,329,0
2021-1-31,330,0
2021-2-1,330,0
2021-2-2,330,0
2021-2-3,331,0
2021-2-4,332,0
2021-2-5,333,0
2021-2-6,334,0
2021-2-7,334,0
2021-2-8,335,0
2021-2-9,335,0
2021-2-10,334,0
2021-2-11,334,0
2021-2-12,334,0
2021-2-13,336,0
2021-2-14,336,0
2021-2-15,336,0
2021-2-16,336,0
2021-2-17,338,0
2021-2-18,338,0
2021-2-19,338,0
2021-2-20,338,0
2021-2-21,339,0
2021-2-22,340,0
2021-2-23,341,0
2021-2-24,342,0
2021-2-25,343,0
2021-2-26,344,0
2021-2-27,345,0
2021-2-28,345,0
2021-3-1,345,0
2021-3-2,346,0
2021-3-3,347,0
2021-3-4,348,0
2021-3-5,348,0
2021-3-6,348,0
2021-3-7,348,0
