Date,CADATA.InIcuCum,CADATA.InIcuCurr
2020-11-30,0,1919
2020-12-1,0,2000
2020-12-2,0,2121
2020-12-3,0,2147
2020-12-4,0,2248
2020-12-5,0,2265
2020-12-6,0,2393
2020-12-7,0,2470
2020-12-8,0,2526
2020-12-9,0,2627
2020-12-10,0,2710
2020-12-11,0,2773
2020-12-12,0,2866
2020-12-13,0,2937
2020-12-14,0,3078
2020-12-15,0,3193
2020-12-16,0,3297
2020-12-17,0,3392
2020-12-18,0,3553
2020-12-19,0,3620
2020-12-20,0,3710
2020-12-21,0,3756
2020-12-22,0,3861
2020-12-23,0,3955
2020-12-24,0,4069
2020-12-25,0,4035
2020-12-26,0,4131
2020-12-27,0,4214
2020-12-28,0,4360
2020-12-29,0,4390
2020-12-30,0,4478
2020-12-31,0,4518
2021-1-1,0,4618
2021-1-2,0,4606
2021-1-3,0,4613
2021-1-4,0,4671
2021-1-5,0,4734
2021-1-6,0,4731
2021-1-7,0,4811
2021-1-8,0,4905
2021-1-9,0,4939
2021-1-10,0,4965
2021-1-11,0,4971
2021-1-12,0,4962
2021-1-13,0,4929
2021-1-14,0,4878
2021-1-15,0,4833
2021-1-16,0,4846
2021-1-17,0,4820
2021-1-18,0,4826
2021-1-19,0,4793
2021-1-20,0,4758
2021-1-21,0,4746
2021-1-22,0,4718
2021-1-23,0,4641
2021-1-24,0,4542
2021-1-25,0,4475
2021-1-26,0,4384
2021-1-27,0,4375
2021-1-28,0,4283
2021-1-29,0,4232
2021-1-30,0,4042
2021-1-31,0,4047
2021-2-1,0,3949
2021-2-2,0,3894
2021-2-3,0,3772
2021-2-4,0,3756
2021-2-5,0,3527
2021-2-6,0,3479
2021-2-7,0,3339
2021-2-8,0,3313
2021-2-9,0,3264
2021-2-10,0,3127
2021-2-11,0,2996
2021-2-12,0,2930
2021-2-13,0,2808
2021-2-14,0,2733
2021-2-15,0,2650
2021-2-16,0,2604
2021-2-17,0,2533
2021-2-18,0,2427
2021-2-19,0,2291
2021-2-20,0,2168
2021-2-21,0,2073
2021-2-22,0,2010
2021-2-23,0,1898
2021-2-24,0,1842
2021-2-25,0,1783
2021-2-26,0,1725
2021-2-27,0,1651
2021-2-28,0,1585
2021-3-1,0,1518
2021-3-2,0,1452
2021-3-3,0,1403
2021-3-4,0,1327
2021-3-5,0,1236
2021-3-6,0,1221
2021-3-7,0,1159
