Date,TNDATA.InIcuCum,TNDATA.InIcuCurr
2021-1-2,0,791
2021-1-3,0,792
2021-1-4,0,825
2021-1-5,0,816
2021-1-6,0,831
2021-1-7,0,819
2021-1-8,0,811
2021-1-9,0,828
2021-1-10,0,778
2021-1-11,0,766
2021-1-12,0,756
2021-1-13,0,783
2021-1-14,0,781
2021-1-15,0,755
2021-1-16,0,722
2021-1-17,0,740
2021-1-18,0,723
2021-1-19,0,693
2021-1-20,0,738
2021-1-21,0,688
2021-1-22,0,670
2021-1-23,0,648
2021-1-24,0,627
2021-1-25,0,608
2021-1-26,0,604
2021-1-27,0,580
2021-1-28,0,533
2021-1-29,0,522
2021-1-30,0,467
2021-1-31,0,435
2021-2-1,0,447
2021-2-2,0,471
2021-2-3,0,474
2021-2-4,0,433
2021-2-5,0,438
2021-2-6,0,418
2021-2-7,0,405
2021-2-8,0,398
2021-2-9,0,409
2021-2-10,0,393
2021-2-11,0,362
2021-2-12,0,338
2021-2-13,0,331
2021-2-14,0,313
2021-2-15,0,332
2021-2-16,0,329
2021-2-17,0,320
2021-2-18,0,309
2021-2-19,0,268
2021-2-20,0,292
2021-2-21,0,300
2021-2-22,0,295
2021-2-23,0,285
2021-2-24,0,280
2021-2-25,0,286
2021-2-26,0,271
2021-2-27,0,251
2021-2-28,0,255
2021-3-1,0,257
2021-3-2,0,256
2021-3-3,0,259
2021-3-4,0,258
2021-3-5,0,246
2021-3-6,0,223
2021-3-7,0,218
