Date,MDDATA.InIcuCum,MDDATA.InIcuCurr
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,526
2020-4-22,0,527
2020-4-23,0,515
2020-4-24,0,547
2020-4-25,0,538
2020-4-26,0,530
2020-4-27,0,535
2020-4-28,0,551
2020-4-29,0,586
2020-4-30,0,590
2020-5-1,0,568
2020-5-2,0,566
2020-5-3,0,565
2020-5-4,0,563
2020-5-5,0,573
2020-5-6,0,584
2020-5-7,0,584
2020-5-8,0,571
2020-5-9,0,575
2020-5-10,0,611
2020-5-11,0,585
2020-5-12,0,590
2020-5-13,0,572
2020-5-14,0,569
2020-5-15,0,598
2020-5-16,0,598
2020-5-17,0,562
2020-5-18,0,555
2020-5-19,0,537
2020-5-20,0,539
2020-5-21,0,526
2020-5-22,0,506
2020-5-23,0,524
2020-5-24,0,503
2020-5-25,0,517
2020-5-26,0,520
2020-5-27,0,520
2020-5-28,0,511
2020-5-29,0,507
2020-5-30,0,492
2020-5-31,0,479
2020-6-1,0,479
2020-6-2,0,481
2020-6-3,0,471
2020-6-4,0,456
2020-6-5,0,455
2020-6-6,0,418
2020-6-7,0,404
2020-6-8,0,392
2020-6-9,0,386
2020-6-10,0,379
2020-6-11,0,358
2020-6-12,0,331
2020-6-13,0,321
2020-6-14,0,313
2020-6-15,0,292
2020-6-16,0,284
2020-6-17,0,283
2020-6-18,0,269
2020-6-19,0,261
2020-6-20,0,238
2020-6-21,0,230
2020-6-22,0,232
2020-6-23,0,212
2020-6-24,0,213
2020-6-25,0,209
2020-6-26,0,190
2020-6-27,0,181
2020-6-28,0,158
2020-6-29,0,160
2020-6-30,0,152
2020-7-1,0,154
2020-7-2,0,149
2020-7-3,0,143
2020-7-4,0,143
2020-7-5,0,144
2020-7-6,0,142
2020-7-7,0,145
2020-7-8,0,136
2020-7-9,0,139
2020-7-10,0,122
2020-7-11,0,120
2020-7-12,0,114
2020-7-13,0,108
2020-7-14,0,118
2020-7-15,0,129
2020-7-16,0,137
2020-7-17,0,128
2020-7-18,0,137
2020-7-19,0,131
2020-7-20,0,136
2020-7-21,0,131
2020-7-22,0,137
2020-7-23,0,133
2020-7-24,0,143
2020-7-25,0,157
2020-7-26,0,153
2020-7-27,0,145
2020-7-28,0,150
2020-7-29,0,145
2020-7-30,0,139
2020-7-31,0,128
2020-8-1,0,132
2020-8-2,0,129
2020-8-3,0,135
2020-8-4,0,137
2020-8-5,0,134
2020-8-6,0,139
2020-8-7,0,135
2020-8-8,0,127
2020-8-9,0,128
2020-8-10,0,119
2020-8-11,0,121
2020-8-12,0,117
2020-8-13,0,111
2020-8-14,0,107
2020-8-15,0,107
2020-8-16,0,115
2020-8-17,0,106
2020-8-18,0,102
2020-8-19,0,107
2020-8-20,0,107
2020-8-21,0,102
2020-8-22,0,98
2020-8-23,0,99
2020-8-24,0,103
2020-8-25,0,97
2020-8-26,0,106
2020-8-27,0,107
2020-8-28,0,106
2020-8-29,0,106
2020-8-30,0,107
2020-8-31,0,107
2020-9-1,0,112
2020-9-2,0,113
2020-9-3,0,112
2020-9-4,0,108
2020-9-5,0,100
2020-9-6,0,96
2020-9-7,0,109
2020-9-8,0,102
2020-9-9,0,95
2020-9-10,0,92
2020-9-11,0,89
2020-9-12,0,85
2020-9-13,0,89
2020-9-14,0,90
2020-9-15,0,93
2020-9-16,0,86
2020-9-17,0,83
2020-9-18,0,84
2020-9-19,0,75
2020-9-20,0,68
2020-9-21,0,71
2020-9-22,0,77
2020-9-23,0,79
2020-9-24,0,81
2020-9-25,0,79
2020-9-26,0,81
2020-9-27,0,90
2020-9-28,0,82
2020-9-29,0,79
2020-9-30,0,77
2020-10-1,0,74
2020-10-2,0,80
2020-10-3,0,78
2020-10-4,0,77
2020-10-5,0,85
2020-10-6,0,88
2020-10-7,0,93
2020-10-8,0,98
2020-10-9,0,96
2020-10-10,0,91
2020-10-11,0,90
2020-10-12,0,93
2020-10-13,0,102
2020-10-14,0,113
2020-10-15,0,109
2020-10-16,0,111
2020-10-17,0,108
2020-10-18,0,115
2020-10-19,0,116
2020-10-20,0,123
2020-10-21,0,131
2020-10-22,0,125
2020-10-23,0,122
2020-10-24,0,109
2020-10-25,0,103
2020-10-26,0,112
2020-10-27,0,105
2020-10-28,0,114
2020-10-29,0,120
2020-10-30,0,126
2020-10-31,0,126
2020-11-1,0,127
2020-11-2,0,133
2020-11-3,0,143
2020-11-4,0,154
2020-11-5,0,157
2020-11-6,0,152
2020-11-7,0,153
2020-11-8,0,163
2020-11-9,0,168
2020-11-10,0,176
2020-11-11,0,193
2020-11-12,0,199
2020-11-13,0,208
2020-11-14,0,218
2020-11-15,0,238
2020-11-16,0,237
2020-11-17,0,255
2020-11-18,0,270
2020-11-19,0,260
2020-11-20,0,261
2020-11-21,0,278
2020-11-22,0,268
2020-11-23,0,289
2020-11-24,0,314
2020-11-25,0,308
2020-11-26,0,339
2020-11-27,0,343
2020-11-28,0,351
2020-11-29,0,359
2020-11-30,0,344
2020-12-1,0,350
2020-12-2,0,359
2020-12-3,0,364
2020-12-4,0,367
2020-12-5,0,379
2020-12-6,0,393
2020-12-7,0,388
2020-12-8,0,396
2020-12-9,0,416
2020-12-10,0,416
2020-12-11,0,416
2020-12-12,0,406
2020-12-13,0,424
2020-12-14,0,404
2020-12-15,0,411
2020-12-16,0,399
2020-12-17,0,394
2020-12-18,0,399
2020-12-19,0,385
2020-12-20,0,406
2020-12-21,0,399
2020-12-22,0,400
2020-12-23,0,419
2020-12-24,0,426
2020-12-25,0,424
2020-12-26,0,424
2020-12-27,0,418
2020-12-28,0,423
2020-12-29,0,420
2020-12-30,0,410
2020-12-31,0,399
2021-1-1,0,388
