Date,MIDATA.InIcuCum,MIDATA.InIcuCurr
2020-12-12,0,863
2020-12-13,0,863
2020-12-14,0,860
2020-12-15,0,821
2020-12-16,0,818
2020-12-17,0,780
2020-12-18,0,758
2020-12-19,0,758
2020-12-20,0,758
2020-12-21,0,711
2020-12-22,0,731
2020-12-23,0,738
2020-12-24,0,738
2020-12-25,0,738
2020-12-26,0,738
2020-12-27,0,738
2020-12-28,0,662
2020-12-29,0,649
2020-12-30,0,629
2020-12-31,0,629
2021-1-1,0,629
2021-1-2,0,629
2021-1-3,0,629
2021-1-4,0,550
2021-1-5,0,548
2021-1-6,0,523
2021-1-7,0,509
2021-1-8,0,517
2021-1-9,0,517
2021-1-10,0,517
2021-1-11,0,485
2021-1-12,0,525
2021-1-13,0,501
2021-1-14,0,499
2021-1-15,0,493
2021-1-16,0,493
2021-1-17,0,493
2021-1-18,0,475
2021-1-19,0,413
2021-1-20,0,396
2021-1-21,0,385
2021-1-22,0,396
2021-1-23,0,396
2021-1-24,0,396
2021-1-25,0,392
2021-1-26,0,382
2021-1-27,0,377
2021-1-28,0,363
2021-1-29,0,364
2021-1-30,0,364
2021-1-31,0,364
2021-2-1,0,336
2021-2-2,0,337
2021-2-3,0,314
2021-2-4,0,314
2021-2-5,0,300
2021-2-6,0,300
2021-2-7,0,300
2021-2-8,0,294
2021-2-9,0,299
2021-2-10,0,299
2021-2-11,0,266
2021-2-12,0,293
2021-2-13,0,293
2021-2-14,0,293
2021-2-15,0,258
2021-2-16,0,240
2021-2-17,0,237
2021-2-18,0,220
2021-2-19,0,217
2021-2-20,0,217
2021-2-21,0,217
2021-2-22,0,225
2021-2-23,0,207
2021-2-24,0,200
2021-2-25,0,186
2021-2-26,0,195
2021-2-27,0,195
2021-2-28,0,195
2021-3-1,0,226
2021-3-2,0,228
2021-3-3,0,234
2021-3-4,0,229
2021-3-5,0,222
2021-3-6,0,222
2021-3-7,0,222
