Date,MADATA.InIcuCum,MADATA.InIcuCurr
2020-11-4,0,109
2020-11-5,0,115
2020-11-6,0,118
2020-11-7,0,127
2020-11-8,0,144
2020-11-9,0,143
2020-11-10,0,150
2020-11-11,0,152
2020-11-12,0,151
2020-11-13,0,153
2020-11-14,0,151
2020-11-15,0,159
2020-11-16,0,159
2020-11-17,0,159
2020-11-18,0,173
2020-11-19,0,181
2020-11-20,0,179
2020-11-21,0,187
2020-11-22,0,192
2020-11-23,0,204
2020-11-24,0,205
2020-11-25,0,208
2020-11-26,0,208
2020-11-27,0,209
2020-11-28,0,225
2020-11-29,0,238
2020-11-30,0,244
2020-12-1,0,239
2020-12-2,0,264
2020-12-3,0,261
2020-12-4,0,278
2020-12-5,0,283
2020-12-6,0,298
2020-12-7,0,302
2020-12-8,0,310
2020-12-9,0,308
2020-12-10,0,307
2020-12-11,0,309
2020-12-12,0,334
2020-12-13,0,342
2020-12-14,0,354
2020-12-15,0,371
2020-12-16,0,382
2020-12-17,0,383
2020-12-18,0,370
2020-12-19,0,383
2020-12-20,0,387
2020-12-21,0,410
2020-12-22,0,412
2020-12-23,0,409
2020-12-24,0,409
2020-12-25,0,409
2020-12-26,0,416
2020-12-27,0,416
2020-12-28,0,430
2020-12-29,0,431
2020-12-30,0,433
2020-12-31,0,417
2021-1-1,0,417
2021-1-2,0,412
2021-1-3,0,416
2021-1-4,0,423
2021-1-5,0,425
2021-1-6,0,442
2021-1-7,0,455
2021-1-8,0,440
2021-1-9,0,445
2021-1-10,0,459
2021-1-11,0,451
2021-1-12,0,451
2021-1-13,0,461
2021-1-14,0,454
2021-1-15,0,451
2021-1-16,0,433
2021-1-17,0,433
2021-1-18,0,427
2021-1-19,0,432
2021-1-20,0,444
2021-1-21,0,430
2021-1-22,0,426
2021-1-23,0,418
2021-1-24,0,409
2021-1-25,0,418
2021-1-26,0,431
2021-1-27,0,418
2021-1-28,0,442
2021-1-29,0,412
2021-1-30,0,393
2021-1-31,0,371
2021-2-1,0,373
2021-2-2,0,353
2021-2-3,0,335
