Date,INDATA.InIcuCum,INDATA.InIcuCurr
2020-10-22,3006,433
2020-10-23,3049,433
2020-10-24,3066,481
2020-10-25,3093,500
2020-10-26,3115,500
2020-10-27,3135,494
2020-10-28,3155,470
2020-10-29,3204,508
2020-10-30,3248,517
2020-10-31,3263,515
2020-11-1,3292,495
2020-11-2,3313,528
2020-11-3,3356,566
2020-11-4,3393,545
2020-11-5,3433,568
2020-11-6,3477,540
2020-11-7,3527,559
2020-11-8,3566,524
2020-11-9,3623,547
2020-11-10,3656,599
2020-11-11,3703,649
2020-11-12,3758,671
2020-11-13,3810,664
2020-11-14,3869,689
2020-11-15,3900,729
2020-11-16,3969,750
2020-11-17,4017,796
2020-11-18,4068,847
2020-11-19,4129,854
2020-11-20,4182,898
2020-11-21,4227,925
2020-11-22,4284,878
2020-11-23,4313,915
2020-11-24,4371,909
2020-11-25,4421,956
2020-11-26,4493,955
2020-11-27,4538,946
2020-11-28,4604,938
2020-11-29,4660,951
2020-11-30,4722,968
2020-12-1,4794,990
2020-12-2,4867,1001
2020-12-3,4931,987
2020-12-4,4990,955
2020-12-5,5033,961
2020-12-6,5081,961
2020-12-7,5128,954
2020-12-8,5193,955
2020-12-9,5238,949
2020-12-10,5275,949
2020-12-11,5353,939
2020-12-12,5423,914
2020-12-13,5441,885
2020-12-14,5489,872
2020-12-15,5538,911
2020-12-16,5564,852
2020-12-17,5605,683
2020-12-18,5637,674
2020-12-19,5676,673
2020-12-20,5700,660
2020-12-21,5742,665
2020-12-22,5780,649
2020-12-23,5820,664
2020-12-24,5857,633
2020-12-25,5881,633
2020-12-26,5908,636
2020-12-27,5963,638
2020-12-28,5993,632
2020-12-29,6044,646
2020-12-30,6078,659
2020-12-31,6144,633
2021-1-1,6194,676
2021-1-2,6206,663
2021-1-3,6251,648
2021-1-4,6292,649
2021-1-5,6364,591
2021-1-6,6355,586
2021-1-7,6377,593
2021-1-8,6408,584
2021-1-9,6441,579
2021-1-10,6481,556
2021-1-11,6510,568
2021-1-12,6540,553
2021-1-13,6583,550
2021-1-14,6610,550
2021-1-15,6641,551
2021-1-16,6685,525
2021-1-17,6719,527
2021-1-18,6742,557
2021-1-19,6764,525
2021-1-20,6799,522
2021-1-21,6811,519
2021-1-22,6849,496
2021-1-23,6885,478
2021-1-24,6917,478
2021-1-25,6916,459
2021-1-26,6935,449
2021-1-27,6974,430
2021-1-28,6993,420
2021-1-29,7019,399
2021-1-30,7039,387
2021-1-31,7054,372
2021-2-1,7065,374
2021-2-2,7097,347
2021-2-3,7116,344
2021-2-4,7135,331
2021-2-5,7148,322
2021-2-6,7158,300
2021-2-7,7177,290
2021-2-8,7190,285
2021-2-9,7207,274
2021-2-10,7228,262
2021-2-11,7240,239
2021-2-12,7253,227
2021-2-13,7267,211
2021-2-14,7283,214
2021-2-15,7285,200
2021-2-16,7312,201
2021-2-17,7336,193
2021-2-18,7372,178
2021-2-19,7383,179
2021-2-20,7391,172
2021-2-21,7408,161
2021-2-22,7411,163
2021-2-23,7438,159
2021-2-24,7445,158
2021-2-25,7467,147
2021-2-26,7490,151
2021-2-27,7497,138
2021-2-28,7508,116
2021-3-1,7514,124
2021-3-2,7535,123
2021-3-3,7555,131
2021-3-4,7567,131
2021-3-5,7588,123
2021-3-6,7586,118
2021-3-7,7600,104
