Date,NVDATA.InIcuCum,NVDATA.InIcuCurr
2020-11-11,0,233
2020-11-12,0,229
2020-11-13,0,247
2020-11-14,0,243
2020-11-15,0,243
2020-11-16,0,251
2020-11-17,0,237
2020-11-18,0,264
2020-11-19,0,261
2020-11-20,0,271
2020-11-21,0,266
2020-11-22,0,266
2020-11-23,0,278
2020-11-24,0,296
2020-11-25,0,312
2020-11-26,0,306
2020-11-27,0,306
2020-11-28,0,317
2020-11-29,0,317
2020-11-30,0,307
2020-12-1,0,344
2020-12-2,0,352
2020-12-3,0,373
2020-12-4,0,356
2020-12-5,0,382
2020-12-6,0,382
2020-12-7,0,379
2020-12-8,0,385
2020-12-9,0,371
2020-12-10,0,382
2020-12-11,0,394
2020-12-12,0,416
2020-12-13,0,416
2020-12-14,0,400
2020-12-15,0,414
2020-12-16,0,329
2020-12-17,0,416
2020-12-18,0,433
2020-12-19,0,434
2020-12-20,0,434
2020-12-21,0,437
2020-12-22,0,437
2020-12-23,0,460
2020-12-24,0,458
2020-12-25,0,442
2020-12-26,0,442
2020-12-27,0,442
2020-12-28,0,427
2020-12-29,0,414
2020-12-30,0,408
2020-12-31,0,404
2021-1-1,0,398
2021-1-2,0,398
2021-1-3,0,398
2021-1-4,0,423
2021-1-5,0,415
2021-1-6,0,411
2021-1-7,0,411
2021-1-8,0,399
2021-1-9,0,407
2021-1-10,0,407
2021-1-11,0,404
2021-1-12,0,425
2021-1-13,0,411
2021-1-14,0,410
2021-1-15,0,418
2021-1-16,0,409
2021-1-17,0,409
2021-1-18,0,409
2021-1-19,0,404
2021-1-20,0,408
2021-1-21,0,371
2021-1-22,0,359
2021-1-23,0,357
2021-1-24,0,357
2021-1-25,0,323
2021-1-26,0,335
2021-1-27,0,344
2021-1-28,0,322
2021-1-29,0,305
2021-1-30,0,293
2021-1-31,0,293
2021-2-1,0,290
2021-2-2,0,265
2021-2-3,0,259
2021-2-4,0,254
2021-2-5,0,268
2021-2-6,0,250
2021-2-7,0,250
2021-2-8,0,259
2021-2-9,0,237
2021-2-10,0,226
2021-2-11,0,223
2021-2-12,0,219
2021-2-13,0,201
2021-2-14,0,201
2021-2-15,0,197
2021-2-16,0,193
2021-2-17,0,176
2021-2-18,0,173
2021-2-19,0,154
2021-2-20,0,145
2021-2-21,0,145
2021-2-22,0,142
2021-2-23,0,131
2021-2-24,0,120
2021-2-25,0,116
2021-2-26,0,118
2021-2-27,0,115
2021-2-28,0,115
2021-3-1,0,105
2021-3-2,0,108
2021-3-3,0,100
2021-3-4,0,97
2021-3-5,0,88
2021-3-6,0,87
2021-3-7,0,87
