Date,NJDATA.InIcuCum,NJDATA.InIcuCurr
2020-11-20,0,452
2020-11-21,0,486
2020-11-22,0,466
2020-11-23,0,537
2020-11-24,0,522
2020-11-25,0,545
2020-11-26,0,550
2020-11-27,0,559
2020-11-28,0,560
2020-11-29,0,559
2020-11-30,0,575
2020-12-1,0,601
2020-12-2,0,599
2020-12-3,0,610
2020-12-4,0,615
2020-12-5,0,628
2020-12-6,0,622
2020-12-7,0,637
2020-12-8,0,670
2020-12-9,0,630
2020-12-10,0,644
2020-12-11,0,687
2020-12-12,0,690
2020-12-13,0,691
2020-12-14,0,704
2020-12-15,0,727
2020-12-16,0,721
2020-12-17,0,726
2020-12-18,0,715
2020-12-19,0,687
2020-12-20,0,707
2020-12-21,0,727
2020-12-22,0,740
2020-12-23,0,765
2020-12-24,0,749
2020-12-25,0,753
2020-12-26,0,724
2020-12-27,0,686
2020-12-28,0,704
2020-12-29,0,723
2020-12-30,0,701
2020-12-31,0,693
2021-1-1,0,693
2021-1-2,0,678
2021-1-3,0,669
2021-1-4,0,664
2021-1-5,0,679
2021-1-6,0,668
2021-1-7,0,654
2021-1-8,0,655
2021-1-9,0,652
2021-1-10,0,625
2021-1-11,0,649
2021-1-12,0,658
2021-1-13,0,648
2021-1-14,0,644
2021-1-15,0,626
2021-1-16,0,651
2021-1-17,0,651
2021-1-18,0,632
2021-1-19,0,643
2021-1-20,0,635
2021-1-21,0,626
2021-1-22,0,638
2021-1-23,0,603
2021-1-24,0,590
2021-1-25,0,596
2021-1-26,0,572
2021-1-27,0,578
2021-1-28,0,563
2021-1-29,0,548
2021-1-30,0,533
2021-1-31,0,519
2021-2-1,0,531
2021-2-2,0,516
2021-2-3,0,525
2021-2-4,0,531
2021-2-5,0,506
2021-2-6,0,737
2021-2-7,0,571
2021-2-8,0,540
2021-2-9,0,544
2021-2-10,0,533
2021-2-11,0,519
2021-2-12,0,525
2021-2-13,0,519
2021-2-14,0,520
2021-2-15,0,513
2021-2-16,0,494
2021-2-17,0,411
2021-2-18,0,474
2021-2-19,0,443
2021-2-20,0,454
2021-2-21,0,434
2021-2-22,0,438
2021-2-23,0,451
2021-2-24,0,435
2021-2-25,0,438
2021-2-26,0,439
2021-2-27,0,404
2021-2-28,0,393
2021-3-1,0,387
2021-3-2,0,395
2021-3-3,0,403
2021-3-4,0,376
2021-3-5,0,389
2021-3-6,0,382
2021-3-7,0,376
