Date,GADATA.InIcuCum,GADATA.InIcuCurr
2020-11-27,6464,0
2020-11-28,6485,0
2020-11-29,6493,0
2020-11-30,6497,0
2020-12-1,6536,0
2020-12-2,6569,0
2020-12-3,6599,0
2020-12-4,6642,0
2020-12-5,6671,0
2020-12-6,6676,0
2020-12-7,6691,0
2020-12-8,6719,0
2020-12-9,6756,0
2020-12-10,6790,0
2020-12-11,6832,0
2020-12-12,6847,0
2020-12-13,6854,0
2020-12-14,6859,0
2020-12-15,6896,0
2020-12-16,6936,0
2020-12-17,6967,0
2020-12-18,7009,0
2020-12-19,7045,0
2020-12-20,7050,0
2020-12-21,7055,0
2020-12-22,7103,0
2020-12-23,7148,0
2020-12-24,7217,0
2020-12-25,7224,0
2020-12-26,7224,0
2020-12-27,7236,0
2020-12-28,7247,0
2020-12-29,7322,0
2020-12-30,7375,0
2020-12-31,7417,0
2021-1-1,7448,0
2021-1-2,7457,0
2021-1-3,7466,0
2021-1-4,7471,0
2021-1-5,7535,0
2021-1-6,7605,0
2021-1-7,7642,0
2021-1-8,7690,0
2021-1-9,7727,0
2021-1-10,7742,0
2021-1-11,7744,0
2021-1-12,7799,0
2021-1-13,7837,0
2021-1-14,7869,0
2021-1-15,7919,0
2021-1-16,7954,0
2021-1-17,7957,0
2021-1-18,7964,0
2021-1-19,8004,0
2021-1-20,8041,0
2021-1-21,8092,0
2021-1-22,8136,0
2021-1-23,8183,0
2021-1-24,8199,0
2021-1-25,8203,0
2021-1-26,8248,0
2021-1-27,8290,0
2021-1-28,8331,0
2021-1-29,8360,0
2021-1-30,8390,0
2021-1-31,8399,0
2021-2-1,8400,0
2021-2-2,8439,0
2021-2-3,8471,0
2021-2-4,8511,0
2021-2-5,8555,0
2021-2-6,8590,0
2021-2-7,8598,0
2021-2-8,8601,0
2021-2-9,8651,0
2021-2-10,8684,0
2021-2-11,8717,0
2021-2-12,8741,0
2021-2-13,8756,0
2021-2-14,8760,0
2021-2-15,8762,0
2021-2-16,8801,0
2021-2-17,8838,0
2021-2-18,8869,0
2021-2-19,8898,0
2021-2-20,8924,0
2021-2-21,8927,0
2021-2-22,8931,0
2021-2-23,8967,0
2021-2-24,8999,0
2021-2-25,9036,0
2021-2-26,9087,0
2021-2-27,9115,0
2021-2-28,9126,0
2021-3-1,9132,0
2021-3-2,9158,0
2021-3-3,9186,0
2021-3-4,9221,0
2021-3-5,9236,0
2021-3-6,9260,0
2021-3-7,9263,0
