Date,MSDATA.InIcuCum,MSDATA.InIcuCurr
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,124
2020-4-14,0,154
2020-4-15,0,154
2020-4-16,0,154
2020-4-17,0,154
2020-4-18,0,154
2020-4-19,0,138
2020-4-20,0,146
2020-4-21,0,146
2020-4-22,0,162
2020-4-23,0,156
2020-4-24,0,148
2020-4-25,0,152
2020-4-26,0,146
2020-4-27,0,142
2020-4-28,0,162
2020-4-29,0,151
2020-4-30,0,146
2020-5-1,0,160
2020-5-2,0,142
2020-5-3,0,143
2020-5-4,0,145
2020-5-5,0,162
2020-5-6,0,144
2020-5-7,0,139
2020-5-8,0,123
2020-5-9,0,133
2020-5-10,0,141
2020-5-11,0,132
2020-5-12,0,146
2020-5-13,0,150
2020-5-14,0,131
2020-5-15,0,172
2020-5-16,0,170
2020-5-17,0,158
2020-5-18,0,141
2020-5-19,0,153
2020-5-20,0,157
2020-5-21,0,158
2020-5-22,0,159
2020-5-23,0,154
2020-5-24,0,150
2020-5-25,0,152
2020-5-26,0,134
2020-5-27,0,127
2020-5-28,0,148
2020-5-29,0,121
2020-5-30,0,145
2020-5-31,0,113
2020-6-1,0,146
2020-6-2,0,146
2020-6-3,0,141
2020-6-4,0,145
2020-6-5,0,149
2020-6-6,0,149
2020-6-7,0,133
2020-6-8,0,142
2020-6-9,0,142
2020-6-10,0,160
2020-6-11,0,160
2020-6-12,0,172
2020-6-13,0,160
2020-6-14,0,151
2020-6-15,0,163
2020-6-16,0,160
2020-6-17,0,161
2020-6-18,0,161
2020-6-19,0,159
2020-6-20,0,159
2020-6-21,0,156
2020-6-22,0,148
2020-6-23,0,151
2020-6-24,0,157
2020-6-25,0,157
2020-6-26,0,153
2020-6-27,0,169
2020-6-28,0,149
2020-6-29,0,158
2020-6-30,0,167
2020-7-1,0,160
2020-7-2,0,167
2020-7-3,0,167
2020-7-4,0,175
2020-7-5,0,175
2020-7-6,0,165
2020-7-7,0,173
2020-7-8,0,190
2020-7-9,0,187
2020-7-10,0,205
2020-7-11,0,202
2020-7-12,0,202
2020-7-13,0,208
2020-7-14,0,227
2020-7-15,0,240
2020-7-16,0,247
2020-7-17,0,253
2020-7-18,0,253
2020-7-19,0,278
2020-7-20,0,284
2020-7-21,0,293
2020-7-22,0,293
2020-7-23,0,293
2020-7-24,0,279
2020-7-25,0,295
2020-7-26,0,295
2020-7-27,0,304
2020-7-28,0,288
2020-7-29,0,296
2020-7-30,0,296
2020-7-31,0,297
2020-8-1,0,302
2020-8-2,0,302
2020-8-3,0,302
2020-8-4,0,314
2020-8-5,0,329
2020-8-6,0,337
2020-8-7,0,335
2020-8-8,0,334
2020-8-9,0,334
2020-8-10,0,328
2020-8-11,0,325
2020-8-12,0,323
2020-8-13,0,318
2020-8-14,0,312
2020-8-15,0,321
2020-8-16,0,321
2020-8-17,0,289
2020-8-18,0,284
2020-8-19,0,286
2020-8-20,0,276
2020-8-21,0,264
2020-8-22,0,259
2020-8-23,0,259
2020-8-24,0,237
2020-8-25,0,234
2020-8-26,0,232
2020-8-27,0,230
2020-8-28,0,230
2020-8-29,0,215
2020-8-30,0,215
2020-8-31,0,214
2020-9-1,0,196
2020-9-2,0,190
2020-9-3,0,176
2020-9-4,0,178
2020-9-5,0,178
2020-9-6,0,187
2020-9-7,0,191
2020-9-8,0,184
2020-9-9,0,185
2020-9-10,0,177
2020-9-11,0,177
2020-9-12,0,177
2020-9-13,0,178
2020-9-14,0,178
2020-9-15,0,177
2020-9-16,0,168
2020-9-17,0,169
2020-9-18,0,171
2020-9-19,0,171
2020-9-20,0,171
2020-9-21,0,162
2020-9-22,0,147
2020-9-23,0,148
2020-9-24,0,149
2020-9-25,0,143
2020-9-26,0,147
2020-9-27,0,147
2020-9-28,0,147
2020-9-29,0,138
2020-9-30,0,136
2020-10-1,0,134
2020-10-2,0,134
2020-10-3,0,132
2020-10-4,0,132
2020-10-5,0,128
2020-10-6,0,128
2020-10-7,0,127
2020-10-8,0,139
2020-10-9,0,130
2020-10-10,0,136
2020-10-11,0,136
2020-10-12,0,136
2020-10-13,0,145
2020-10-14,0,143
2020-10-15,0,138
2020-10-16,0,146
2020-10-17,0,140
2020-10-18,0,140
2020-10-19,0,151
2020-10-20,0,161
2020-10-21,0,151
2020-10-22,0,157
2020-10-23,0,158
2020-10-24,0,154
2020-10-25,0,154
2020-10-26,0,157
2020-10-27,0,159
2020-10-28,0,157
2020-10-29,0,176
2020-10-30,0,173
2020-10-31,0,171
2020-11-1,0,171
2020-11-2,0,167
2020-11-3,0,168
2020-11-4,0,168
2020-11-5,0,154
2020-11-6,0,176
2020-11-7,0,177
2020-11-8,0,183
2020-11-9,0,190
2020-11-10,0,199
2020-11-11,0,191
2020-11-12,0,194
2020-11-13,0,194
2020-11-14,0,185
2020-11-15,0,185
2020-11-16,0,180
2020-11-17,0,201
2020-11-18,0,207
2020-11-19,0,222
2020-11-20,0,225
2020-11-21,0,223
2020-11-22,0,223
2020-11-23,0,213
2020-11-24,0,224
2020-11-25,0,245
2020-11-26,0,245
2020-11-27,0,245
2020-11-28,0,245
2020-11-29,0,245
2020-11-30,0,238
2020-12-1,0,250
2020-12-2,0,264
2020-12-3,0,277
2020-12-4,0,276
2020-12-5,0,286
2020-12-6,0,286
2020-12-7,0,287
2020-12-8,0,288
2020-12-9,0,288
2020-12-10,0,301
2020-12-11,0,295
2020-12-12,0,298
2020-12-13,0,298
2020-12-14,0,303
2020-12-15,0,310
2020-12-16,0,321
2020-12-17,0,315
2020-12-18,0,319
2020-12-19,0,308
2020-12-20,0,308
2020-12-21,0,326
2020-12-22,0,336
2020-12-23,0,339
2020-12-24,0,339
2020-12-25,0,339
2020-12-26,0,339
2020-12-27,0,339
2020-12-28,0,321
2020-12-29,0,325
2020-12-30,0,321
2020-12-31,0,321
2021-1-1,0,346
2021-1-2,0,346
2021-1-3,0,346
2021-1-4,0,337
2021-1-5,0,349
2021-1-6,0,358
2021-1-7,0,358
2021-1-8,0,348
2021-1-9,0,329
2021-1-10,0,329
2021-1-11,0,344
2021-1-12,0,354
2021-1-13,0,360
2021-1-14,0,347
2021-1-15,0,340
2021-1-16,0,333
2021-1-17,0,333
2021-1-18,0,336
2021-1-19,0,329
2021-1-20,0,301
2021-1-21,0,306
2021-1-22,0,307
2021-1-23,0,284
2021-1-24,0,284
2021-1-25,0,245
2021-1-26,0,247
2021-1-27,0,249
2021-1-28,0,257
2021-1-29,0,244
2021-1-30,0,242
2021-1-31,0,242
2021-2-1,0,269
2021-2-2,0,262
2021-2-3,0,242
2021-2-4,0,235
2021-2-5,0,229
2021-2-6,0,215
2021-2-7,0,215
2021-2-8,0,215
2021-2-9,0,195
2021-2-10,0,195
2021-2-11,0,178
2021-2-12,0,168
2021-2-13,0,165
2021-2-14,0,165
2021-2-15,0,153
2021-2-16,0,157
2021-2-17,0,168
2021-2-18,0,152
2021-2-19,0,154
2021-2-20,0,152
2021-2-21,0,152
2021-2-22,0,143
2021-2-23,0,153
2021-2-24,0,141
2021-2-25,0,130
2021-2-26,0,120
2021-2-27,0,114
2021-2-28,0,114
2021-3-1,0,111
2021-3-2,0,109
2021-3-3,0,120
2021-3-4,0,101
2021-3-5,0,99
2021-3-6,0,89
2021-3-7,0,89
